"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume","EIX.Adjusted"
"409",67.940002,69.389999,67.410004,69.32,3389200,60.521038
"410",69.339996,70.620003,69.129997,69.879997,3226500,61.009964
"411",69.919998,69.980003,68.349998,69.209999,1811800,60.425011
"412",69,69.18,68.480003,68.93,1622800,60.180557
"413",68.980003,68.980003,67.580002,67.959999,1999300,59.333675
"414",68.07,68.339996,67.379997,67.559998,2321900,58.98444
"415",67.550003,67.669998,66.349998,67.440002,3034200,58.879681
"416",67.970001,68.120003,67.150002,67.580002,1442900,59.001911
"417",67.419998,68,67.370003,67.550003,1819200,58.975716
"418",67.830002,67.980003,66.809998,67.199997,3164600,58.670139
"419",67.370003,67.5,66.129997,66.43,3169300,57.997887
"420",66.480003,67,65.169998,65.730003,2532000,57.386734
"421",65.849998,67.400002,65.760002,66.75,2670500,58.277264
"422",66.790001,67.379997,66.620003,67.300003,1685000,58.757454
"423",67.400002,67.699997,67.139999,67.470001,1548000,58.905869
"424",66.919998,67.230003,66.449997,66.660004,1388200,58.198689
"425",66.980003,67.330002,66.639999,67.099998,1255400,58.582832
"426",67.230003,67.720001,67.129997,67.559998,1636400,58.98444
"427",67.559998,68.010002,67.260002,67.779999,2568300,59.176521
"428",67.830002,68.440002,67.260002,68.410004,1533600,59.726563
"429",68.339996,68.400002,67.779999,68.330002,1971200,59.656704
"430",68.389999,68.540001,68.019997,68.43,1550900,59.744007
"431",68.230003,68.639999,67.940002,68.309998,1864800,59.63924
"432",68.389999,68.43,66.949997,67.330002,2067900,58.783634
"433",67.309998,67.970001,66.839996,67.82,1840600,59.211445
"434",67.550003,69.900002,67.529999,68.360001,4222600,59.682907
"435",68.050003,68.18,67.470001,67.660004,2098900,59.071758
"436",67.589996,67.589996,66.68,66.970001,1681600,58.469337
"437",67.089996,67.290001,66.68,66.809998,2033300,58.329636
"438",66.349998,66.989998,66.050003,66.660004,1166200,58.730526
"439",66.830002,67.75,66.690002,67.68,1840800,59.629196
