"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"267",61.73,61.860001,61.290001,61.439999,1136600,54.057526
"268",61.389999,61.57,60.630001,61.209999,1574200,53.855175
"269",61.389999,61.549999,60.919998,61.540001,1568500,54.145512
"270",61.619999,61.68,60.759998,61.209999,2031000,53.855175
"271",61.060001,61.380001,60.57,60.57,2620900,53.292061
"272",59.950001,61.669998,59.509998,61.610001,5601000,54.207096
"273",61.459999,61.740002,60.040001,60.330002,2124200,53.08091
"274",59.669998,60.360001,58.959999,59.950001,2488600,52.746563
"275",59.740002,60.400002,57.919998,58.049999,3428800,51.074867
"276",56.919998,58.18,56.07,57.709999,3580000,50.775715
"277",57.66,58.57,56.849998,56.860001,2799100,50.027843
"278",56.900002,57.779999,55.25,55.259998,3417000,48.620106
"279",55.560001,57,55.209999,56.650002,3152200,49.843082
"280",56.830002,57.119999,54.970001,56.610001,2982800,49.807896
"281",56.549999,57.330002,56.209999,56.990002,2242300,50.142227
"282",56.400002,56.880001,55.84,56.669998,2759100,49.860683
"283",56.950001,58,56.919998,57.91,2179800,50.951687
"284",57.900002,58.59,57.619999,57.970001,2186800,51.004482
"285",57.759998,58.34,57.549999,57.639999,3020600,50.714127
"286",57.700001,57.779999,55.849998,55.869999,2923300,49.156807
"287",56.060001,56.630001,55.880001,56.169998,2015000,49.420757
"288",56.369999,56.990002,56.099998,56.990002,1894500,50.142227
"289",57.130001,57.369999,56.709999,57.130001,2000100,50.265411
"290",57.119999,57.240002,55.610001,55.830002,2340500,49.121616
"291",56.09,56.959999,56.02,56.23,4556600,49.473549
"292",56.080002,57.029999,55.810001,56.32,2380400,49.552742
"293",56.189999,56.43,55.5,55.959999,2085300,49.235992
"294",55.810001,56.599998,55.599998,56.470001,2832900,49.684719
"295",56.43,56.98,56,56.889999,2268100,50.054245
"296",56.650002,58.040001,56.650002,57.830002,3176300,50.881302
"297",57.900002,58.290001,57.610001,58.27,2162100,51.268429
"298",58.310001,59.52,58.040001,59.509998,2828600,52.359432
"299",59.330002,59.740002,58.849998,59.5,2951200,52.350632
"300",59.77,60.049999,59.18,59.369999,1577200,52.236252
"301",59.580002,59.830002,59.209999,59.540001,2082300,52.385826
"302",59.66,59.919998,59.330002,59.720001,1924500,52.544205
