"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"952",216.449997,217.860001,214.399994,215.520004,458300,211.885696
"953",216.25,219.050003,215.610001,216.020004,475600,212.377274
"954",212.619995,222.729996,211.820007,222.660004,831300,218.905304
"955",223.470001,226.589996,222.309998,222.860001,1465800,219.101929
"956",222.759995,225.880005,220.759995,221.570007,813900,217.833694
"957",222.369995,226.770004,222.369995,223.570007,690300,219.799957
"958",223.570007,225.139999,221.789993,222.389999,620500,218.639862
"959",223.270004,226.229996,222.740005,225.350006,522500,221.549942
"960",227.470001,228.669998,224.259995,226.160004,587800,222.346283
"961",222.979996,223,216.690002,218.729996,601600,215.04158
"962",217.710007,218.660004,211.600006,211.759995,797700,208.189087
"963",206.449997,209.279999,203.029999,203.229996,759900,199.802933
"964",202.800003,210.389999,200.029999,207.839996,665100,204.33519
"965",207.330002,209.649994,204.660004,208.360001,944700,204.846436
"966",212.449997,219.139999,211.029999,218.020004,798600,214.343552
"967",222.229996,227.679993,220.949997,226.199997,1007400,222.385605
"968",223.460007,224.419998,216.919998,217.940002,1062800,214.264893
"969",228.669998,239.559998,226.990005,237.979996,2165400,234.915497
"970",236.770004,238.490005,236.110001,237.559998,1021000,234.500916
"971",260,269.119995,251.770004,252.789993,2094300,249.534775
"972",252.639999,262.730011,252.639999,261.160004,1669600,257.797028
"973",262.910004,263.5,257.589996,260.769989,1542800,257.412048
"974",260.579987,260.970001,255.070007,256.869995,2005800,253.562225
"975",259.570007,261.76001,256.369995,258.98999,827600,255.654953
"976",265.269989,269.799988,261.01001,267.890015,917900,264.440338
"977",265.359985,265.48999,259.369995,263.119995,868600,259.731781
"978",264.140015,268.170013,263.170013,265.040009,854200,261.627045
"979",263.440002,268.98999,260.829987,268.839996,974800,265.378143
"980",268.589996,268.709991,266.140015,267.119995,814700,263.680267
"981",269.579987,273.440002,268.170013,271.910004,621800,268.4086
"982",276.519989,280.290009,273.929993,279.859985,800800,276.256195
"983",278.26001,278.269989,272.290009,274.100006,961700,270.570374
"984",275.899994,277.359985,271.140015,272.850006,340200,269.336487
"985",270.73999,271.25,265.299988,267.26001,924900,263.818481
"986",271.609985,273.059998,269.179993,270.359985,890500,266.87851
"987",268.76001,271.109985,265.700012,270.109985,825600,266.631744
"988",269.390015,272.600006,268.420013,269.119995,1067700,265.65451
"989",271.170013,277.049988,270.910004,275.73999,822800,272.18927
"990",274.100006,274.579987,268.850006,271.540009,1193400,268.043335
"991",269.059998,274.839996,269.059998,274.23999,701300,270.708557
"992",275.179993,276.929993,272.380005,276.320007,587800,272.76178
"993",275.059998,276.519989,272.480011,274.440002,651800,270.906006
"994",270.829987,276.480011,270.829987,274.679993,561100,271.142883
"995",278.109985,278.619995,270,270.089996,562300,266.612
"996",274.040009,277.089996,270.540009,275.790009,538400,272.238617
"997",275.679993,276.209991,271.410004,272.809998,465300,269.296967
"998",274.51001,274.609985,271.290009,273.299988,664100,269.78067
"999",273.040009,275.600006,270.459991,272,1283400,268.497437
"1000",266.220001,273.140015,264.25,272.790009,609200,269.277283
"1001",272.459991,272.459991,267.089996,267.579987,891800,264.134308
"1002",269.579987,271.059998,267.679993,269.399994,1062100,265.930908
"1003",269.100006,271.079987,267.329987,269.450012,139800,265.980286
"1004",270.98999,272.140015,267.649994,267.700012,543900,264.252808
"1005",269.309998,270.73999,263,266.130005,551600,262.703033
"1006",267.459991,271.209991,267.459991,270.220001,330600,266.740356
"1007",269.5,272.75,267.970001,272.410004,458700,268.90213
