"","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume","AAP.Adjusted"
"579",171.089996,173.720001,170.259995,172.470001,925000,169.027664
"580",173.289993,173.929993,171.759995,171.860001,915700,168.42984
"581",169.800003,171.570007,165.869995,170.639999,1265000,167.234177
"582",170.309998,170.729996,168.169998,170.190002,690700,166.793182
"583",169.940002,170.559998,166.639999,166.770004,811000,163.441422
"584",167.410004,168.710007,165.25,166.320007,872200,163.000427
"585",166.130005,166.660004,163.669998,163.830002,923200,160.560104
"586",164.050003,167.210007,163.300003,166.779999,1154500,163.451218
"587",167.050003,167.389999,163.190002,163.270004,760200,160.011276
"588",161.059998,163.559998,159.830002,161.990005,1218600,158.756851
"589",161.089996,162.589996,159.649994,160.660004,1069400,157.4534
"590",160.119995,160.449997,157.729996,158.619995,586200,155.454086
"591",157.320007,160.009995,156.179993,159.889999,883600,156.698746
"592",159.240005,159.240005,154.490005,158.119995,813300,154.96405
"593",155.130005,156,153.410004,155.369995,1395400,152.268967
"594",154.570007,156.889999,153.089996,155.75,1216000,152.641388
"595",154.839996,155.949997,153.25,155.830002,783000,152.719788
"596",155.800003,158.669998,154.119995,157.279999,1264500,154.140808
"597",155.919998,159.669998,155.679993,157.970001,1146200,154.817078
"598",157.350006,160.190002,157.199997,158.639999,1714600,155.473694
"599",159.020004,161.720001,156.649994,161.300003,1821300,158.080597
"600",165.690002,170.990005,164.600006,166.289993,3608400,162.970993
"601",165.580002,167,158.550003,159.800003,2600200,156.610535
"602",159.720001,160.410004,155.479996,158.089996,2127800,154.934647
"603",158.229996,159.25,154.559998,154.559998,1207500,151.475113
"604",154.179993,156.070007,151.570007,155.779999,1665200,152.670761
"605",156.789993,160.580002,156.440002,159.389999,1080200,156.208725
"606",156,156.630005,154.399994,155,1487200,151.906326
"607",154.410004,154.490005,151.830002,153.169998,1104200,150.112885
"608",154.559998,155.820007,153.759995,154.610001,1008300,151.524139
"609",155.259995,156.020004,152.639999,154.610001,1093000,151.524139
"610",154.639999,155.399994,153.419998,154.899994,919500,151.808319
"611",155.100006,157.130005,154.570007,155.350006,663300,152.249359
"612",156.360001,157.699997,152.130005,153.520004,1046900,150.455917
"613",153.759995,153.839996,150.320007,152.169998,1469200,149.132828
"614",152.089996,152.679993,149.029999,150.539993,796500,147.535355
"615",150.660004,152.699997,150.190002,150.610001,814800,147.603973
"616",150.690002,152.679993,150.309998,151.800003,769100,148.770203
"617",152.520004,153.839996,151.660004,151.740005,694300,148.711441
"618",152.419998,155.050003,152.320007,154.830002,1194500,151.739761
"619",154.869995,155.059998,152.119995,153.770004,1092600,150.700912
"620",154.320007,154.949997,151.270004,153.270004,874700,150.269516
"621",153.610001,154.110001,151.759995,153.240005,1054200,150.240097
"622",153.860001,153.860001,151.660004,152.330002,1134100,149.347931
"623",152.940002,156.220001,151.919998,154.5,1346800,151.475403
"624",153.690002,153.919998,149.199997,149.929993,1237800,146.994888
"625",150.089996,153.029999,149.169998,151.710007,1028900,148.740051
"626",151.979996,154.449997,151.399994,154.139999,950000,151.122482
"627",155.710007,158.449997,155.570007,156.589996,1151500,153.524521
"628",157,160.490005,156.320007,159.789993,1394000,156.661865
"629",159.509995,161.630005,158.669998,160.630005,588400,157.485428
"630",160.139999,161.009995,159.25,160.619995,604400,157.475601
"631",160.600006,163.229996,158.110001,158.190002,1588100,155.09317
"632",157.770004,158.880005,154.029999,155.5,1040700,152.455856
"633",155.589996,156.809998,154.589996,156.429993,833700,153.367645
"634",155.860001,157.520004,155.080002,156.289993,970300,153.230362
"635",156.240005,159.110001,155.889999,158.580002,648600,155.475555
"636",159.009995,159.139999,156.630005,158.919998,487600,155.808884
"637",158.869995,162.710007,158.869995,161.759995,763600,158.593292
"638",161.149994,161.410004,156.350006,157.669998,1116100,154.583359
"639",154.75,158.089996,152.330002,157.899994,1126900,154.808868
"640",158.089996,158.729996,156.139999,156.929993,965300,153.857864
"641",157.279999,160.169998,157.240005,158.899994,840800,155.789291
"642",159.490005,159.899994,155.350006,157.639999,894500,154.553986
"643",157.639999,159.220001,157.070007,158.5,865500,155.39711
"644",156.899994,158.210007,149.940002,150.029999,1703200,147.092941
"645",150.100006,152.830002,149.5,152.619995,881500,149.632233
"646",152.289993,153.419998,150.940002,153.039993,782500,150.044006
"647",152.520004,154.660004,150.910004,151.800003,872900,148.828293
"648",151.649994,152.479996,149.710007,150.639999,1057100,147.690994
"649",150.520004,153.520004,149.720001,149.949997,1460300,147.014511
"650",149.600006,150.039993,145.710007,145.779999,1212700,142.926163
"651",142.949997,143.399994,139.960007,143.160004,1604800,140.357422
"652",143.089996,146.110001,141.630005,145.639999,1594000,142.788879
"653",144.410004,145.309998,142.210007,144.039993,1524000,141.220184
"654",144.899994,146.619995,144.089996,144.429993,1291600,141.60257
"655",144.539993,146.940002,143.210007,144.330002,1332600,141.504501
"656",143.399994,145.350006,140.809998,142.160004,1681100,139.376984
"657",130.800003,144.059998,130.089996,142.229996,5903800,139.445633
"658",138.240005,140.460007,135.440002,136.490005,2424500,133.818008
"659",137.210007,138.270004,135.460007,137.5,1960500,134.808228
"660",137.729996,139.690002,136.429993,136.589996,1277800,133.916046
"661",138,138.259995,135.220001,136.350006,1287800,133.68074
"662",136.440002,137.850006,135.300003,135.380005,997300,132.729736
"663",136.559998,136.75,134.699997,136.229996,1344700,133.563065
"664",136.649994,138.550003,136.080002,137.5,1306700,134.808228
"665",136.570007,138.190002,134.449997,135.050003,1088000,132.406189
"666",135.619995,135.699997,132.889999,135,901000,132.357178
"667",135.820007,137.130005,134.869995,134.889999,746800,132.249344
"668",134.300003,137.559998,133.300003,136.759995,1800700,134.082718
"669",138.039993,140.740005,137.779999,138.070007,1203800,135.367096
"670",138.699997,139.820007,137.449997,137.949997,721300,135.24942
"671",137.190002,140.429993,136.770004,140.360001,1002500,137.612244
"672",141.570007,142.309998,138.509995,141.889999,1235200,139.112305
"673",143.080002,147.119995,143.070007,146.550003,770600,143.681061
"674",146.889999,147.669998,146.320007,147.210007,818200,144.32814
"675",147.399994,147.809998,145.570007,147.429993,1039700,144.543839
"676",147.369995,155.380005,146.789993,154.699997,1403200,151.671524
"677",154.960007,158.889999,154.679993,158.860001,1180100,155.750092
"678",160,160.149994,155.080002,155.199997,1163200,152.161713
"679",159.100006,159.320007,154.850006,157,996700,153.926468
"680",156,158.259995,155.699997,156.070007,904800,153.014709
"681",155.440002,157,153.740005,156.070007,841000,153.014709
"682",155.910004,156.369995,152.570007,153.789993,667900,150.779312
"683",153.729996,154.559998,152.309998,152.800003,705700,149.867157
"684",152.929993,156.800003,152.690002,155.690002,1050500,152.701706
"685",156.550003,161.570007,155.779999,161.220001,1234200,158.12558
"686",162.479996,163.610001,158.720001,159.220001,1263100,156.16394
"687",159.220001,162.669998,158.880005,162.279999,789300,159.165237
"688",162.070007,162.070007,158.5,160.380005,727500,157.301682
"689",161.130005,162.419998,160.449997,161.679993,531900,158.576736
"690",161.639999,165.970001,161.460007,165.399994,982800,162.225342
"691",165.589996,167.639999,163.940002,167.289993,1086300,164.079056
"692",166.270004,166.869995,161.949997,162.960007,975400,159.832184
"693",162.600006,162.789993,158.259995,159.860001,918100,156.791687
"694",159.539993,160.610001,157.199997,159.940002,749000,156.870148
"695",159.089996,160.369995,157.100006,158.270004,1206600,155.232178
"696",156.600006,156.889999,153.25,154.330002,913200,151.367828
"697",154.610001,155.380005,153.25,154.410004,641600,151.446274
"698",154.600006,156.419998,153.820007,155.949997,731400,152.956711
"699",157.509995,160,157.399994,158.559998,691600,155.516617
"700",158.139999,159.229996,157.089996,157.320007,430100,154.30043
"701",158.740005,161.240005,157.149994,159.729996,620300,156.664169
"702",159.210007,164.339996,159.199997,162.75,870600,159.626205
"703",162.5,164.710007,161.25,163.75,730800,160.606979
"704",163.520004,164.740005,160.720001,163.5,642900,160.361816
"705",164.529999,166.350006,163.990005,166.029999,663300,162.843246
"706",166.399994,167.25,164.130005,165.979996,575300,162.79422
"707",165.25,166.679993,163.259995,165.119995,701000,161.950714
"708",168.440002,170.550003,166.300003,166.809998,1070100,163.608276
"709",166.5,169.690002,165.339996,165.559998,643100,162.382263
"710",165.960007,167.970001,165.229996,166.410004,978800,163.215958
"711",166.270004,166.919998,163.990005,164.350006,657500,161.195496
"712",163.990005,165.550003,162.800003,163.970001,721600,160.822784
"713",163.839996,164.169998,161.059998,162.479996,826600,159.361359
"714",163.009995,166.330002,162.460007,164.820007,677800,161.656479
"715",165.839996,167.369995,164.589996,166.610001,708700,163.412125
"716",167.669998,170.869995,166.509995,168.139999,1222500,164.912735
"717",168.139999,169.949997,166.429993,169.699997,866300,166.44281
"718",170.449997,171.360001,168.830002,169.279999,669100,166.030869
"719",170.360001,170.699997,165.800003,167.399994,1243000,164.186935
"720",166.720001,171.429993,165.949997,168.820007,1805500,165.579712
"721",157.949997,160.410004,154.309998,156.139999,4357300,153.143066
"722",155.309998,158.880005,153.759995,158.580002,1370900,155.53624
"723",157.949997,157.970001,155.020004,156.830002,882000,153.819855
"724",157.789993,162.690002,157.440002,162.660004,1084500,159.537933
"725",162.850006,164.059998,160.949997,163.669998,862900,160.528549
"726",163.220001,163.619995,161.220001,161.979996,714500,158.870972
"727",161.789993,161.960007,159.720001,161.740005,724000,158.63559
"728",162.149994,163.179993,158.199997,158.330002,635900,155.291016
"729",158.300003,159.100006,156.820007,157.869995,971600,154.839859
"730",158.360001,160.5,157.589996,159.149994,647500,156.095306
"731",159.479996,159.479996,156.910004,157.089996,1004400,154.074829
"732",157.610001,160.610001,157.330002,158.779999,809700,155.732422
"733",158.460007,159.009995,156.679993,157.080002,487100,154.065033
"734",157.490005,159.570007,156.490005,156.550003,893600,153.545212
"735",155.25,155.25,151.880005,152.610001,1047200,149.680832
"736",152.619995,153.929993,152,152.330002,2822700,149.406235
"737",152.889999,153.479996,151.820007,152.289993,1603000,149.366974
"738",153.289993,155.449997,151.929993,154.619995,1803900,151.652252
"739",154.240005,154.440002,150.5,151.570007,1900000,148.660797
"740",153.179993,157.339996,152.440002,156.169998,1510600,153.172485
"741",155.860001,157.449997,153.770004,155.899994,944900,152.907654
"742",155.589996,157.839996,155.449997,156.119995,710300,153.123428
"743",156.220001,156.509995,154.220001,155.210007,768600,152.230927
"744",155.470001,155.619995,153.399994,153.5,659200,150.553757
"745",154.509995,158.860001,153.669998,157.979996,941700,154.947769
"746",158.130005,158.800003,156.509995,158.029999,564900,154.996826
"747",157.470001,158.449997,156.229996,156.479996,734700,153.534836
"748",157.770004,158.699997,156.089996,158.119995,1269200,155.143967
"749",158.220001,160.199997,156.899994,159.970001,683600,156.959152
"750",160.119995,162.059998,159.830002,160.570007,324200,157.547867
"751",160.529999,161.070007,158.440002,159.270004,482300,156.272324
"752",159.470001,159.75,158,158.350006,487200,155.369659
"753",158.350006,160.259995,157.429993,159.119995,563400,156.125168
"754",159.160004,160.309998,158.5,160.160004,609600,157.145599
"755",160.470001,160.949997,157.529999,159.410004,944900,156.409698
"756",158.029999,159.630005,157.25,159.419998,567000,156.419495
"757",157.740005,158.889999,156.429993,156.800003,880200,153.848816
"758",156.899994,157.399994,152.410004,154.940002,1129500,152.023819
"759",154.850006,156.050003,153.139999,153.160004,825700,150.277344
"760",153.779999,153.979996,150.25,152.869995,1177400,149.992783
"761",153.179993,153.5,148.610001,149.009995,1416100,146.205444
"762",145.330002,147,142.759995,145.259995,2138700,142.526001
"763",145.589996,149.080002,144.339996,148.899994,1568400,146.097504
"764",149.580002,151.490005,147.820007,150.210007,1208800,147.382874
"765",150.740005,152,150.100006,151.940002,677000,149.080292
"766",151.779999,152.080002,150.360001,151.050003,817400,148.207047
"767",150.619995,150.619995,147.860001,149,797300,146.195633
"768",148.869995,149.979996,146.809998,147.649994,1204300,144.871033
"769",146.070007,150.130005,145.970001,149.729996,1312600,146.911896
"770",150,150,141.210007,141.679993,1277100,139.013397
"771",139.889999,141.660004,139.059998,139.059998,937300,136.442734
