"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"815",61.759998,63.689999,58.049999,61.099998,7156100,61.099998
"816",60.709999,63.490002,59.099998,60.189999,5341600,60.189999
"817",56.91,57,52.91,54,6244600,54
"818",53.119999,56.400002,51.549999,52.669998,4688300,52.669998
"819",52.970001,53.5,46.209999,48.5,7994100,48.5
"820",53.700001,58.25,52.75,56.73,9013400,56.73
"821",65.949997,67.199997,59.75,60.849998,12004600,60.849998
"822",62.650002,69.389999,61.66,69.07,10758100,69.07
"823",73.910004,76.879997,67.82,70.650002,11008300,70.650002
"824",70.720001,71.349998,65.540001,69.300003,7528100,69.300003
"825",73.050003,74.540001,69.190002,74.480003,6531700,74.480003
"826",71.169998,72.860001,70,71.849998,5966700,71.849998
"827",71.040001,72.699997,68.809998,72.290001,6293700,72.290001
"828",77.160004,78.519997,74.510002,78.459999,7338100,78.459999
"829",76.18,78.660004,72.68,73.290001,5939600,73.290001
"830",71.080002,73.589996,69.68,70.400002,5283900,70.400002
"831",72.849998,73.25,69.610001,70.029999,3915400,70.029999
"832",75.220001,78.599998,74.290001,76.050003,10329600,76.050003
"833",76.959999,77.57,73.93,76.610001,4982700,76.610001
"834",78.260002,83.93,77.120003,82.769997,5905700,82.769997
"835",86.970001,87.57,78,82.160004,9126300,82.160004
"836",85.690002,89.870003,84.519997,89.029999,7076700,89.029999
"837",87.220001,90.809998,84.580002,85.529999,6565800,85.529999
"838",81.809998,82.989998,79.010002,80.830002,5109300,80.830002
"839",77.099998,80.949997,75.57,80.449997,4826300,80.449997
"840",82.690002,83.089996,78.349998,79.669998,4105200,79.669998
"841",80.459999,80.879997,78.010002,79.25,3469300,79.25
"842",80,82.669998,78.169998,79.599998,7431900,79.599998
"843",81.910004,87.400002,81.489998,86.940002,6400700,86.940002
"844",85.010002,85.769997,82.379997,82.669998,4940200,82.669998
"845",83.440002,83.910004,78.580002,78.660004,4044600,78.660004
"846",78.739998,79.870003,75.139999,76.769997,6993100,76.769997
"847",74.510002,78.5,71.199997,78.300003,5667100,78.300003
"848",76.370003,79.139999,75.610001,77.699997,3885000,77.699997
"849",82.519997,83,80.050003,81.470001,6582600,81.470001
"850",82.089996,85.239998,79.730003,82.029999,5439000,82.029999
"851",84.639999,87.279999,83.699997,86.860001,5359300,86.860001
"852",86.220001,86.849998,82.139999,83.150002,4382500,83.150002
"853",81.300003,81.419998,77.519997,78.25,7775200,78.25
"854",82.970001,86.169998,81.360001,84.889999,8349800,84.889999
"855",87.559998,87.800003,82.5,86.93,7608900,86.93
"856",87.040001,87.449997,82.610001,83.199997,5005800,83.199997
"857",81.660004,84.93,80.800003,83.279999,5123600,83.279999
"858",84.129997,86.639999,83.220001,86.470001,3707700,86.470001
"859",85.5,86.230003,82.550003,84.099998,5619900,84.099998
"860",85.800003,93.75,85.5,93.5,8273900,93.5
"861",96.980003,97.300003,91.720001,95.379997,10517800,95.379997
"862",102.07,104.010002,99.290001,101.610001,10986000,101.610001
"863",106.459999,108.93,104.050003,108.800003,6159100,108.800003
"864",105.379997,105.419998,101.410004,102.760002,6115200,102.760002
"865",102.82,103.400002,95.18,98.93,6583700,98.93
"866",90.150002,95.300003,89,89.739998,7717400,89.739998
"867",95.139999,95.739998,89.800003,92.309998,4921000,92.309998
"868",87.559998,93.080002,86.580002,92,4636300,92
"869",98,98.150002,87.220001,90.510002,7201000,90.510002
"870",90,90.760002,88.339996,88.699997,3873800,88.699997
"871",87.019997,89.900002,86.730003,88.370003,3146600,88.370003
"872",90.349998,90.980003,86.040001,86.790001,4161700,86.790001
"873",85.860001,86.199997,81.720001,83.32,4876800,83.32
"874",84.529999,85.339996,83.410004,84.510002,4351000,84.510002
"875",83.309998,83.389999,75.019997,75.209999,8439100,75.209999
"876",74.849998,74.849998,71.400002,73.559998,7971700,73.559998
"877",72.470001,73.410004,68.709999,69.050003,7082400,69.050003
"878",69.220001,74.230003,67.540001,74.220001,7053200,74.220001
"879",73.57,74.860001,72.120003,74.489998,4590400,74.489998
"880",75.25,78.239998,73.150002,73.790001,5433900,73.790001
"881",75.589996,78.349998,75.129997,77.32,6267200,77.32
"882",79.730003,80.989998,74.669998,76.699997,5925000,76.699997
"883",74.82,76.019997,73.139999,73.370003,3878800,73.370003
"884",73.18,74.559998,71.290001,74.18,4940500,74.18
"885",73.989998,74.010002,68.690002,71.129997,5923200,71.129997
"886",70.230003,74.220001,69.449997,74.129997,4805600,74.129997
"887",76.400002,84.980003,73.089996,81.269997,16235900,81.269997
"888",79.239998,80.239998,76.699997,79.300003,5721300,79.300003
"889",82.010002,86.959999,81.610001,86.739998,7416200,86.739998
"890",84.449997,86.07,83.550003,84.599998,3919000,84.599998
"891",84.75,85.18,81.959999,82.760002,2776000,82.760002
"892",82.370003,82.949997,79.669998,79.970001,2928100,79.970001
"893",81.129997,82.470001,78.93,79.190002,4081600,79.190002
"894",78.529999,78.949997,75.360001,76.099998,3964600,76.099998
"895",75.830002,75.940002,73.370003,73.900002,5158500,73.900002
"896",72.889999,73.410004,71.599998,73.410004,3446900,73.410004
"897",72.629997,73.550003,70.019997,70.690002,4832800,70.690002
"898",70.620003,74.970001,70.470001,73.370003,4769800,73.370003
"899",74.279999,75.400002,73.190002,75.290001,3131500,75.290001
"900",76.980003,77.150002,74.699997,76.419998,4378500,76.419998
"901",75.989998,76.239998,71.5,72.43,5520500,72.43
"902",71.769997,73.68,70.32,73.050003,4446900,73.050003
"903",72.639999,74.370003,71.82,72.75,3956100,72.75
"904",73.080002,75.239998,70.510002,71.279999,7054700,71.279999
"905",70.910004,77.089996,70.769997,76.57,7673800,76.57
"906",75.050003,75.959999,73.110001,74.099998,4874800,74.099998
"907",78.169998,81.75,77.360001,81.480003,9703800,81.480003
"908",85.849998,89.419998,84.849998,88.290001,11414400,88.290001
"909",89.489998,89.5,83.370003,85.800003,6416400,85.800003
"910",84.290001,86.730003,84.239998,86.669998,3263400,86.669998
"911",85.230003,86.089996,84.150002,84.980003,2697100,84.980003
"912",85.370003,85.690002,83.199997,83.5,2219900,83.5
"913",83.900002,83.900002,81.510002,81.629997,2462300,81.629997
"914",82.620003,83.790001,80.959999,81.260002,2549200,81.260002
"915",80,81.089996,79.019997,80.279999,2947000,80.279999
"916",81.459999,85.580002,81.099998,82.790001,4360800,82.790001
"917",83.660004,86.849998,81.349998,86.790001,4485700,86.790001
"918",87.589996,88.220001,84.709999,86.209999,2644200,86.209999
"919",85.889999,86.029999,84.300003,84.800003,2393000,84.800003
"920",84.879997,88.349998,84.68,86.519997,4183100,86.519997
"921",87.800003,93.209999,86.709999,91.550003,5852900,91.550003
"922",90.629997,90.800003,87.449997,87.449997,3368800,87.449997
"923",87.080002,88.650002,85.410004,86.279999,2674300,86.279999
"924",86.269997,89.690002,86.059998,89.330002,2435100,89.330002
"925",89.18,91.900002,85.800003,87.360001,3209000,87.360001
"926",88.309998,89.989998,84.580002,87.720001,3249900,87.720001
"927",85.050003,85.410004,82.489998,82.68,4039200,82.68
"928",83.660004,83.660004,80.599998,82.949997,3174300,82.949997
"929",84.129997,86.410004,83.120003,83.330002,3201800,83.330002
"930",84.620003,84.900002,80.879997,82.110001,2198400,82.110001
"931",83.029999,83.839996,81.860001,83.800003,2261900,83.800003
"932",83.910004,83.959999,80.769997,82.279999,3525600,82.279999
"933",81.190002,81.290001,77.32,79.660004,6588400,79.660004
"934",78.029999,80.57,77.989998,79.300003,2792100,79.300003
"935",78.910004,79.669998,76.269997,77.699997,3709900,77.699997
"936",73.739998,74.610001,70.839996,72.300003,7009900,72.300003
"937",72.690002,75.169998,72.010002,73.419998,3310300,73.419998
"938",73.940002,75.730003,70.510002,70.690002,4401700,70.690002
"939",70.5,72.349998,68.790001,71.07,3915400,71.07
"940",71.160004,72.559998,70.629997,72.360001,2684500,72.360001
"941",73.110001,74.57,72.43,73.620003,3203500,73.620003
"942",72.980003,73.089996,70.550003,70.980003,4250900,70.980003
"943",71.940002,73.940002,71.18,71.809998,4450800,71.809998
"944",72.139999,72.720001,71.110001,72.07,4258900,72.07
"945",70,73.440002,69.599998,73.199997,3115800,73.199997
"946",73.059998,74.07,72.029999,73.849998,3414400,73.849998
"947",74.57,77.739998,74.019997,74.32,5082600,74.32
"948",75.919998,75.949997,74.230003,75.059998,2847200,75.059998
"949",75.279999,76.089996,73.910004,74.32,2743700,74.32
"950",74.629997,75.529999,72.449997,72.669998,3095200,72.669998
"951",72.849998,74.199997,72.349998,74.110001,2072300,74.110001
"952",73.18,73.18,69.489998,71.739998,5278400,71.739998
"953",71.489998,72.550003,70.760002,71.699997,3263900,71.699997
"954",71.449997,72.75,70.660004,72.699997,2571600,72.699997
"955",72.529999,73.370003,70.919998,71.120003,3007600,71.120003
"956",71.400002,72.239998,69.5,69.669998,3848200,69.669998
"957",70.160004,73.080002,70.010002,72.440002,3506700,72.440002
"958",72.010002,73.400002,71.32,72.849998,2532200,72.849998
"959",75.230003,76.650002,74.150002,76.43,4012000,76.43
"960",76.650002,76.839996,74.790001,76.559998,2143300,76.559998
