"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"668",29.559999,29.92,29.26,29.870001,3433200,28.113506
"669",30.290001,30.75,30.02,30.540001,2818200,28.744108
"670",30.790001,31.1,30.49,30.620001,3061800,28.819405
"671",30.309999,30.52,29.52,29.719999,4935200,27.972324
"672",30.02,30.26,29.9,29.959999,2188700,28.198212
"673",30.309999,31.43,30.309999,31.059999,4148100,29.23353
"674",31.280001,31.879999,31.190001,31.559999,4006100,29.704126
"675",31.719999,32.349998,31.639999,32.07,4683900,30.184134
"676",31.790001,32.810001,31.610001,32.790001,4847700,30.861794
"677",32.860001,33.5,32.599998,33.5,4533700,31.530045
"678",33.5,33.990002,33.240002,33.630001,3954900,31.652397
"679",33.77,34.09,33.580002,33.639999,3819600,31.661812
"680",33.400002,33.779999,33.200001,33.459999,3328700,31.492397
"681",33.439999,33.610001,32.779999,33.57,3278900,31.595928
"682",33.459999,33.459999,32.419998,32.869999,5082500,30.937094
"683",32.779999,32.91,32.360001,32.400002,3375900,30.494728
"684",32.41,32.630001,31.85,31.860001,5374300,29.986485
"685",31.870001,32.41,31.700001,32.279999,3284700,30.381783
"686",32.540001,32.639999,31.48,31.700001,4968100,29.835894
"687",31.74,32.259998,31.700001,32.099998,3161700,30.212366
"688",32.009998,32.130001,31.83,31.99,3315000,30.108835
"689",32.240002,32.290001,31.879999,32.23,4686200,30.334726
"690",32.330002,32.849998,32.32,32.669998,3358600,30.74885
"691",33,33.16,30.98,31.17,6476100,29.337055
"692",30.870001,31.120001,30.549999,30.959999,4652700,29.139408
"693",30.91,31.030001,30.379999,31.01,4186900,29.186466
"694",31.209999,31.85,31.09,31.780001,3629000,29.911188
"695",31.41,31.469999,30.9,31.030001,5022500,29.205294
"696",30.57,31.07,30.139999,30.610001,4852300,28.809992
"697",30.719999,30.9,30.450001,30.65,3565000,28.847637
"698",30.639999,31.15,30.639999,31.02,5764700,29.195881
"699",34.099998,36.580002,34.040001,36.34,28822500,34.203041
"700",35.349998,36.240002,35.32,35.419998,11701900,33.337135
"701",35.639999,36.119999,35.419998,35.799999,5827500,33.694794
"702",35.709999,35.880001,35.41,35.610001,5105400,33.515968
"703",35.549999,36.310001,35.549999,36.02,4378000,33.901859
"704",36,36.16,35.810001,35.830002,3815300,33.72303
"705",36.099998,36.959999,35.98,36.790001,6178100,34.626587
"706",36.82,37.639999,36.57,37.369999,4840100,35.17247
"707",37.150002,37.799999,36.82,37.66,5529600,35.445415
"708",37.380001,37.5,36.860001,37.18,4222900,35.199272
"709",37.099998,37.360001,37.040001,37.18,4323500,35.199272
"710",37.389999,37.549999,36.689999,36.830002,4025200,34.867916
"711",36.41,36.84,36.369999,36.73,5232700,34.773243
"712",36.810001,36.869999,36.009998,36.290001,4170400,34.356678
"713",36.119999,36.290001,35.470001,35.939999,5582900,34.025322
"714",36.299999,37.16,36.200001,37.150002,3767500,35.170864
"715",37.41,37.91,37.18,37.299999,4154400,35.312874
"716",37.349998,37.91,37.009998,37.279999,3842900,35.293938
"717",36.900002,37.16,36.48,37.150002,7306000,35.170864
"718",37.400002,37.57,36.790001,37.139999,4006400,35.161396
"719",37.119999,37.139999,36.830002,37.07,3178300,35.095123
"720",36.82,36.889999,36.560001,36.830002,1828800,34.867916
"721",36.82,37.009998,36.57,36.900002,2945500,34.934185
"722",36.639999,36.650002,35.970001,36.02,3165000,34.101067
"723",36.02,36.310001,35.73,36.200001,2976900,34.271481
"724",36.43,36.59,36.09,36.330002,4185700,34.394554
"725",36.240002,36.25,35.66,35.860001,2956900,33.949593
"726",36.119999,36.130001,35.689999,35.73,3787500,33.826515
