"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"579",205.139999,207.330002,203.429993,206.050003,3702600,194.182465
"580",206.160004,208.300003,205.539993,206.720001,2750900,194.813889
"581",206.009995,207.720001,205.059998,206.5,3292100,194.606567
"582",205.880005,206.139999,203.339996,203.610001,3560300,191.88298
"583",203.309998,203.800003,200.339996,202.160004,3785200,190.516525
"584",201.550003,203.75,200.789993,203.699997,3415600,191.967819
"585",203.199997,203.520004,198.660004,198.800003,4644700,187.350052
"586",199.300003,201.059998,198.800003,201.009995,2810000,189.43277
"587",202,202.309998,200.320007,200.559998,3583400,189.008667
"588",198.740005,199.929993,198.309998,199.630005,2619400,188.132248
"589",196.75,197.649994,192.960007,194.770004,4622100,183.552139
"590",194.490005,196.610001,193.679993,195.169998,3122600,183.929108
"591",193.309998,195.080002,191.589996,194.580002,2917700,183.373108
"592",193.210007,195.490005,190.009995,194.580002,3863600,183.373108
"593",191,191.660004,189.139999,190.339996,3325900,179.377304
"594",190.5,192.759995,190.009995,191.619995,3663600,180.583557
"595",190.809998,192.809998,190.270004,191.759995,3355800,180.7155
"596",192.470001,194.960007,192.199997,192.380005,3854000,181.299789
"597",190.860001,194.5,190.75,192.580002,5223800,181.488297
"598",191.130005,192.860001,190.610001,190.949997,4782800,179.952179
"599",187.130005,192.520004,186.339996,191.449997,8555600,180.423401
"600",190.490005,192.220001,188.050003,188.910004,5706000,178.029663
"601",188.449997,192.539993,186.270004,192,7754000,180.941696
"602",192.539993,193.860001,190.410004,193.589996,3799500,182.440094
"603",194.380005,196.470001,191.350006,191.550003,5165800,180.517593
"604",190.279999,191.880005,188.029999,189.990005,4569900,179.047455
"605",190.130005,192.5,190.089996,191.080002,3029800,180.074677
"606",189.639999,190.289993,188.660004,189.850006,3681500,178.915527
"607",189.520004,191.869995,188.75,189.570007,4620200,178.651657
"608",191.580002,195.5,191.419998,195.25,5118100,184.004501
"609",194.009995,196.720001,193.080002,196.690002,3704600,186.661774
