"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"330",138.220001,139.460007,136.5,137.009995,267700,132.192017
"331",137.699997,138.059998,135.759995,137.210007,315400,132.384995
"332",137.199997,139.929993,137.190002,138.929993,231400,134.044464
"333",139.179993,140.720001,138.5,138.809998,224800,133.928696
"334",138.520004,140.419998,135.789993,138.110001,252300,133.253311
"335",138.119995,140.130005,137.669998,138.630005,209700,133.755035
"336",138.309998,142.25,138.139999,141.520004,301900,136.543411
"337",141.220001,143.759995,140.539993,143.25,269400,138.21257
"338",143.240005,144.160004,138.509995,143.720001,142000,138.666031
"339",143.529999,144.470001,143,143.929993,283100,138.868622
"340",143.940002,148.589996,143.899994,148.419998,454000,143.200775
"341",148.419998,149.220001,144.619995,148.350006,268700,143.13324
"342",147.960007,150.990005,140.399994,149.699997,258700,144.43573
"343",150.309998,151.470001,148.429993,148.970001,203100,143.731415
"344",148.960007,149.360001,146.259995,147.729996,226600,142.535034
"345",147.850006,150.770004,146.690002,149.300003,156900,144.04985
"346",148.589996,149.020004,147.520004,148.399994,163200,143.614334
"347",148.360001,149.470001,148.149994,148.839996,201200,144.040115
"348",149.429993,150.119995,146.710007,149.729996,170500,144.901428
"349",150.300003,150.300003,142.690002,145.869995,311900,141.165939
"350",145.240005,145.669998,144.380005,145.600006,214000,140.904633
"351",145.570007,147.410004,145.380005,146.520004,181400,141.794937
"352",146.429993,146.639999,144.179993,144.720001,147400,140.053009
"353",144.149994,144.850006,142.389999,143.449997,229200,138.823959
"354",143.639999,144.720001,142.679993,144.210007,257500,139.559448
"355",144.270004,144.550003,142.419998,142.919998,151700,138.311035
"356",143.860001,143.979996,141.789993,141.820007,284600,137.246506
"357",142.440002,145.289993,142.440002,144.619995,222900,139.956223
"358",144.470001,146.779999,144.470001,146.240005,122500,141.523987
"359",146.300003,148.039993,145.169998,147.940002,176300,143.169159
"360",148.020004,149.399994,147.580002,148.580002,202200,143.788513
"361",147.990005,149.330002,147.710007,149.110001,161600,144.301422
"362",149.259995,149.699997,148.479996,149.479996,92900,144.6595
"363",149.470001,150.690002,149.070007,150.289993,131900,145.443344
"364",150.210007,150.570007,148.110001,149.279999,168700,144.465942
"365",149.940002,151.779999,149.179993,151.300003,157100,146.420807
"366",150.800003,152.320007,150,151.990005,357200,147.088547
"367",151.529999,154.990005,151.199997,154,184100,149.033707
"368",152.850006,155.160004,151.509995,154.589996,212900,149.604706
"369",155,157.520004,153.119995,156.860001,211900,151.801498
"370",156.429993,156.809998,154.190002,154.399994,133400,149.420807
"371",154.850006,155.449997,153.130005,154,196900,149.033707
"372",154.440002,154.440002,151.940002,152.839996,167300,147.911118
"373",153.399994,156.320007,151.770004,154.710007,157800,149.72084
"374",154.860001,157.300003,152.899994,154.949997,214100,149.95311
"375",152.869995,154.970001,149.770004,152.199997,194600,147.291763
"376",152.690002,153.110001,145.070007,151.5,208000,146.614365
"377",150.720001,153.309998,149.529999,153.130005,138500,148.191772
"378",150.080002,152.089996,147.350006,150.949997,150000,146.082077
"379",151.029999,152.649994,149.440002,152.529999,198200,147.61113
"380",152.839996,155.490005,152.839996,155.160004,121400,150.156326
"381",155.699997,156.789993,155.229996,156.300003,164000,151.259567
"382",156.850006,157.5,156.139999,156.800003,153900,151.743439
"383",156.800003,157.309998,155.570007,156.5,132500,151.453125
"384",157.240005,157.240005,155.990005,156.229996,119600,151.191803
"385",156.380005,158.649994,156.380005,158.199997,155200,153.098297
"386",158.559998,159.259995,157.020004,157.589996,204000,152.507965
"387",157.600006,158.440002,156.949997,157.789993,221000,152.701523
"388",158.059998,159.160004,157.009995,157.5,207800,152.420837
"389",154.350006,162.220001,146.639999,161.559998,489900,156.34996
"390",162.600006,162.979996,158.169998,158.75,271800,153.630554
"391",158.529999,159.229996,156.229996,158.869995,180800,153.746674
"392",159.300003,159.820007,156.259995,156.910004,190000,151.849899
"393",156.610001,158.869995,154.630005,157.059998,145800,151.995041
"394",156.699997,158.520004,156.699997,157.410004,112400,152.333786
"395",157.990005,158.529999,153.630005,153.970001,129700,149.0047
"396",153.369995,154.839996,150.389999,150.860001,174600,145.99498
"397",150.979996,153.970001,150.979996,153.25,192400,148.307922
"398",153.240005,158.220001,152.119995,157.240005,249800,152.16925
"399",156.25,159.429993,155.800003,158.779999,154300,153.659592
"400",156.25,159.990005,156.240005,157.179993,118400,152.11116
"401",157.149994,159.5,157.149994,159.160004,141500,154.027374
"402",159.669998,162.869995,156.869995,160.490005,173100,155.314407
"403",160.479996,162.529999,159.75,161.259995,99400,156.059601
"404",161.089996,163.130005,160.350006,161.339996,85300,156.137024
"405",160.759995,163.360001,159.720001,161.210007,183600,156.01123
"406",161.320007,161.800003,159,159.369995,165700,154.662277
"407",159.919998,161.25,157.639999,160.509995,126600,155.768631
"408",159.509995,159.509995,157.570007,158.5,129800,153.817978
"409",159.389999,159.820007,158.240005,158.970001,115600,154.274078
"410",158.75,160.350006,158.119995,159.580002,119400,154.866089
"411",160.229996,161.240005,159.289993,160.470001,90900,155.729813
"412",160.320007,162.770004,160.320007,162.020004,162900,157.234055
"413",160.830002,162.789993,160.039993,160.990005,85700,156.234451
"414",160.949997,161.369995,159.509995,160.080002,123600,155.351318
"415",160.119995,161.320007,159.75,160.960007,100400,156.205322
"416",161.520004,163.470001,161.25,163.320007,171000,158.495636
"417",163.270004,164.899994,161.110001,161.320007,132300,156.554688
"418",162.190002,164.490005,160,164.350006,163600,159.495193
"419",164.339996,164.339996,156.770004,162.940002,114300,158.126816
"420",162.539993,164.630005,160.970001,164.259995,121800,159.407837
"421",164.259995,168.270004,163.080002,166.169998,150200,161.261398
"422",165.449997,168.960007,164.949997,167.529999,203000,162.581268
"423",167.820007,169.960007,165.889999,169.220001,171000,164.221329
"424",169.220001,170.869995,168.429993,169.910004,174600,164.890945
"425",171,171.710007,168.75,170.820007,156700,165.774063
"426",170.490005,172.559998,169.940002,171.529999,115000,166.463104
"427",171.779999,173.919998,170.690002,173.639999,195700,168.510757
"428",173.949997,175.869995,172.339996,173.220001,178500,168.103149
"429",172.759995,174.820007,172.759995,174.479996,182100,169.325912
"430",174.910004,174.910004,171.350006,172.800003,170200,167.695587
"431",172.820007,175.160004,172.330002,174.690002,167000,169.529755
"432",174.880005,174.880005,171.440002,172.389999,265400,167.297653
"433",173.110001,173.110001,168.690002,169.5,224700,164.493027
"434",169.75,171.740005,169.110001,169.309998,326500,164.30864
"435",167.649994,168.679993,166.660004,167.460007,231000,162.513321
"436",167.199997,169.369995,166.259995,168.600006,173300,163.619659
"437",169.179993,169.179993,166.070007,166.259995,129200,161.348755
"438",166.179993,167.080002,165.130005,165.389999,214200,160.504456
"439",165.389999,167.490005,165.389999,166.880005,161700,161.95047
"440",167.339996,168.080002,166.539993,167,312900,162.066925
"441",166.929993,167.919998,162.130005,164.259995,291700,159.407837
"442",164.889999,164.889999,161.5,161.529999,186400,156.758453
"443",160.229996,161.039993,156.740005,157.050003,307100,152.410812
"444",156,158.199997,154.910004,155.759995,337300,151.158905
"445",156.179993,156.369995,153.910004,154.440002,305200,149.877899
"446",153.820007,154.479996,151.550003,151.710007,381500,147.228561
"447",151.029999,152.509995,148.5,148.690002,398400,144.297745
"448",148.539993,151.220001,146.710007,146.839996,445400,142.502411
"449",148.25,149.229996,146.619995,148.160004,351800,143.783417
"450",147.75,148.520004,145.149994,147.339996,256500,142.98764
"451",148.300003,149.339996,145.899994,148.570007,391900,144.18129
"452",148.619995,151.550003,143.029999,144.229996,768400,139.969482
"453",148.5,151.559998,141.399994,142.339996,808800,138.13533
"454",143.029999,144.720001,139.759995,141.029999,617300,136.864029
"455",141.179993,143.289993,140.610001,141.360001,442900,137.184296
"456",139.460007,141.419998,136.830002,139.75,698800,135.621841
"457",139.610001,142.869995,138.830002,138.869995,450300,134.767822
"458",139.919998,144.009995,139.479996,142.820007,459400,138.601181
"459",140.899994,143.429993,140.039993,141.089996,331900,136.922256
"460",142.759995,144.410004,139.25,141.110001,415000,136.941666
"461",140.25,143.869995,140.25,143.509995,429900,139.270767
"462",144.389999,146.759995,144.389999,145.75,321700,141.444595
"463",146.220001,147.699997,145.460007,146.380005,245100,142.056015
"464",147.149994,147.990005,143.190002,145.080002,315200,140.794388
"465",145.149994,147.610001,144.759995,146.25,233700,141.92984
"466",146.270004,148.330002,146.25,147.059998,233200,142.715897
"467",148.070007,149.800003,147.380005,147.960007,304300,143.58934
"468",147.820007,149.649994,147.410004,149.300003,215200,144.88974
"469",148.389999,149.300003,145.050003,147.949997,233200,143.57959
"470",147.899994,149.690002,146.690002,148.059998,254900,143.686371
"471",148.320007,150.740005,148.320007,149.470001,198400,145.054733
"472",149.919998,152.820007,149.470001,151.229996,262500,147.205917
"473",150.270004,152.270004,149.479996,152.210007,195800,148.159836
"474",151.809998,155.029999,150.860001,154.529999,365200,150.418106
"475",154.529999,154.979996,151.410004,152.399994,292400,148.344772
"476",150.75,152.619995,149.210007,151.740005,254600,147.702347
"477",152.649994,155.089996,151.869995,153.149994,195200,149.074799
"478",153.160004,154.880005,152.940002,154.179993,120800,150.077393
"479",155.820007,156.100006,152.809998,154.449997,255400,150.34021
"480",154.039993,156.479996,154.039993,154.960007,146700,150.836655
"481",155.330002,161.279999,155.330002,161.190002,233300,156.900879
"482",160.589996,161.320007,159.449997,160.360001,138700,156.092972
"483",160.789993,162.720001,158.690002,162.509995,214500,158.18573
"484",164.070007,165,161.529999,164.75,146900,160.36618
"485",164.740005,164.990005,158.550003,159.850006,306000,155.596542
"486",157.589996,157.589996,152.309998,156.509995,273500,152.345413
"487",155.550003,158.449997,150.660004,152.410004,240500,148.354523
"488",151.470001,151.949997,147.960007,150.630005,216600,146.621902
"489",152.229996,154.929993,150,150.369995,178900,146.36879
"490",151.960007,154.919998,150.029999,150.110001,219200,146.115723
"491",150.350006,153.009995,149.369995,150.929993,147200,146.913879
"492",150.020004,154.979996,146.320007,146.839996,214600,142.932724
"493",146.270004,147.589996,143.720001,145.279999,206100,141.414261
"494",145.839996,147.550003,145.009995,145.479996,222800,141.608932
"495",145.410004,149.860001,143.229996,144.259995,260800,140.421371
"496",143.679993,146.570007,142.229996,144.610001,324000,140.762039
"497",144.259995,146.160004,139.229996,139.550003,473600,135.836716
"498",138.300003,140.479996,137.699997,138.610001,163800,134.921722
"499",139.990005,144.169998,137.020004,144.110001,232000,140.275375
"500",142.860001,145.660004,141.119995,145.600006,240400,141.725739
"501",146.479996,149.460007,145.029999,147.839996,251300,143.906097
"502",148.860001,149.449997,147.529999,148.649994,262900,144.69458
"503",146.649994,148,145,145.899994,260000,142.0177
"504",146.990005,146.990005,141.820007,144.369995,215200,140.528458
"505",145.820007,149.889999,145.089996,149.279999,162000,145.3078
"506",149.679993,151.429993,148.600006,150.149994,139500,146.154648
"507",151.009995,151.059998,149.020004,149.830002,163800,145.84317
"508",150.169998,154.869995,149.75,153.449997,150300,149.366837
"509",152.679993,153.600006,150.809998,152.809998,134900,148.743851
"510",152.800003,153.369995,151.550003,151.820007,164100,147.780243
"511",151.369995,153.119995,150.990005,151,160900,146.98204
"512",150.979996,152.050003,148.179993,149.589996,195300,145.609558
"513",149.729996,150.119995,147.949997,148.300003,244600,144.353882
"514",147.610001,152.660004,147.610001,150.789993,250800,146.777618
"515",151.029999,154.380005,150.270004,152.649994,259500,148.588135
"516",151.710007,153.179993,149.779999,151.899994,240900,147.858093
"517",152.789993,154.600006,150.529999,152.229996,169100,148.179291
"518",152.350006,153.820007,150.860001,152.619995,131900,148.558929
"519",153.779999,153.960007,150.199997,150.610001,148100,146.602417
