"","CHD.Open","CHD.High","CHD.Low","CHD.Close","CHD.Volume","CHD.Adjusted"
"37",49.509998,49.639999,48.869999,49.529999,2064100,46.437046
"38",49.380001,49.849998,49.32,49.560001,2313400,46.465168
"39",49.59,50.07,49.59,49.84,2355200,46.727684
"40",49.799999,50.41,49.619999,50.23,2489000,47.093342
"41",50,50.34,50,50.189999,1927800,47.05584
"42",50.060001,50.099998,49.68,49.849998,1265600,46.737064
"43",49.529999,49.970001,49.48,49.669998,1897100,46.568302
"44",49.639999,49.830002,49.48,49.549999,1758400,46.455807
"45",49.380001,49.740002,49.330002,49.509998,1158300,46.418304
"46",49.709999,49.900002,49.41,49.630001,1412700,46.5308
"47",49.860001,50.09,49.700001,50.029999,1056500,46.905827
"48",49.970001,50.119999,49.82,49.849998,1646000,46.737064
"49",49.830002,49.880001,49.490002,49.75,1366700,46.643307
"50",49.75,50.330002,49.75,50.18,1159300,47.046463
"51",50.139999,50.189999,49.91,50.110001,1006700,46.980827
"52",50.169998,50.490002,49.959999,50.099998,3435700,46.971455
"53",50.099998,50.389999,50.07,50.189999,1095600,47.05584
"54",50.23,50.630001,50.09,50.34,1463300,47.196476
"55",50.57,50.619999,50.240002,50.279999,1735900,47.140205
"56",50.18,50.73,50.18,50.34,1688000,47.196476
"57",50.360001,50.490002,50.009998,50.220001,1335600,47.083961
"58",50.16,50.66,50.040001,50.279999,1442100,47.140205
"59",50.200001,50.52,50.040001,50.259998,1199200,47.121464
"60",50.189999,50.32,50,50.040001,1647200,46.915195
"61",50.009998,50.220001,49.93,50.029999,848100,46.905827
"62",50.029999,50.220001,49.799999,49.869999,1356700,46.75581
"63",49.900002,50.23,49.77,49.889999,1234200,46.774567
"64",49.939999,50.049999,49.470001,49.75,1656000,46.643307
"65",49.75,49.990002,49.490002,49.57,2178800,46.474548
"66",49.57,49.860001,49.509998,49.759998,1649500,46.652683
"67",49.68,49.900002,49.48,49.549999,1529700,46.455807
"68",49.560001,50.040001,49.41,49.880001,907400,46.765194
"69",49.82,50.099998,49.75,50.009998,845400,46.887066
"70",49.869999,50.150002,49.810001,50.02,1789500,46.896458
"71",49.849998,50.009998,49.639999,49.799999,1091000,46.690186
"72",49.919998,50.34,49.849998,50.34,1069400,47.196476
"73",50.32,50.93,50.32,50.700001,1286800,47.533981
"74",50.740002,50.790001,50.5,50.650002,1117400,47.48711
"75",50.610001,50.709999,50.23,50.27,1636600,47.130844
"76",50.189999,50.549999,50.139999,50.25,1335900,47.112083
"77",50.389999,50.57,50.049999,50.389999,2053400,47.24334
"78",50.619999,50.650002,50.290001,50.299999,1606300,47.15897
"79",50.200001,50.240002,49.759998,49.790001,1571700,46.680813
"80",49.830002,50.040001,49.610001,49.779999,1546500,46.671432
"81",49.630001,49.650002,49.34,49.529999,1889900,46.437046
"82",49.639999,49.77,49.32,49.32,1117800,46.24015
"83",49.369999,49.540001,48.77,48.830002,1391000,45.780769
"84",48.880001,48.880001,48.419998,48.75,1708600,45.705757
"85",50.110001,51.27,50.029999,50.849998,3420700,47.674614
"86",50.849998,51.02,50.5,50.779999,1799700,47.60899
"87",50.799999,50.84,50.400002,50.619999,1467700,47.458977
"88",50.669998,50.700001,50.09,50.290001,1042800,47.149582
"89",50.27,50.91,50.27,50.869999,1342900,47.693375
"90",50.740002,50.849998,50.490002,50.669998,1313400,47.505856
"91",50.389999,50.57,50.040001,50.200001,1210500,47.242359
"92",50.049999,50.360001,50.049999,50.25,1170600,47.289406
"93",49.75,50.07,49.419998,49.48,1411900,46.564766
"94",49.48,50.09,49.259998,49.709999,1603700,46.781219
"95",49.66,49.900002,49.290001,49.68,1283300,46.752995
"96",49.68,49.93,49.41,49.740002,3991500,46.80946
"97",49.68,50.060001,49.599998,50.02,1168200,47.072968
"98",50.080002,50.619999,49.880001,50.310001,1434600,47.345879
"99",50.48,50.849998,50.419998,50.73,1046900,47.741123
"100",50.849998,51.43,50.77,51.200001,1152500,48.183441
"101",51.200001,51.290001,50.970001,51.099998,770400,48.089325
