"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"44",137.300003,137.759995,136.940002,137.410004,1133600,124.237854
"45",137.899994,138.380005,136.789993,136.960007,1133300,123.831017
"46",137.210007,137.820007,136.960007,137.410004,1051500,124.237854
"47",137.800003,137.889999,137.119995,137.809998,1074900,124.599487
"48",137.699997,138.199997,137.130005,137.539993,1285400,124.355377
"49",137.289993,137.809998,136.979996,137.330002,1016400,124.16552
"50",137.929993,138.550003,137.279999,138.259995,1422000,125.006378
"51",138.350006,138.600006,137.279999,137.729996,1214200,124.527168
"52",137.800003,138.100006,137.149994,138.100006,2874900,124.86171
"53",137.860001,137.860001,137.089996,137.139999,950800,123.993767
"54",137.470001,137.889999,135.639999,136.080002,1656900,123.035339
"55",136.080002,137.070007,135.710007,136.649994,1298200,123.55072
"56",136.520004,137.960007,136.399994,136.660004,1546500,123.559761
"57",136.660004,136.929993,135.539993,136.059998,942600,123.017258
"58",135,136.690002,134.800003,136.660004,1148200,123.559761
"59",136.070007,138.330002,135.960007,138,1466700,124.771317
"60",136.869995,136.979996,136.240005,136.5,1034300,124.035248
"61",136.169998,137.300003,136.110001,137.050003,726100,124.535065
"62",137.050003,137.059998,136.220001,136.25,1709100,123.808113
"63",136.369995,136.630005,135.660004,136.270004,1128500,123.826279
"64",136.190002,137.440002,136.190002,137.339996,955900,124.798584
"65",137.660004,138.110001,136.679993,136.779999,1157400,124.289711
"66",137.179993,137.979996,136.399994,137.589996,1437100,125.025726
"67",136.940002,138.029999,136.940002,137.470001,1010600,124.916702
"68",137.470001,138.419998,136.660004,137.979996,1004600,125.380142
"69",137.399994,138.070007,137.110001,137.800003,917100,125.216537
"70",137.100006,137.240005,136.419998,137.020004,1904400,124.507774
"71",136.699997,137.160004,136.25,136.720001,1124800,124.235199
"72",137.059998,138.339996,136.75,138.190002,1017100,125.57093
"73",137.789993,138.380005,137.479996,137.5,1206800,124.943939
"74",138.380005,138.380005,136.559998,136.970001,1463500,124.462341
"75",136.699997,137.039993,135.800003,136.779999,1714100,124.289711
"76",136.550003,136.899994,135.429993,135.479996,2472200,123.108391
"77",137.360001,137.649994,136.020004,136.779999,2436500,124.289711
"78",137.330002,137.789993,136.850006,137.119995,1870400,124.598663
"79",138.389999,140.389999,137.800003,138.929993,2167500,126.243332
"80",139.100006,139.479996,138.339996,138.419998,1032800,125.77993
"81",138.410004,138.630005,137.070007,137.25,1489400,124.716789
"82",137.279999,137.789993,136.699997,136.889999,1411500,124.389679
"83",137.199997,137.350006,136.580002,137.029999,1535000,124.516853
"84",136.979996,138.029999,136.839996,137.559998,1241300,124.998466
"85",137.979996,138.320007,137.449997,138.300003,1458000,125.670898
"86",138.520004,138.669998,137.320007,137.75,1474100,125.171104
"87",137.869995,137.949997,137.070007,137.229996,772200,124.698608
"88",137,137.330002,136,136.320007,1045200,123.871681
"89",136.729996,138.179993,136.559998,138,2057900,125.398293
"90",137.410004,137.699997,136.770004,137.210007,1395100,124.680428
"91",136.830002,137.309998,136.539993,136.740005,1009800,124.253342
"92",136.649994,137.600006,136.509995,137.369995,1053500,124.825806
"93",136.270004,137.770004,136.270004,137.020004,871900,124.507774
"94",137.020004,138.309998,136.639999,137.789993,2081500,125.207451
"95",137.630005,139.899994,137.570007,138.559998,1798200,125.907143
"96",138.800003,138.830002,138.009995,138.479996,1615100,125.834442
"97",138.710007,139.910004,138.710007,139.759995,1176300,126.997589
"98",139.759995,140.789993,139.630005,140.610001,1103000,127.769951
"99",140.580002,141.039993,140.279999,140.869995,1003100,128.006195
