"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"781",100.910004,101.779999,100.279999,100.57,642800,95.367035
"782",101.160004,103.379997,100.800003,102.599998,553700,97.292007
"783",103.059998,103.349998,101.720001,101.75,473300,96.486
"784",101.080002,101.269997,99.769997,99.980003,546600,94.807564
"785",100.040001,100.480003,98.800003,98.940002,432000,93.821365
"786",98.709999,99.559998,97.620003,99.32,978100,94.181702
"787",99.709999,100.239998,98.129997,98.93,846200,93.811882
"788",98.650002,100.209999,98.339996,99.099998,1019300,93.973083
"789",99.169998,102.419998,98.790001,102.360001,1056700,97.06443
"790",100.360001,100.629997,98.43,98.940002,1241300,93.821365
"791",99.300003,99.300003,94.209999,94.279999,969100,89.402443
"792",95.349998,97.389999,94.18,94.209999,770300,89.336075
"793",92.75,96.769997,91.919998,91.919998,1377200,87.164543
"794",89.5,91.330002,88.370003,90.620003,1237600,85.931801
"795",91.269997,94.809998,89.160004,94.800003,965100,89.895554
"796",93.900002,94.959999,89.639999,90.900002,1339100,86.197304
"797",92.07,94.300003,91.139999,93.919998,1330900,89.061081
"798",90.709999,92.029999,90.220001,91.010002,852400,86.301628
"799",88.019997,91.129997,87.910004,90.779999,978400,86.083519
"800",85.949997,86.940002,83.160004,85.040001,1256000,80.640488
"801",88.129997,90.669998,85.529999,90.080002,1218500,85.419731
"802",87.889999,88.050003,83.610001,85.370003,1197500,80.953407
"803",79.110001,79.720001,71.050003,77.419998,1324400,74.100418
"804",81.790001,86.110001,79.879997,84.360001,1506300,80.742836
"805",74.239998,83.919998,72.75,80.970001,1189200,77.498192
"806",82.650002,94.370003,82.150002,93.739998,1727800,89.720642
"807",87.290001,97.5,85.690002,91.029999,1359000,87.126854
"808",91.57,94.059998,82.75,88.459999,1371400,84.667046
"809",88.43,89.220001,81.050003,85.879997,1575300,82.197662
"810",84.559998,85.57,74.260002,76.220001,1680700,72.951866
"811",79.919998,81.370003,76.910004,79.580002,1384000,76.167809
"812",79.160004,83.639999,76.68,79.830002,1239600,76.407082
"813",80.440002,88.150002,80.199997,87.269997,1004100,83.528053
"814",84.239998,87.93,82.720001,86.089996,729300,82.398666
"815",86.910004,91.32,86.150002,90.760002,844500,86.868431
"816",90.559998,91.059998,86.199997,86.830002,1265300,83.106934
"817",83.769997,87.510002,83.209999,83.900002,1368700,80.302559
"818",83.050003,86.730003,82.559998,83.959999,1719900,80.359993
