"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"868",140.119995,148.100006,139.699997,146.630005,3314000,142.68692
"869",152.110001,152.410004,146.169998,149.110001,3804500,145.100235
"870",149.690002,150.070007,147.809998,148.339996,3507600,144.350952
"871",146.850006,149,146.320007,148.229996,2581600,144.243881
"872",150.460007,150.839996,144.729996,145.369995,5265900,141.460815
"873",144.610001,146.5,143.339996,144.940002,2529900,141.042374
"874",146.889999,147.240005,144.720001,144.860001,2309800,140.964523
"875",142.820007,143.330002,138.080002,138.350006,3371200,134.629608
"876",138.029999,142.800003,137.789993,142.460007,4019000,138.629074
"877",142.309998,142.309998,137.529999,138.210007,10255300,134.493347
"878",140.110001,143.300003,139.279999,143.240005,2971200,139.388107
"879",142.259995,145.520004,142.020004,144.589996,3688000,140.701782
"880",145.220001,146.479996,142.970001,144.110001,2609500,140.234711
"881",145.580002,147.149994,144.550003,145.020004,2758500,141.120239
"882",147.25,148.300003,146.130005,147.220001,2336700,143.261063
"883",146,146.100006,144.259995,144.970001,2622000,141.071564
"884",144.429993,145.929993,143.910004,145.589996,3587800,141.674881
"885",144.740005,145.520004,141.330002,141.369995,3167200,137.568375
"886",141.630005,143.119995,140.899994,142.449997,2325000,138.619324
"887",143.580002,145.880005,142.25,143.490005,2585700,139.631363
"888",143.490005,148.309998,142.289993,148.100006,2649800,144.117386
"889",151.199997,152.690002,150.869995,151.929993,2984600,147.844391
"890",151.009995,153.509995,150.25,153.080002,3697600,148.96347
"891",153.5,155.380005,152.460007,155,4886500,150.831848
"892",154.119995,154.880005,152.520004,153.389999,4876200,149.265121
"893",153.880005,157.020004,153.880005,154.759995,2394000,150.598297
"894",154.110001,155.610001,153.910004,154.610001,1798600,150.452332
"895",154.360001,155.490005,152.869995,153.729996,2625600,149.596008
"896",154,154.25,149.039993,149.429993,4368300,145.411606
"897",148.800003,150.960007,147.919998,150.759995,3378300,146.705856
"898",150.5,152.080002,149.419998,152.009995,3904200,147.922272
"899",151.570007,155.429993,151.169998,154.580002,3311500,150.423141
"900",152.929993,153.070007,149.029999,149.160004,2749100,145.148895
"901",148.919998,149.479996,147,149.369995,4061200,145.353241
"902",150.130005,150.25,147.309998,148.529999,2105400,144.535828
"903",147.259995,148.160004,146.210007,147.330002,3078300,143.368103
"904",148.789993,151,148.550003,150.820007,4097200,146.764267
"905",150.919998,152.899994,150.339996,152.580002,2502700,148.476929
"906",152.440002,155.259995,151.860001,155.110001,2520200,150.938904
"907",155.160004,159.880005,155.160004,159.429993,2858800,155.142715
"908",160.720001,163.25,160.100006,160.279999,3773700,155.969849
"909",162.520004,162.820007,158.990005,160.070007,2669400,155.765518
"910",157.679993,159.649994,157.570007,158.979996,2574900,155.579575
"911",158,160.869995,157.960007,160.279999,2844700,156.851776
"912",160.029999,160.880005,158.050003,158.759995,2817200,155.364273
"913",158.990005,159.759995,157.220001,157.380005,1869300,154.013809
"914",157.570007,158.130005,156.160004,156.850006,2098100,153.495132
"915",155.5,157.020004,155.210007,156.169998,1600300,152.829681
"916",155.960007,157.759995,155.960007,157.5,2507800,154.131241
"917",158.100006,159.449997,156.509995,159.369995,2087000,155.961243
"918",164.339996,167,163.520004,164.529999,7400500,161.010864
"919",164.800003,166.429993,163.339996,165.309998,3466600,161.774185
"920",166.190002,168.690002,165.089996,165.990005,4281100,162.439636
"921",166.320007,168.699997,165.460007,168.380005,13011800,164.778534
"922",168.580002,168.589996,164.690002,165.550003,4561900,162.009064
