"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"737",71,71.440002,70.730003,70.980003,1315600,59.187096
"738",71.129997,71.839996,70.889999,71.589996,1541200,59.69574
"739",71.019997,72.349998,71,72.199997,1567900,60.204395
"740",71.870003,72.989998,71.870003,72.5,1952600,60.454548
"741",72.970001,73.529999,72.300003,72.589996,1920100,60.529594
"742",72.470001,73.870003,72.309998,72.910004,2120200,60.796436
"743",73,73.419998,72.440002,73.169998,2410800,61.013229
"744",73.5,73.75,73.080002,73.389999,1690500,61.196686
"745",73.589996,74.029999,73.129997,73.360001,2004800,61.171673
"746",73.699997,74.870003,73.400002,73.889999,3682800,61.613621
"747",73.940002,74.43,73.790001,73.980003,2297600,61.68866
"748",74.199997,75.339996,73.779999,75.190002,5168300,62.69762
"749",75.139999,76.150002,74.910004,75.989998,1808100,63.364708
"750",76.099998,76.160004,75.529999,75.599998,644000,63.039505
"751",75.879997,76.599998,75.300003,76.129997,1226400,63.481453
"752",76.120003,76.25,75.68,75.709999,1321400,63.131226
"753",75.669998,76.230003,75.120003,75.419998,1151200,62.889412
"754",74.93,75.709999,74.730003,75.669998,1677400,63.097878
"755",75.919998,76.110001,75.040001,75.709999,1943600,63.131226
"756",75.919998,76.75,75.650002,76.580002,1727600,63.856682
"757",76.300003,77.139999,76.120003,76.910004,2109700,64.131866
"758",76.709999,76.949997,76.260002,76.849998,1364600,64.081818
"759",76.919998,77.029999,75.650002,75.650002,2153900,63.081203
"760",75.629997,75.730003,74.870003,75.610001,1726800,63.047848
"761",75.599998,75.910004,75.169998,75.529999,1445000,62.981144
"762",75.529999,76.480003,74.980003,76.239998,1368000,63.573181
"763",76.190002,76.309998,75.190002,75.970001,2308400,63.348034
"764",75.949997,76.370003,75.690002,75.910004,1410300,63.298016
"765",76.669998,77.080002,76.290001,76.779999,1637600,64.023453
"766",76.879997,77.18,76.309998,77.169998,1774700,64.348656
"767",77.139999,77.260002,75.889999,75.910004,2469200,63.298016
"768",75.910004,76.019997,75.269997,75.599998,1687300,63.039505
"769",75.220001,76.32,74.959999,76.290001,1585500,63.614868
"770",75.43,75.529999,74.400002,74.839996,1774700,63.180099
"771",73.529999,74.470001,73.5,74,1841100,62.47097
"772",74.389999,75.459999,74.300003,75.050003,1735900,63.357388
"773",75.260002,75.459999,74.800003,74.940002,1496000,63.264526
"774",74.339996,75.620003,74.339996,75.470001,2782400,63.711948
"775",74.720001,75.089996,74.220001,74.870003,3381500,63.205429
