"","COO.Open","COO.High","COO.Low","COO.Close","COO.Volume","COO.Adjusted"
"503",251.539993,252.880005,247.039993,250.630005,293500,250.494629
"504",249.220001,250.369995,242.449997,246.179993,468300,246.046997
"505",242,249.289993,241.720001,246.190002,870700,246.057007
"506",247.199997,250.529999,246,246.770004,483600,246.636703
"507",247.830002,254.300003,247.830002,253.830002,418000,253.692871
"508",255,263.149994,255,258.26001,452300,258.120514
"509",257.179993,260.299988,256.070007,259.640015,291900,259.499756
"510",258.660004,261.640015,255.830002,261.48999,185500,261.348724
"511",260.019989,263.579987,259.309998,260.579987,344900,260.43924
"512",259.730011,269.700012,259.209991,268.679993,318200,268.534882
"513",269,272.98999,266.850006,272.149994,435800,272.002991
"514",272.230011,274.450012,267.209991,267.5,542600,267.355499
"515",269.109985,270.079987,263.76001,269.630005,552200,269.514587
"516",268.359985,269.309998,264.390015,267.51001,310800,267.395508
"517",268.440002,272.589996,264.839996,268.809998,242600,268.694946
"518",269.079987,272.529999,268.980011,271.970001,239300,271.853546
"519",272.940002,275.809998,272.079987,275.609985,267700,275.492004
"520",274.070007,275.25,271.940002,273.640015,184200,273.522888
"521",273.670013,275.559998,271.079987,273.76001,202600,273.642792
"522",273.799988,279.149994,272.559998,276.75,296600,276.631531
"523",275.640015,279.779999,273.829987,278.76001,474100,278.640686
"524",281.920013,288.51001,277.01001,277.720001,373400,277.601135
"525",277.73999,278.700012,273.600006,277.23999,336200,277.121338
"526",278.220001,281.299988,276.730011,277.850006,225300,277.731018
"527",277.670013,278.649994,275.709991,276.459991,244800,276.341614
"528",274.440002,275.880005,270.540009,272.820007,310600,272.703186
"529",271.769989,276.160004,271.23999,276.070007,214500,275.951813
"530",277.5,279.48999,274.679993,275.230011,222300,275.112152
"531",276.980011,278.670013,274.5,278.089996,225300,277.971008
"532",279.01001,279.390015,274.670013,278,252300,277.881012
"533",277.579987,277.970001,275.519989,276.01001,267300,275.891876
"534",278.350006,280.190002,274.769989,279.070007,724600,278.950531
"535",279.130005,283.670013,278.880005,283.420013,308800,283.298706
"536",282.799988,285.089996,282.450012,284.619995,236700,284.498169
"537",284.119995,287.980011,283.540009,286.329987,289700,286.207428
"538",286.670013,293,284.690002,292.589996,339300,292.464783
"539",293.429993,295.100006,292.549988,294.600006,265500,294.473907
"540",294.399994,295.359985,288.279999,288.75,324600,288.626404
"541",287.73999,289.179993,286.329987,287.019989,588300,286.897125
"542",287.269989,288.450012,285.630005,285.98999,813500,285.867584
"543",287.179993,292.200012,285.540009,290.670013,884200,290.545563
"544",291.350006,291.670013,283.899994,287.850006,474300,287.726807
"545",289.019989,291.140015,285.369995,290.220001,514600,290.095764
"546",299,299,278.850006,282.76001,1027000,282.638977
"547",283.98999,292.459991,283.089996,288.390015,490300,288.266571
"548",286.48999,290.899994,282.929993,288.100006,392500,287.976685
"549",288.429993,290.519989,287.679993,288.809998,374900,288.686371
"550",289.910004,293.690002,288.01001,292.98999,331300,292.864563
"551",293.670013,294.390015,290.269989,292.109985,236200,291.984924
"552",291.470001,295.359985,289.959991,294.809998,429200,294.683777
"553",294.720001,296.76001,293.769989,295.230011,440200,295.103638
"554",294.75,296.320007,289.230011,293.179993,381600,293.054474
"555",292.779999,294.940002,289.809998,294.579987,375300,294.453888
"556",294.5,294.5,290.76001,291.209991,318300,291.085327
"557",290.73999,297.880005,290.73999,297.25,243800,297.122772
"558",296.630005,297.619995,291.600006,291.76001,271600,291.635132
"559",292.399994,293.839996,289.970001,292.309998,240200,292.184875
"560",294.309998,297.089996,293.790009,294.109985,364600,293.9841
"561",294.109985,294.809998,290.940002,292.850006,237100,292.72464
"562",294.220001,295.690002,291.51001,294.970001,256000,294.84375
"563",295.320007,297.940002,292.869995,296.170013,356500,296.043243
"564",298,302.359985,294.470001,295.820007,366200,295.69339
"565",296.450012,298.5,292.179993,297.589996,288100,297.462616
