"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
"222",251.759995,255.979996,249.179993,254.919998,1048900,254.919998
"223",254.740005,255.770004,251.5,253.889999,666800,253.889999
"224",254.639999,258.609985,253.669998,255.509995,718200,255.509995
"225",257.670013,258.880005,252.029999,256.429993,1303800,256.429993
"226",255.410004,257.350006,251.570007,254.380005,805000,254.380005
"227",254.320007,255.729996,253.440002,254.759995,285600,254.759995
"228",255.779999,263.899994,255.539993,262.420013,1049100,262.420013
"229",264.399994,266.410004,259,264.230011,1018300,264.230011
"230",264.399994,264.640015,254.020004,258.369995,1336200,258.369995
"231",259.959991,262.790009,254.240005,260.880005,1085100,260.880005
"232",259.350006,261,244.820007,254.070007,1354900,254.070007
"233",257.829987,257.98999,222.740005,225.800003,3879100,225.800003
"234",225.020004,233.820007,224.300003,227.360001,2147900,227.360001
"235",228.160004,233.740005,225.740005,233.009995,1216400,233.009995
"236",236.110001,242.169998,232.5,241.380005,1218000,241.380005
"237",242.720001,245.809998,235.050003,238.429993,1004300,238.429993
"238",237.419998,239.020004,232.779999,233.660004,1056900,233.660004
"239",234.800003,238.600006,233.880005,234.369995,1010800,234.369995
"240",234.529999,237.5,234.529999,235.630005,739200,235.630005
"241",235.809998,237.899994,232.839996,233.800003,979900,233.800003
"242",235.339996,235.339996,231.5,233.550003,1642600,233.550003
"243",234.350006,236.919998,232.669998,235.470001,800200,235.470001
"244",235.470001,236.529999,234.210007,235.050003,611300,235.050003
"245",235.860001,236.240005,232.660004,233.649994,485800,233.649994
"246",234.289993,235.130005,217.550003,218.759995,2062600,218.759995
"247",216.369995,224.009995,212.860001,223.119995,1154700,223.119995
"248",222.360001,224.419998,220.259995,223.539993,445800,223.539993
"249",223.220001,229.009995,223.119995,226.449997,706600,226.449997
"250",227.789993,227.789993,222.610001,226.479996,612100,226.479996
"251",225.990005,227.660004,222.089996,222.190002,560200,222.190002
"252",222.610001,226.190002,220.360001,224.619995,979700,224.619995
"253",226.059998,231.479996,225.009995,231.199997,924700,231.199997
"254",234.899994,235.660004,230.25,233.300003,1363000,233.300003
"255",234.880005,243.300003,234.220001,241.070007,1569500,241.070007
"256",242,250.990005,241.039993,248.899994,2067000,248.899994
"257",250,253.639999,250,251.440002,1212400,251.440002
"258",249.149994,250.889999,243.279999,248.309998,874800,248.309998
"259",248,253.199997,246.009995,252.910004,722400,252.910004
"260",254.100006,259.950012,250.009995,258.429993,892900,258.429993
"261",262.119995,268.179993,260.559998,263.880005,1197900,263.880005
"262",265.160004,273.600006,264.25,272.25,1174800,272.25
"263",272.25,272.690002,266.51001,270.700012,1088500,270.700012
"264",268.100006,269.75,263.200012,269.459991,1231400,269.459991
"265",269.640015,271.730011,258.920013,267.100006,1147200,267.100006
"266",267,276.98999,266.880005,272.160004,973400,272.160004
"267",273.519989,274.390015,267.600006,272.279999,798900,272.279999
"268",273.700012,276.230011,270,273.559998,565800,273.559998
"269",275.160004,287.320007,273.269989,283.970001,1132600,283.970001
"270",284.450012,284.970001,268.160004,276.769989,1585200,276.769989
"271",270.450012,272,245,270.079987,2451300,270.079987
"272",261.01001,270.600006,248.210007,262,4011400,262
"273",261.589996,262.649994,252.199997,255.570007,1735600,255.570007
"274",251.570007,262.570007,250.860001,257.380005,1622800,257.380005
"275",252.210007,259.140015,241.660004,242.399994,1878100,242.399994
"276",232.710007,245.649994,228,241.449997,2283400,241.449997
"277",241,242.220001,233.600006,234.330002,1160700,234.330002
"278",233.570007,233.960007,220.699997,220.710007,1918300,220.710007
"279",223.75,232.410004,219.110001,229.369995,1549900,229.369995
"280",233.25,235,225.910004,233.130005,1206800,233.130005
"281",230.759995,236.699997,229.679993,233.729996,727400,233.729996
"282",231.979996,246.899994,231.350006,246.339996,1214400,246.339996
"283",250,253.710007,245.389999,252.770004,1410700,252.770004
"284",253.850006,255.389999,249.039993,251.5,1056300,251.5
"285",250.570007,259.75,250.5,255.449997,1138900,255.449997
"286",255.360001,262.820007,252,252.139999,1086000,252.139999
"287",254.160004,262.329987,253.259995,259.679993,1084800,259.679993
"288",261.98999,266.799988,258.140015,265.070007,940000,265.070007
"289",266.799988,268.399994,262.420013,266.579987,722100,266.579987
"290",265.480011,267.269989,263.5,263.869995,635600,263.869995
"291",264.899994,267.779999,262.440002,262.519989,657300,262.519989
"292",255,259.839996,244.149994,245.550003,1833400,245.550003
"293",243.649994,254.889999,241.300003,253.710007,1015700,253.710007
"294",252.839996,256.640015,247.639999,255.490005,818300,255.490005
"295",256.01001,257.390015,252.160004,255.970001,741100,255.970001
"296",252.460007,263.920013,252.130005,262.899994,679300,262.899994
"297",264.920013,268.690002,263.570007,268.179993,630000,268.179993
