"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume","DFS.Adjusted"
"358",74.839996,74.959999,73.639999,74.480003,1602300,69.034592
"359",74.519997,75.440002,74.25,75.43,1892100,69.915146
"360",75.879997,76.550003,74.919998,75.540001,2213500,70.017082
"361",75.610001,75.610001,74.419998,75.379997,1398000,69.86879
"362",75.209999,75.949997,75.089996,75.269997,1174900,69.76683
"363",75.529999,75.669998,74.889999,75.309998,1322200,69.803917
"364",75.279999,75.660004,74.760002,74.839996,1779600,69.368271
"365",74.949997,75.879997,74.690002,75.199997,1937000,69.701942
"366",74.769997,74.830002,73.610001,74.57,3154900,69.118011
"367",74.269997,75,73.639999,74.589996,1873600,69.136551
"368",73.919998,74.230003,73.07,73.940002,1793200,68.534073
"369",74.599998,74.599998,73.230003,73.370003,1702600,68.005753
"370",73.190002,73.529999,72.410004,73.029999,2508100,67.690613
"371",73.760002,74.110001,73.239998,73.419998,3538900,68.052086
"372",73.230003,73.330002,71.82,72.290001,2503800,67.004723
"373",72.519997,72.709999,71.290001,71.389999,2399700,66.170509
"374",71.279999,71.809998,70.099998,70.099998,2282500,64.974815
"375",70.019997,70.459999,69.230003,70.160004,2213000,65.030434
"376",71.029999,71.489998,70.410004,70.410004,2753200,65.262177
"377",69.900002,71.18,69.639999,71.150002,2324400,65.948059
"378",71.550003,71.730003,70.400002,70.540001,985900,65.38266
"379",70.919998,70.989998,70.110001,70.580002,1164000,65.419746
"380",70.470001,70.860001,70.080002,70.440002,1835100,65.289963
"381",70.57,72.169998,70.489998,72.019997,3099800,66.754456
"382",72.230003,72.5,71.330002,71.580002,2209100,66.346619
"383",71.160004,71.669998,71.080002,71.239998,1673900,66.031464
"384",71.599998,71.809998,70.75,70.980003,2483200,65.790489
"385",70.709999,70.709999,69.580002,69.889999,2085100,64.780174
"386",69.910004,70.599998,69.709999,70.559998,1804500,65.401199
"387",70.360001,71.529999,70.360001,71.099998,1556100,65.901718
"388",71.190002,72.220001,71.190002,72.089996,1314500,66.819336
"389",71.610001,71.919998,70.980003,71.510002,2146400,66.281738
"390",71.629997,72.910004,71.550003,72.059998,3013900,66.791504
"391",72.099998,73.129997,72.080002,73.129997,2273600,67.783272
"392",73.5,73.650002,72.809998,73.110001,2703200,67.764755
"393",73.120003,73.209999,72.379997,72.739998,2062300,67.421806
"394",73,73.519997,71.910004,71.940002,2543400,66.680313
"395",72.980003,74.18,72.239998,73.160004,3130300,67.811104
"396",73.040001,73.370003,71.529999,71.900002,2095300,66.643227
"397",72.25,72.370003,71.389999,71.410004,1973400,66.189056
"398",71.599998,72.150002,71.139999,71.510002,1256200,66.281738
"399",71.169998,71.889999,70.980003,71.849998,1595200,66.596878
"400",71.980003,73.550003,71.93,73.339996,2723900,67.977928
"401",73.339996,73.370003,72.589996,73.139999,1351300,67.792564
"402",72.980003,74.839996,72.900002,74.800003,2510500,69.331192
"403",74.589996,75.580002,74.400002,75.5,2105300,69.980034
"404",75.5,75.940002,75.25,75.669998,2016200,70.137589
"405",74.769997,75.290001,74.389999,74.519997,3477800,69.071655
"406",74.489998,75.080002,74.18,74.330002,2043400,68.895561
"407",74.57,75.849998,74.540001,75.709999,1834900,70.174667
"408",75.230003,75.769997,74.879997,75.400002,2401000,69.887337
"409",75.870003,77.470001,75.790001,77.300003,2080700,71.648415
"410",77.370003,78.010002,77.160004,77.919998,1633800,72.223083
"411",78,78.709999,77.760002,78.519997,1517500,72.779213
"412",78.300003,79.690002,78.230003,79.239998,2238600,73.446571
"413",78.959999,79.269997,78.730003,78.879997,1687700,73.483849
"414",78.75,78.879997,77.860001,77.910004,1355300,72.580193
"415",78.199997,78.510002,78.07,78.269997,1042900,72.915581
"416",78.690002,79.360001,78.650002,79.059998,1580600,73.651527
"417",79.190002,79.220001,78.440002,78.5,2152400,73.129837
"418",78.559998,78.849998,77.879997,78.519997,1639000,73.148476
"419",78.370003,78.550003,77.730003,77.849998,1732300,72.5243
"420",77.75,78.199997,77.650002,78.120003,1629500,72.775833
"421",78.209999,78.75,77.800003,78.580002,1481000,73.204361
"422",78.699997,78.989998,78.199997,78.529999,2357500,73.157784
"423",78.510002,78.75,77.699997,77.730003,1651500,72.412514
"424",77.760002,77.860001,76.800003,77.459999,2034900,72.16098
"425",77.720001,78.440002,77.550003,78.129997,1410400,72.785149
"426",78.019997,79.43,77.709999,78.879997,2248800,73.483849
"427",78.879997,79.199997,77.550003,77.57,1904700,72.263466
"428",77.739998,78.029999,77.050003,77.099998,1944500,71.825615
"429",77.169998,78,77.169998,77.839996,1226900,72.514984
"430",77.970001,78.139999,77.440002,77.559998,1416300,72.254135
"431",77.82,78.57,77.470001,78.290001,1600300,72.934204
"432",78.449997,79.43,78.449997,78.760002,1415300,73.372055
"433",79.230003,80.300003,79.230003,79.349998,1745800,73.921684
"434",79.57,80.360001,79.410004,79.989998,3394100,74.517914
"435",79.849998,80.099998,78.720001,78.82,1302300,73.427948
"436",79.07,79.07,77.809998,78.599998,1581700,73.222992
"437",78.849998,78.849998,77.300003,77.440002,1756400,72.142349
"438",77.57,77.82,76.980003,77.099998,1362100,71.825615
"439",76.699997,77.300003,76.360001,76.449997,2308900,71.220085
"440",77.260002,77.599998,76.459999,76.730003,1565600,71.480927
"441",77.5,77.5,76.580002,77.330002,1530300,72.039886
"442",77.919998,78.639999,77.610001,78.010002,1651700,72.673363
"443",78.190002,78.760002,77.129997,77.739998,1758500,72.421837
"444",78,78,76.489998,76.82,1863100,71.564774
"445",76.639999,77.230003,75.970001,77,1282700,71.732452
"446",76.860001,76.910004,76.290001,76.589996,1247900,71.350494
"447",76.800003,77.099998,75.440002,75.519997,2784100,70.353699
"448",75.25,75.980003,73.940002,74.18,2273500,69.105362
"449",75.400002,75.769997,73.349998,74.540001,1493400,69.440742
"450",74.309998,74.730003,73.860001,74.010002,1563200,68.947014
"451",74.5,75.690002,73.809998,75.599998,1401100,70.428215
"452",75.889999,76.459999,75.089996,75.889999,1683800,70.698387
"453",75.790001,76.440002,74.690002,74.940002,1558300,69.813393
"454",75.150002,76.57,74.970001,76.029999,2126700,70.828812
"455",76.269997,76.5,74.269997,74.32,1970400,69.235786
"456",72.93,74.029999,71.970001,74.010002,1887000,68.947014
"457",73.93,74.459999,71.610001,72.349998,2512000,67.400558
"458",72.779999,73.580002,72.389999,73.220001,2537200,68.211044
"459",71.5,71.760002,67.059998,67.419998,4988800,62.807819
"460",67.889999,69.309998,66.830002,67.919998,3545100,63.273617
"461",68.410004,69.309998,67.800003,69.18,2098900,64.447411
"462",69.889999,70.440002,69.220001,69.669998,2683000,64.9039
"463",69.790001,70.440002,69.519997,70.110001,1868800,65.313797
"464",70.480003,70.620003,67.940002,68.739998,2324500,64.037514
"465",68.68,69.809998,68.339996,69.18,1950700,64.447411
"466",69.059998,69.910004,68.809998,69.57,2503300,64.810738
"467",69.910004,70.790001,69.449997,70.739998,1691000,65.900696
"468",70.559998,71.720001,70.099998,71.209999,1377700,66.338547
"469",70.949997,71.489998,70,70.559998,1477600,65.733009
"470",70.470001,70.730003,69.199997,69.339996,1104000,64.596474
"471",68.949997,70.599998,68.860001,69.940002,1408200,65.155426
"472",70.610001,70.809998,68.5,69.190002,1762400,64.456734
