"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"816",77.339996,78.949997,75.510002,75.790001,1029800,70.431351
"817",72.559998,74.129997,69.220001,70.839996,896500,65.831322
"818",69.830002,74.519997,69.830002,71.769997,993300,66.69558
"819",70.93,72.110001,67.290001,68.190002,1152600,63.368706
"820",71.720001,76.5,70.669998,74.330002,1194600,69.074585
"821",77.150002,77.309998,72.779999,73.599998,1010600,68.396187
"822",73.68,79.919998,73.400002,78.870003,1165300,73.293579
"823",80.290001,84.690002,79.720001,82.230003,1634600,76.416023
"824",81.099998,81.559998,78.089996,79.610001,819500,73.981255
"825",81.029999,82.019997,79.93,81.830002,1198800,76.044296
"826",79.010002,80.629997,78.379997,79.660004,902200,74.027718
"827",79.879997,80.559998,78.010002,79.010002,971400,73.423683
"828",80.589996,81.919998,78.690002,79.910004,1505300,74.260048
"829",79.650002,79.860001,76.139999,76.599998,649400,71.18409
"830",75.150002,76.099998,74.129997,75.610001,687000,70.264076
"831",76.779999,78.209999,75.660004,77.580002,671600,72.094788
"832",77.639999,78.18,75.690002,75.82,660400,70.459221
"833",76.25,77.400002,75.029999,77.139999,1026800,71.685898
"834",77.949997,79.57,77.550003,78.760002,740800,73.19136
"835",80.870003,80.870003,79.129997,79.989998,1197600,74.334389
"836",81.5,81.519997,78.25,78.550003,1226200,72.996208
"837",77.779999,77.970001,75.5,76.989998,1381400,71.546509
"838",75.480003,75.480003,72.989998,74.120003,1479500,69.587143
"839",74,74.230003,72.75,73.650002,834400,69.145882
"840",74.040001,75.739998,73.779999,74.639999,1037300,70.075333
"841",74.970001,74.980003,71.699997,72.010002,868400,67.606171
"842",72.940002,73.870003,71.620003,71.760002,1585500,67.37146
"843",74.32,74.970001,72.629997,73.870003,1268400,69.352425
"844",73,73.910004,71.93,73.650002,1189800,69.145882
"845",74.5,74.650002,72.300003,72.480003,1271500,68.047432
"846",71.959999,72.660004,70.910004,72.459999,1373600,68.028648
"847",71.589996,72.699997,70.110001,72.019997,1554900,67.615562
"848",71.230003,71.760002,69.559998,71.419998,2709400,67.052261
"849",73.690002,75.5,73.370003,74.860001,940600,70.281883
"850",74.629997,74.629997,72.559998,72.589996,646100,68.150703
"851",72.919998,73,71.769997,72.769997,1446400,68.319687
"852",72.610001,73.32,72.150002,72.279999,941200,67.859657
"853",72.199997,72.739998,71.5,72.660004,825200,68.216431
"854",74.379997,75.400002,73.760002,74.339996,1085300,69.793678
"855",75.629997,75.849998,73.790001,75.5,1433500,70.882744
"856",76.849998,77.400002,75.639999,76.849998,1264000,72.150177
"857",76.419998,78.669998,75.559998,77.900002,4708500,73.135963
"858",77.900002,78.139999,76.690002,77.580002,1245400,72.835541
"859",78.110001,78.760002,77.650002,78.160004,1035700,73.380066
"860",79.110001,80.139999,78.879997,78.970001,718900,74.140526
"861",78.580002,78.580002,76.790001,77.830002,879500,73.070236
"862",79.220001,81.07,79.220001,79.379997,778400,74.525459
"863",79.599998,82.290001,79.349998,82.040001,1445700,77.022797
"864",81.139999,81.139999,78.029999,80.110001,972200,75.210808
"865",79.900002,80.379997,77.82,78.129997,1321100,73.351898
"866",76.470001,77,73.970001,74.699997,1828900,70.13166
"867",76.540001,76.540001,74.57,75.599998,1437600,70.976616
"868",75.440002,77.599998,74.440002,77.089996,1112200,72.375511
"869",79.040001,79.690002,76.82,77.230003,1114700,72.506943
"870",77.68,77.699997,75.830002,76.25,1204800,71.586876
"871",76.290001,77.519997,76.019997,76.650002,1279800,71.962402
"872",77.550003,77.760002,73.43,73.5,2749400,69.005051
"873",73.589996,74.470001,72.82,73.279999,1146100,68.7985
"874",73.910004,74.080002,71.949997,72.239998,861800,67.822105
"875",71.529999,72.330002,70.980003,71.620003,1235300,67.240021
"876",71.349998,71.419998,70.349998,71.360001,1313800,66.995934
"877",71.199997,72.220001,69.959999,71.050003,1302800,66.704887
"878",71.809998,72.959999,70.879997,72.959999,775100,68.49807
"879",72.849998,73.580002,72.330002,73.290001,1230000,68.807899
"880",73.519997,75.720001,73.43,75.389999,1026500,70.779472
"881",75.889999,77.110001,75.510002,76.029999,1001100,71.380333
"882",76.730003,77.540001,75.910004,76.800003,921700,72.103241
"883",75.879997,76.690002,75.529999,76,1347900,71.352173
"884",76,76.910004,75.699997,76.720001,715300,72.02813
"885",76.480003,76.709999,75.110001,76.25,698000,71.586876
"886",76.080002,78.400002,76.080002,78.260002,627700,73.473953
"887",78.32,79.599998,78.139999,78.910004,749500,74.084206
"888",78.870003,79.989998,78.82,79.620003,837700,74.750778
"889",80.730003,80.900002,79.400002,79.879997,808100,74.994881
"890",80,80.760002,79.830002,80.559998,696700,75.633293
"891",81.25,82.599998,81.089996,82.529999,641200,77.482811
"892",82.32,82.519997,80.610001,80.779999,904000,75.839836
"893",80.849998,81.660004,80.529999,80.919998,764000,75.971275
"894",80.449997,83.089996,79.860001,82.980003,1020500,77.905304
"895",82.900002,83.330002,81.919998,82.309998,811400,77.276268
"896",82.650002,83.230003,81.029999,81.379997,849000,76.403145
"897",81.300003,81.330002,79.07,80.279999,638700,75.370422
"898",79.959999,81.599998,79.959999,81.230003,710300,76.262321
"899",81.239998,82.360001,80.730003,82.089996,833900,77.069717
"900",81.449997,83.400002,80.43,82.699997,1145300,77.642426
"901",81.120003,83.279999,80.589996,83.080002,1549300,78.744728
"902",82.989998,83.040001,80.629997,81.989998,817000,77.711609
"903",81.540001,81.860001,80.709999,81.589996,1320800,77.332481
"904",81.699997,81.830002,79.25,79.739998,1028700,75.579018
"905",80,81.650002,78.879997,80.790001,1113000,76.574226
"906",80.5,82.529999,80.5,82.160004,968000,77.872742
"907",82.610001,82.93,81.949997,82.580002,787200,78.270828
"908",82.900002,83.43,80.68,80.769997,1447200,76.555275
"909",81.160004,81.419998,80.309998,80.43,780600,76.233009
"910",80.080002,80.080002,77.410004,78.489998,1420000,74.394249
"911",78.480003,78.720001,77.75,78,662100,73.929825
"912",77.870003,78.190002,76.239998,76.400002,1436800,72.413307
"913",76.519997,76.839996,74.919998,75.75,1525700,71.797226
"914",76.059998,76.300003,75.080002,76.019997,945300,72.053139
"915",75.75,75.879997,74.720001,74.970001,516100,71.057922
"916",75.059998,75.150002,73.75,74.260002,727600,70.384979
"917",74.389999,75.389999,73.480003,75.150002,655700,71.228531
"918",75.330002,75.330002,74.050003,74.470001,492600,70.584015
"919",74.120003,74.169998,72.349998,72.82,780000,69.020119
"920",73.010002,73.540001,72.290001,73.230003,602900,69.40873
"921",73.589996,73.919998,72.730003,73.480003,528800,69.645691
"922",73.230003,73.980003,72.980003,73.349998,852300,69.522453
"923",73,73.059998,71.269997,71.540001,1026200,67.806915
"924",71.540001,74.440002,71.5,73.919998,889600,70.062721
"925",74.400002,74.779999,72.290001,72.970001,839000,69.162292
"926",73.120003,73.389999,71.43,72.400002,906700,68.622032
"927",72.5,73.57,71.459999,73.18,987100,69.361336
"928",72.989998,74.07,72.510002,72.629997,570500,68.840034
"929",72.57,72.690002,71.129997,71.389999,1005500,67.664734
"930",71.690002,71.690002,70.5,70.900002,514200,67.200317
"931",71.099998,72.57,71.029999,72.089996,807300,68.328209
"932",72.349998,73.25,71.660004,72.019997,773200,68.261856
"933",72,73.029999,71.900002,72.300003,805900,68.527252
"934",72.050003,72.489998,71.32,72.160004,901400,68.394562
"935",71.699997,72.410004,70.410004,70.43,1575600,66.754845
"936",70,71.559998,69.290001,70.809998,943700,67.115005
"937",70.610001,72.43,70.519997,71.830002,767700,68.081772
"938",71.860001,72.5,70.910004,70.93,675200,67.228745
"939",71,73.040001,70.400002,72.760002,978600,68.963249
"940",72.290001,73.900002,72,73.769997,747100,69.92054
"941",74.169998,74.849998,73.629997,73.889999,781300,70.034279
"942",73.82,74.650002,73.379997,73.449997,659000,69.617241
"943",74.160004,75.199997,73.760002,74.550003,1266000,70.659851
"944",74.970001,75.860001,74.349998,75.32,843700,71.389664
