"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"686",73.830002,73.830002,72.169998,72.949997,8223800,65.011627
"687",72.879997,73.239998,72.019997,72.089996,5922700,64.245201
"688",72.949997,74.459999,72.620003,74.029999,10324100,65.974113
"689",74.209999,75.139999,73.919998,74.849998,7677300,66.70488
"690",74.949997,76.440002,74.949997,75.720001,8315100,67.480202
"691",75.889999,76.029999,72.940002,73.230003,10910800,65.261154
"692",72.889999,73,71.57,72.129997,8380500,64.280861
"693",72.059998,73.940002,72.040001,73.849998,6228500,65.813698
"694",74.220001,75.059998,73.949997,74.660004,7007500,66.535545
"695",74.720001,75.269997,74.080002,74.330002,5163500,66.241455
"696",73.879997,74.75,73.419998,73.529999,6121500,65.528511
"697",74.07,74.620003,73.25,73.300003,5851000,65.32354
"698",73.220001,74.629997,73.199997,74.449997,7329400,66.348396
"699",73.970001,74.339996,73.57,73.629997,7164900,66.57444
"700",73.650002,74.169998,73.389999,73.760002,5040900,66.691986
"701",74.199997,74.980003,73.800003,74.5,6028300,67.361069
"702",74.379997,74.980003,74.339996,74.75,8288300,67.587112
"703",74.989998,76.18,74.650002,75.139999,6811300,67.939743
"704",75.239998,77.169998,75.209999,76.459999,9480200,69.133263
"705",76.879997,77.849998,75.849998,77.300003,7839100,69.892769
"706",78.050003,78.660004,77.75,77.870003,6062000,70.408142
"707",77.790001,78.019997,77.190002,77.75,6136700,70.299644
"708",77.839996,77.889999,76.25,76.800003,5699300,69.440681
"709",76.389999,76.790001,76.220001,76.529999,5497000,69.196548
"710",76.669998,78.379997,76.489998,78.330002,7146400,70.824066
"711",78.110001,78.739998,77.589996,78.470001,6391500,70.950653
"712",78.510002,79.790001,78.010002,79.660004,7222500,72.026627
"713",79.709999,79.739998,78.739998,79.550003,10009400,71.927162
"714",80.029999,82.18,79.129997,81.75,13356300,73.916344
"715",82.949997,83.32,82.139999,82.989998,9127900,75.037521
"716",83.169998,83.400002,81.470001,81.839996,7475600,73.997711
"717",81.769997,82.25,80.349998,82.080002,9303600,74.214722
"718",82.209999,82.589996,81.080002,82.010002,6561500,74.151428
"719",82.099998,85.459999,82.089996,85.209999,11364100,77.044792
"720",84.949997,85.68,83.900002,85.660004,8726300,77.451675
"721",85.599998,88.279999,85.550003,86.440002,12165900,78.156937
"722",85.739998,87.269997,85.330002,86.660004,5798800,78.35585
"723",86.480003,87.75,85.93,87.629997,5425600,79.232887
"724",88.099998,89.190002,87.260002,88.629997,8036700,80.13707
"725",88.339996,89.410004,88.32,88.730003,5772300,80.227501
"726",89.260002,90.410004,88.910004,89.019997,7504800,80.4897
"727",88.720001,88.720001,86.540001,87.199997,10933000,78.844093
"728",86.790001,86.870003,85.550003,86.519997,9614100,78.229256
"729",86.639999,86.790001,85.309998,86.050003,7784700,77.804306
"730",86.849998,87.879997,86.059998,87.760002,9522100,79.350433
"731",88.150002,88.190002,86.93,87.720001,6431400,79.314278
"732",87.860001,88.809998,87.610001,88.330002,4711800,79.865829
"733",88,88.089996,87.220001,87.730003,3042800,79.323311
"734",87.839996,88.029999,87,87.029999,6526400,78.690384
"735",85.959999,86.480003,85.589996,85.949997,10054500,77.713882
"736",86.18,87.550003,86.120003,87.199997,6174600,78.844093
"737",87.25,87.25,86.260002,86.720001,6072100,78.41008
"738",87.209999,87.709999,86.779999,86.980003,6044600,78.645187
"739",87.220001,87.720001,86.379997,86.440002,5582700,78.156937
"740",86.919998,86.949997,86.209999,86.559998,7816000,78.265419
"741",86.699997,87.260002,86.230003,86.699997,7326400,78.392014
"742",86.760002,88.940002,86.75,88.730003,6260500,80.227501
"743",88.779999,89.089996,87.330002,87.839996,5975200,79.422768
"744",88.379997,90.120003,88.260002,89.43,6723300,80.86042
"745",90,90.169998,89.07,90.080002,8750000,81.448128
"746",90.050003,90.18,89.019997,89.330002,6490100,80.769997
"747",89.68,89.68,88.559998,88.769997,5447000,80.263649
"748",90.400002,91.989998,89.150002,89.290001,19134800,80.733826
"749",89.529999,90.470001,89.330002,90.25,5907200,81.60183
"750",90.400002,90.400002,89.43,89.849998,1798800,81.240158
"751",90.199997,90.720001,89.449997,89.830002,4066700,81.222092
"752",89.980003,90.279999,88.830002,89.199997,4087800,80.652443
"753",89.220001,89.730003,88.160004,88.519997,7014800,80.037621
"754",88.209999,88.599998,87.879997,88.540001,4702100,80.055702
"755",89.080002,89.57,88.510002,89.550003,5639200,80.968918
"756",88.169998,89.389999,87.900002,88.699997,5988500,80.200363
"757",88.220001,89.620003,87.980003,89.400002,6786600,80.833298
