"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"461",114,117.739998,113.099998,117.459999,8057600,108.613167
"462",119.410004,122.889999,119.260002,121.32,10341300,112.182426
"463",122.589996,125.230003,120.940002,124.699997,10138900,115.307846
"464",127.050003,128.300003,124.260002,125.790001,7683900,116.31575
"465",126.089996,126.949997,124.550003,126.410004,4844200,116.889061
"466",126.400002,129.5,126.309998,129.330002,4728200,119.589134
"467",133.520004,135.220001,130.880005,135.100006,7551900,124.924553
"468",133.830002,134.699997,130.899994,131.389999,6269400,121.49398
"469",129.589996,129.600006,125.730003,126.910004,7248400,117.351402
"470",127.18,128.410004,124.589996,125,5870100,115.585266
"471",125.5,129.789993,125.279999,125.959999,5820200,116.472954
"472",127.269997,129,123.730003,125.099998,5516300,115.677734
"473",124.32,130.279999,123.129997,129.419998,5815200,119.672363
"474",128.789993,131.919998,128.050003,129.960007,5957700,120.1717
"475",129.149994,129.490005,125.599998,125.980003,5385600,116.491455
"476",123.849998,123.970001,121.230003,122.269997,7746200,113.060867
"477",122.82,126.220001,122.510002,123.870003,4759500,114.540359
"478",121.959999,124.050003,121.57,122.32,3130100,113.107124
"479",123.650002,125.790001,123.160004,124.800003,4696600,115.400322
"480",124,124.599998,122.389999,124.599998,4049400,115.215385
"481",125.300003,130.779999,123.839996,130.770004,5745200,120.920685
"482",130.800003,130.910004,127.589996,130.229996,4999600,120.421341
"483",130.050003,135.970001,129.839996,135.669998,8458200,125.451622
"484",141.880005,142.410004,138.529999,138.949997,9365800,128.484573
"485",138.080002,138.080002,129.039993,129.320007,8113400,119.579872
"486",125.220001,128.690002,124.050003,128.369995,6595200,118.701431
"487",129.100006,129.979996,122.75,123.550003,6413700,114.244469
"488",122.410004,124.370003,121.160004,123.389999,5970900,114.096519
"489",127.18,127.980003,122.25,123.239998,4449900,113.957817
"490",125.739998,127.970001,125.099998,125.370003,5544100,115.927406
"491",126.449997,129.110001,125.040001,125.900002,4544100,116.417458
"492",123.419998,127.739998,123.150002,126.769997,4483300,117.221947
"493",126.800003,127.650002,123.68,124.470001,5662300,115.095169
"494",125.870003,128.75,123.599998,124.269997,5377900,114.910233
"495",125.07,128.949997,120.800003,122.330002,6416500,113.116364
"496",121.739998,124.540001,120.760002,121.550003,7563500,112.395111
"497",121.730003,123.730003,119.57,120.07,10034100,111.026581
"498",118.169998,119.589996,116.669998,116.949997,2986600,108.141556
"499",118,124.769997,116.089996,124.760002,5093700,115.36335
"500",121.800003,126.690002,120.93,126.669998,4599000,117.129471
"501",127.129997,128.25,125.050003,125.610001,3813500,116.149323
"502",126.599998,128.110001,124.5,127.07,3455200,117.499352
"503",124.029999,127.879997,123,126.379997,4783200,116.861305
"504",125.309998,125.5,120.440002,121.510002,6165800,112.358131
"505",124.169998,128.589996,123.699997,128.149994,5456600,118.498009
"506",128.589996,129.600006,126.699997,128.229996,4653400,118.571976
"507",129.899994,131.5,128.229996,129.770004,4202600,119.995995
"508",131.089996,132.220001,129.910004,130.270004,4865600,120.458336
"509",128.610001,133.119995,127.25,132.960007,3418500,122.945717
"510",131.080002,132.320007,130.050003,132.100006,2908600,122.150497
"511",130.309998,132.389999,129.130005,131.800003,4482300,121.873123
"512",132.110001,133.110001,129.559998,130.690002,3224100,120.846718
"513",130.759995,132.520004,130.240005,131.660004,3636900,121.743668
"514",130.470001,135.899994,129.160004,134.539993,6878500,124.406715
"515",135.100006,137.720001,133.660004,136.600006,6122400,127.124168
"516",134.929993,134.940002,131.169998,132.240005,5188700,123.06662
"517",133.039993,133.490005,130.149994,131.820007,3123600,122.675774
"518",131.410004,132.990005,131.199997,132.729996,3943600,123.522621
"519",134.770004,136.889999,133.889999,136.860001,6417400,127.36615
"520",126.989998,127.800003,123.150002,124.370003,17421400,115.742569
"521",125.610001,128.389999,125.610001,126.529999,8550800,117.752708
"522",127.93,131.350006,126.309998,130.110001,7181600,121.084389
"523",130.320007,133.339996,129.039993,133.160004,6643300,123.922798
"524",133.029999,133.860001,130.110001,130.910004,5646700,121.828896
"525",130.880005,131.309998,130.100006,130.880005,4541700,121.800972
"526",130.630005,132.100006,130.600006,132,3614500,122.843269
"527",131.270004,132.100006,130.360001,130.539993,3098200,121.484543
"528",129.289993,130.440002,127.360001,128.779999,3682100,119.846634
"529",127.480003,128.600006,126.550003,128.600006,3135000,119.679146
"530",128.949997,130.070007,128.690002,128.929993,2648100,119.986229
"531",130.259995,133.559998,130,132.669998,4505600,123.466797
"532",134.199997,134.309998,132.449997,133.100006,3189600,123.866959
"533",131.779999,133.25,131.270004,132.619995,2877500,123.42025
"534",134.100006,136.25,133.679993,136.199997,5217500,126.751907
"535",135.350006,136.979996,135,135.800003,3881300,126.379684
"536",136.389999,140.690002,136.339996,140.309998,6199000,130.576813
"537",139.75,140.979996,138.410004,138.880005,4051100,129.246017
"538",138.779999,139.690002,137.929993,138.679993,3485000,129.059875
"539",140.990005,142.550003,140.179993,141.410004,4444100,131.60051
"540",136.529999,139.029999,135.270004,137.979996,7275600,128.408417
"541",137.860001,139.639999,137.139999,139.580002,3441000,129.89743
"542",138.550003,139,137.139999,137.339996,4024000,127.812828
"543",138.860001,139.5,136.940002,137.470001,3811000,127.933815
"544",138.800003,139.770004,137.100006,138.350006,3859800,128.752777
"545",138.059998,138.460007,137,137.139999,3122900,127.626717
