"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"931",303.01001,311.119995,303.01001,308.570007,1795500,304.189636
"932",310.049988,311.459991,306.049988,307.230011,1468300,302.868622
"933",309.070007,312.25,306.200012,306.519989,3438200,302.168701
"934",304.5,307.380005,302.109985,304.980011,2394100,300.650574
"935",305.01001,310.390015,303.769989,308.019989,3795400,303.6474
"936",300.470001,300.529999,291.660004,299.190002,4124700,294.94278
"937",298.440002,300.619995,292.920013,294.26001,3163600,290.082764
"938",295,296.100006,291.829987,292.140015,3709900,287.992859
"939",292.190002,294.929993,289.640015,292.660004,2869100,288.505463
"940",291.25,303.269989,291.220001,302.5,2455800,298.20578
"941",306.390015,310.01001,302.829987,303.230011,2575700,298.925415
"942",303.670013,305.5,300.679993,304.149994,1797800,299.832336
"943",304.019989,314.519989,303.98999,311.769989,3497300,307.344147
"944",312.910004,315.170013,309.149994,313.070007,2731200,308.625732
"945",312.100006,317.390015,308.359985,311.980011,2338000,307.551208
"946",315.070007,318.420013,313.119995,318.149994,1638600,313.633606
"947",318.950012,320.299988,313.48999,314.450012,2434400,309.986115
"948",315.820007,324.73999,315.820007,323.170013,2596600,318.582367
"949",323.429993,325.350006,320.98999,322.410004,2056700,317.83316
"950",324.660004,328.170013,323.920013,327.839996,2028900,323.186066
"951",329.119995,333.559998,329.01001,329.970001,2424200,325.285828
"952",328.5,333.700012,327.709991,331.420013,2713500,326.715271
"953",322.070007,330.570007,320.200012,321.850006,4455400,317.281067
"954",318.850006,326.970001,316.329987,324.570007,3172200,319.962494
"955",325.459991,332.350006,324.730011,329.899994,3293300,325.216766
"956",328.540009,330.779999,322.059998,324.220001,2482100,319.617462
"957",326.619995,328.619995,323.279999,323.410004,1988600,318.81897
"958",323.410004,326.48999,322.179993,322.790009,2139000,318.207764
"959",322.320007,328.059998,322.25,325.730011,2100600,321.106018
"960",329.160004,335.649994,328.130005,330.600006,2349500,325.906891
"961",326.320007,327.75,318.540009,323.059998,2408500,318.473907
"962",323.059998,323.5,319.429993,320.51001,2427700,315.960114
"963",313.329987,317.809998,307.440002,308,3301400,303.627686
"964",306.589996,309.480011,301.459991,303.679993,3279200,299.368988
"965",303.230011,307.170013,299.600006,305.140015,3556800,300.808319
"966",312.640015,312.640015,307.359985,312.100006,4519000,307.669495
"967",317.470001,326.440002,315.019989,321.350006,4043900,316.788177
"968",345.230011,360.440002,341.140015,354.559998,10344900,349.526733
"969",358.070007,360.980011,349.679993,354.399994,4786500,349.369019
"970",350.359985,352,344.570007,347.459991,2994900,342.527527
"971",366.309998,367.950012,348.980011,350,4635300,345.031433
"972",349.48999,355.899994,348.170013,353.690002,3733200,348.669098
"973",356.160004,356.809998,349.410004,351.700012,2048200,346.707367
"974",351.399994,360.519989,349.75,354.410004,2907300,349.378876
"975",356.859985,357.940002,352.790009,355.670013,2442100,350.621002
