"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"403",234.210007,235.550003,232.630005,234.820007,236100,220.386307
"404",235,238.479996,234.190002,236.649994,226400,222.103806
"405",235.960007,240.089996,234.949997,237.850006,281100,223.230057
"406",237.850006,242.029999,237.220001,240.539993,251900,225.75473
"407",241.289993,245.570007,240.949997,243.300003,277500,228.345062
"408",241.910004,242.639999,239.839996,240.729996,291900,225.932999
"409",243.449997,247.919998,242.190002,244.429993,296300,229.405563
"410",244.899994,248.119995,242.910004,247.270004,209400,232.071045
"411",248.089996,249.589996,246.600006,248.610001,179000,233.32869
"412",248,253.979996,247.660004,253.479996,370100,237.899323
"413",252.350006,252.539993,250.210007,250.910004,192000,235.487305
"414",250.660004,250.699997,246.229996,247.050003,279000,231.864563
"415",247.169998,247.960007,244.75,247.610001,421200,232.390121
"416",249.139999,251.850006,247.679993,250.619995,158800,235.215118
"417",250.380005,250.940002,246.940002,248.380005,290900,233.112808
"418",247.660004,248.570007,245.789993,246.850006,176600,231.676834
"419",245.800003,246.160004,240.429993,240.979996,212600,226.829285
"420",240.860001,245.070007,239.649994,244.470001,484500,230.114319
"421",243.830002,244.699997,242.270004,243.339996,267800,229.050674
"422",242.440002,245.220001,240.850006,244.570007,323500,230.208466
"423",244.720001,249.559998,244.690002,248.130005,219400,233.559402
"424",247.5,247.5,243.729996,245.699997,147600,231.27211
"425",246.800003,249.169998,246.309998,247.820007,243500,233.267593
"426",247.660004,247.970001,243.130005,243.759995,520100,229.44603
"427",246,246.970001,242.360001,245.809998,195900,231.375656
"428",246.089996,249.119995,245.710007,248.940002,181700,234.321823
"429",249.520004,253.820007,249.520004,252.899994,261900,238.049286
"430",252.449997,258.119995,250.720001,257.48999,302000,242.369766
"431",257.5,259.339996,257.350006,258,276200,242.849854
"432",257.200012,259.309998,251.169998,252.029999,463700,237.230377
"433",253.020004,253.679993,246.929993,250.050003,458200,235.366653
"434",250.429993,256.890015,250.429993,255.710007,741200,240.694321
"435",254.860001,255.990005,251.880005,253.970001,258500,239.056458
"436",254.669998,257.850006,254.380005,255.809998,259200,240.788437
"437",256.670013,256.880005,252.850006,255.240005,247100,240.251877
"438",255.919998,258.700012,254.729996,255.990005,211700,240.957855
"439",256.01001,257.380005,251.179993,256.079987,192600,241.042542
"440",257.839996,258.26001,255.440002,257.380005,224500,242.26619
"441",258.049988,258.320007,255.199997,256.059998,294900,241.023743
"442",257.630005,260.149994,256.640015,258.790009,284200,243.59346
"443",258.790009,260.480011,256.420013,258.529999,173200,243.348694
"444",259.859985,261.429993,258.640015,261.279999,214100,245.937195
"445",261.040009,262.320007,260.029999,261.140015,514100,245.805481
"446",261.019989,261.519989,257.839996,258.799988,188200,243.602829
"447",258.399994,258.559998,247.580002,247.910004,347900,233.352325
"448",242.449997,242.449997,232.279999,233.080002,650000,219.393173
"449",236.130005,237.470001,223.559998,226.25,719300,212.964218
"450",228.210007,235.679993,227.979996,234.009995,390300,220.268539
"451",235.009995,235.559998,231.830002,235.289993,298500,221.473373
"452",235.020004,235.889999,232.25,233.119995,231800,219.430801
"453",231.470001,235.149994,228.949997,233.210007,309100,219.515533
"454",234.729996,237.309998,233.110001,234.419998,360700,220.654449
"455",235.470001,236.600006,232.860001,236.199997,415000,222.329956
"456",232.559998,237.899994,232.009995,232.839996,437100,219.167252
"457",233.350006,233.350006,221.410004,221.789993,397000,208.766129
"458",222.889999,224.330002,217.809998,219.039993,501100,206.177612
"459",217.270004,220.350006,215.610001,216.860001,389500,204.125626
"460",219.619995,219.619995,206.899994,208.589996,652800,196.341217
"461",207.710007,214.410004,206.990005,214.160004,382600,201.584183
"462",216.889999,222.660004,216.889999,218.479996,425700,205.650482
"463",218.539993,224.770004,218.539993,223.979996,291000,210.827515
"464",224.869995,226.690002,219.990005,220.490005,479700,207.542465
"465",221.279999,227.039993,220.100006,226.270004,372200,212.983047
"466",225.880005,230.199997,225.25,228,325200,214.611465
"467",229.770004,235.440002,226.490005,234.080002,414600,220.334442
"468",239,242.050003,214.320007,220.059998,1243500,207.137711
"469",216.919998,224.449997,214.25,223.649994,569900,210.516907
"470",222.5,223,213.389999,214.130005,709900,201.555923
"471",212.75,215.509995,211.259995,213.179993,421300,200.661713
"472",215.169998,217.330002,212.679993,213.449997,414900,200.915878
"473",211.399994,217.029999,210.679993,215.080002,286300,202.45015
"474",213.740005,217.759995,212.229996,216.419998,295100,203.711456
"475",216.929993,216.929993,210.690002,211.830002,484100,199.390991
"476",208.369995,210.800003,205.350006,209.710007,366500,197.395493
"477",211,214.369995,208.009995,210.399994,493900,198.044952
"478",209.639999,213.589996,209.639999,211.529999,103100,199.108612
"479",213.649994,216.039993,212.330002,212.869995,333500,200.369934
"480",211.889999,213.050003,201.559998,204.080002,602100,192.0961
"481",204.869995,214.020004,204.520004,213.960007,378300,201.395935
"482",212.860001,216.009995,211.740005,214.850006,309300,203.049805
"483",214.929993,216.520004,213.690002,215.5,374500,203.664093
"484",218.490005,219.460007,212.380005,213.929993,634500,202.180313
"485",213.699997,216.360001,203.070007,203.619995,609600,192.4366
"486",199.699997,203.039993,194.610001,202.889999,974600,191.746689
"487",202.600006,206.009995,198.210007,198.490005,458500,187.588348
