"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"214",256.079987,258.329987,253.820007,254.479996,1197700,247.439911
"215",255.139999,257.230011,253.990005,256.309998,1075400,249.219284
"216",252.860001,254.160004,238.589996,243.479996,2594300,236.744232
"217",241.380005,247.509995,240.289993,247.460007,1950900,240.614151
"218",245.949997,247.259995,241.619995,244.389999,1265500,237.629074
"219",244.490005,244.970001,240.770004,240.940002,1445100,234.27449
"220",240.740005,241.570007,237.899994,239.559998,1925400,232.932678
"221",239.410004,239.410004,233.130005,233.279999,1618800,226.826447
"222",233.889999,238.059998,232.869995,235.910004,2041300,229.383682
"223",234.880005,237.690002,233.279999,233.460007,1032400,227.001404
"224",233.160004,235.300003,231.899994,233.479996,1768400,227.020874
"225",234.039993,236.699997,233.820007,236.419998,1200100,229.879562
"226",236.639999,239.419998,235.559998,238.300003,1259700,231.70755
"227",239.380005,241.740005,237.199997,240.509995,557600,233.8564
"228",241.820007,244.070007,239.539993,243.559998,1743500,236.822037
"229",243.75,245.240005,241.570007,244.220001,1075200,237.463745
"230",243.639999,251.059998,242.770004,250.130005,1452900,243.210281
"231",251.119995,261.339996,250.289993,260.859985,1937500,253.643417
"232",260.809998,261.970001,251.619995,258.529999,1370700,251.377884
"233",261.519989,262.5,251.190002,252.279999,2500000,245.300812
"234",252.270004,255.660004,251.320007,253.339996,927700,246.331497
"235",254.059998,254.570007,249.399994,250.300003,1295700,243.375565
"236",251.899994,255.190002,250.710007,253.899994,1031700,246.875977
"237",253.559998,258.109985,251.759995,256.48999,985200,249.394302
"238",256.48999,257.549988,251.75,253.029999,947300,246.030045
"239",252.880005,255.649994,250.830002,254.639999,898900,247.595474
"240",254.630005,258.070007,253.240005,256.23999,1004100,249.151199
"241",258.279999,258.799988,250.410004,250.610001,1352800,243.676987
"242",252.559998,257.23999,250,253.639999,2329500,246.623169
"243",253.360001,253.369995,246.350006,246.380005,1262000,239.564026
"244",245.720001,248.089996,242,245.160004,1654200,238.377747
"245",245,247.25,244.410004,245.160004,1037700,238.377747
"246",244.929993,246.550003,243.289993,243.580002,889400,236.841507
"247",244.270004,245.369995,242.809998,245,692900,238.222168
"248",245.089996,249.929993,245.089996,246.25,980400,239.437622
"249",246.009995,249.75,245.479996,248.149994,1084300,241.285049
"250",248.5,250.490005,247.710007,249.009995,824000,242.512161
"251",250.029999,250.929993,247.970001,248.070007,794600,241.596695
"252",249.360001,252.860001,248.009995,251.639999,816900,245.073563
"253",252.029999,256.600006,250.25,251.279999,1214700,244.722961
"254",252.860001,259.970001,252.860001,258.359985,1346100,251.618164
"255",258.420013,264.899994,258.390015,264.329987,1226500,257.432373
"256",263.880005,263.880005,257.049988,258.549988,1313000,251.803207
"257",257.859985,264.079987,257.549988,263.079987,1162800,256.214966
"258",262.269989,263.839996,261.01001,263.100006,928400,256.234497
"259",263.880005,267.119995,262.559998,265.209991,770400,258.289398
"260",268.929993,271.98999,265.179993,268.019989,1573400,261.026123
"261",270.709991,271.970001,267.579987,270.170013,1769900,263.120026
"262",271.98999,276.070007,270.600006,275.75,1116800,268.554443
"263",276.290009,280,275.149994,279.440002,1310500,272.148102
"264",280.769989,280.929993,277.160004,279.299988,1161200,272.011688
"265",279.079987,282.160004,277.5,281.869995,1152500,274.514709
"266",280.73999,283.929993,278.179993,282.859985,1338000,275.478912
"267",283.890015,287.149994,282.190002,286.320007,1196100,278.848541
"268",286.140015,287.23999,283.149994,285.910004,924900,278.44928
"269",287.869995,289.019989,285.75,288.290009,1137000,280.767151
"270",288.769989,293.350006,288.279999,291.230011,897600,283.630432
"271",277.470001,285.929993,277,282.290009,1620000,274.923706
"272",287.950012,290.920013,280.899994,281.829987,1076200,274.475708
"273",281.790009,283.140015,276.470001,279.769989,1013500,272.469482
"274",277.959991,279.799988,273.869995,276.5,940000,269.284821
"275",275,276.459991,266.339996,267.100006,1039300,260.130157
"276",261.25,271.679993,261.029999,269.119995,1387000,262.097473
"277",263,268.390015,260,264.899994,1686500,257.987549
"278",266.519989,273.359985,261.98999,262.369995,2035900,255.523529
"279",264.600006,268.040009,261.130005,265.320007,1636000,258.396576
"280",266.440002,269.76001,264.950012,267.049988,1012100,260.081329
"281",263.929993,269.279999,261.25,268.070007,1007800,261.074799
"282",266.73999,268.950012,266.179993,267.470001,1101000,260.490479
"283",268.950012,269.959991,263.119995,267.450012,861800,260.471008
"284",266.880005,270.679993,266.26001,269,672200,261.98056
"285",267.720001,268.73999,266.209991,267.329987,844300,260.354034
"286",267.970001,270.359985,266.309998,266.380005,650200,259.428833
"287",268.269989,270.709991,267.309998,267.809998,961500,260.821533
"288",268.73999,271.480011,267.140015,271.190002,1182000,264.113373
"289",271.779999,275.269989,269.079987,274.579987,775600,267.414886
"290",274.619995,280.609985,272.25,276.920013,1018900,269.693878
"291",277,278,271.820007,271.820007,1007100,264.726898
"292",271.630005,275.339996,266.940002,269.720001,888000,262.681732
"293",268.640015,271.670013,267.26001,269.799988,793000,262.759613
