"","URI.Open","URI.High","URI.Low","URI.Close","URI.Volume","URI.Adjusted"
"265",184,187.169998,181,187.119995,995400,187.119995
"266",187.5,188.729996,183.880005,185.869995,1531500,185.869995
"267",186.470001,187.080002,183.880005,185.520004,1836900,185.520004
"268",186,189,176.550003,181.910004,3108700,181.910004
"269",184.690002,187.25,180.440002,185.369995,1963200,185.369995
"270",184.929993,188.309998,180.210007,180.470001,1996900,180.470001
"271",177.059998,182.990005,176.789993,182.139999,1401100,182.139999
"272",185.100006,185.889999,179.779999,181.110001,1420300,181.110001
"273",180.679993,183.529999,178.449997,179.649994,1431400,179.649994
"274",177.580002,178.210007,173.039993,173.300003,1496700,173.300003
"275",171.720001,176.009995,166.580002,166.710007,2209500,166.710007
"276",162.279999,172.759995,161.410004,171.339996,1982500,171.339996
"277",170.490005,176.059998,170.309998,173.580002,1839700,173.580002
"278",173.830002,173.919998,161.860001,161.990005,2291400,161.990005
"279",164.509995,166.440002,156.009995,164.259995,2529300,164.259995
"280",166.630005,168.770004,163.210007,166.059998,1551500,166.059998
"281",165.100006,167.460007,164.529999,166.330002,1359300,166.330002
"282",164.020004,168.289993,163.339996,167.039993,1284800,167.039993
"283",169.039993,169.690002,164.110001,167.240005,1203600,167.240005
"284",166.410004,170.690002,166.410004,168.020004,1047800,168.020004
"285",167.190002,174.75,166.800003,172.25,1356900,172.25
"286",171.860001,175.610001,171.600006,171.899994,1293400,171.899994
"287",173.649994,176.440002,172.589996,175.160004,1706000,175.160004
"288",176.690002,179.229996,175.380005,179.089996,1317300,179.089996
"289",180.360001,181.070007,177.360001,180.630005,1123100,180.630005
"290",180.5,182.160004,178.309998,178.419998,1138300,178.419998
"291",179.460007,179.990005,175.039993,175.089996,1373500,175.089996
"292",174.759995,175,170.449997,173.240005,1782300,173.240005
"293",172.649994,177.110001,169.5,176.600006,1659800,176.600006
"294",175.300003,181.119995,173.759995,180.710007,1325900,180.710007
"295",180.779999,185.839996,178.550003,184.990005,1365600,184.990005
"296",182.779999,184.699997,177.309998,181.350006,1883700,181.350006
"297",181.539993,184.410004,180.009995,183.360001,885900,183.360001
"298",185.119995,189.559998,183.860001,189.399994,1069600,189.399994
"299",189.399994,189.5,185.399994,186.630005,1347700,186.630005
"300",187.639999,190.740005,186.110001,186.649994,908200,186.649994
"301",187.910004,188.210007,184.110001,184.820007,889600,184.820007
"302",186.020004,186.630005,182.369995,182.910004,1012400,182.910004
"303",183,188,182.619995,186.289993,1089200,186.289993
"304",185.619995,186.080002,182.850006,185.399994,1018300,185.399994
"305",185.679993,187.880005,184.820007,185.160004,1037800,185.160004
"306",184.970001,190.300003,184.509995,187.270004,913800,187.270004
"307",184,186.229996,179.580002,180.259995,1449100,180.259995
"308",181.110001,181.110001,174.020004,174.179993,1143200,174.179993
"309",177.630005,180.809998,175.910004,180.570007,1430700,180.570007
"310",181.479996,183.75,176,177.149994,1135700,177.149994
"311",177.220001,177.220001,168.949997,169.110001,1815400,169.110001
"312",170.899994,174.169998,168.440002,172.729996,1567900,172.729996
"313",172.039993,172.740005,163.570007,166.600006,1649800,166.600006
"314",167.279999,169.820007,166.320007,169.5,1340000,169.5
"315",165.050003,174.389999,164.460007,173.679993,1478000,173.679993
"316",175.330002,178.759995,174,177.940002,1356900,177.940002
"317",176.220001,179.289993,169.610001,172.139999,1178700,172.139999
"318",173.970001,175.440002,171.660004,171.940002,932500,171.940002
"319",175.710007,178.759995,173.729996,177.970001,1115200,177.970001
"320",175.949997,178.339996,173.630005,173.970001,1026700,173.970001
"321",175,177.639999,174.389999,176.320007,791600,176.320007
"322",178.509995,178.839996,172.830002,172.949997,1289900,172.949997
"323",174.679993,176.839996,172.509995,174.130005,1663500,174.130005
"324",175.889999,178.190002,175.399994,177.539993,1456200,177.539993
"325",179.639999,181.660004,178.600006,180,2129300,180
"326",174,175.75,165.75,168.220001,4919200,168.220001
"327",169.899994,170.179993,162.619995,163.220001,2347600,163.220001
"328",163.029999,164.949997,161.979996,163.610001,1244100,163.610001
"329",164.259995,164.929993,154.070007,156.429993,2294100,156.429993
"330",156.399994,158.699997,153.360001,157.880005,1413800,157.880005
"331",158.619995,159,153.669998,155.350006,1406500,155.350006
"332",155.080002,157.339996,155.059998,155.309998,1089800,155.309998
"333",155.350006,155.830002,149.889999,150,1262900,150
