"","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"76",124.220001,124.540001,123.580002,124.43,1623000,113.991249
"77",124.919998,125.379997,123.669998,123.849998,2256000,113.459908
"78",124.779999,124.809998,123.730003,123.940002,2242600,113.542343
"79",123.449997,123.949997,122.730003,122.809998,2142600,112.507133
"80",122.809998,126.360001,122.769997,125.769997,4901500,115.218826
"81",125.459999,126.190002,124.879997,125.940002,2850300,115.374565
"82",126.559998,127.989998,125.900002,127.510002,3284200,116.812859
"83",127.730003,128.610001,127.540001,127.910004,2622700,117.179291
"84",128.610001,128.610001,126.739998,126.790001,1775800,116.153252
"85",126.709999,127.839996,126.010002,127.389999,1664400,116.702934
"86",127.639999,128.839996,127.139999,128.690002,1638500,117.893852
"87",129,129.160004,127.809998,128.869995,1347100,118.058739
"88",128.880005,129.009995,127.879997,128.089996,1480200,117.3442
"89",128,128.149994,126.940002,127.099998,1525300,116.437256
"90",127.349998,127.349998,125.959999,126.279999,1789700,115.686028
"91",126.300003,126.639999,125.900002,126.120003,1585300,115.539467
"92",126.029999,128.270004,125.900002,127.93,1605500,117.197617
"93",127.989998,128.899994,127.309998,128.369995,1262400,117.6007
"94",128.139999,132.089996,128.139999,130.740005,3462000,119.771896
"95",130,130.050003,125.5,127.980003,4041800,117.243423
"96",128.110001,132.860001,127.589996,128.320007,2726000,117.554901
"97",128.289993,129.089996,126.709999,128.729996,1449100,117.930481
"98",128.860001,129.190002,128.619995,128.729996,1331300,117.930481
"99",128.660004,129.720001,128.660004,129.300003,1497500,118.452682
"100",129.570007,132.009995,129,131.050003,1457100,120.055862
"101",131.190002,131.440002,130.490005,131.110001,899200,120.110817
"102",131.009995,137.119995,130.800003,132.119995,2070900,121.036095
"103",132.479996,133.660004,131.130005,131.190002,2548900,120.184135
"104",131.949997,131.970001,131,131.830002,1221900,120.770432
"105",132.429993,133.100006,131.789993,132.490005,1368100,121.375069
"106",132.339996,132.639999,131.160004,131.610001,1508100,120.568893
"107",131.729996,132.520004,131.240005,131.699997,1884100,120.651337
"108",131.770004,132.080002,130.100006,131.820007,1679800,120.761253
"109",131.820007,132.190002,129.380005,130.970001,1995700,119.982597
"110",130.429993,131.710007,129.809998,130.279999,1607200,119.350464
"111",128.970001,129.179993,125.239998,129.179993,2057900,118.342751
"112",129.25,130.279999,128.929993,130.190002,1311700,119.268021
"113",131.339996,131.960007,130.169998,130.5,1274700,119.552017
"114",129.520004,131.559998,129.160004,130.869995,1247400,120.48185
"115",131.139999,132.25,130.559998,131.949997,1823800,121.476074
"116",132.289993,132.979996,131.630005,132.330002,1445900,121.825958
"117",132.179993,132.679993,130.5,131.199997,1360900,120.785637
"118",131.190002,131.449997,130.320007,130.610001,1641900,120.242485
"119",131,131.539993,130.649994,130.869995,1272900,120.48185
"120",130.979996,131.929993,130.580002,131.880005,1694000,121.411682
"121",132.199997,132.520004,131.100006,132.460007,1286100,121.945633
"122",134.600006,136.059998,133.990005,135.75,4168800,124.974487
"123",135.649994,136.289993,134.270004,134.529999,2121600,123.851334
"124",133.330002,133.330002,131.820007,132.820007,1998700,122.277046
"125",132.929993,133.669998,132.179993,132.320007,2480300,121.816757
"126",132.619995,133.169998,130.820007,131.410004,1252800,120.979004
"127",131.270004,132.509995,131.050003,132.25,1707700,121.752312
"128",131.559998,132.130005,131,131.539993,1249200,121.098648
"129",132.080002,133.800003,131.369995,133.139999,1254200,122.571632
"130",133.639999,133.660004,131.199997,131.210007,1272100,120.794861
"131",131.179993,131.820007,130.910004,130.929993,1112600,120.537056
"132",131.800003,134.25,131.460007,133.880005,1135400,123.252892
"133",133.880005,134.490005,133.559998,134.139999,955500,123.492302
"134",134.929993,136.330002,134.880005,136.039993,1202400,125.241455
"135",136.070007,136.399994,134.740005,135.399994,1458900,124.652252
"136",135.320007,138,135.070007,136.179993,2272400,125.370338
"137",135.600006,136.669998,134.330002,135.419998,2758000,124.670639
"138",135.679993,137.449997,135.669998,136.240005,2082100,125.425568
"139",135.990005,137.070007,135.619995,136.899994,1542700,126.033173
"140",136.970001,137.979996,136.100006,137.070007,1367500,126.189728
"141",137.720001,137.729996,136.039993,136.619995,1205300,125.775421
"142",136.320007,137.990005,136.279999,137.869995,1338000,126.926193
"143",139.119995,139.5,134,134.860001,2933600,124.155121
"144",135.169998,138.789993,134.809998,138.339996,1972600,127.358887
"145",138.669998,139.130005,135.75,136.330002,2386700,125.508438
"146",136.229996,136.419998,135.509995,135.970001,2375000,125.17701
"147",136.080002,138.139999,135.630005,137.970001,2409000,127.01825
"148",138.059998,138.179993,136.839996,137.149994,1661900,126.263367
"149",137.5,138.009995,137.149994,137.570007,927900,126.650017
"150",137.380005,138.160004,136.949997,138.070007,976600,127.110313
"151",137.490005,137.559998,136.169998,136.630005,1333500,125.784615
"152",136.369995,138.389999,136.330002,137.850006,1319300,126.907768
"153",137.300003,138.110001,136.809998,136.830002,1032700,125.968742
"154",137.190002,137.770004,136.289993,136.679993,870800,125.830666
"155",137.399994,140.020004,137.399994,139.970001,1648500,128.859497
"156",139.660004,140.160004,138.919998,139.690002,1386100,128.60173
"157",140,141.130005,139.679993,141.089996,1334600,129.890594
"158",141.029999,141.509995,139.649994,139.649994,956300,128.564926
"159",139.440002,140.380005,138.720001,140,1114300,128.887146
"160",140.190002,141.460007,140.130005,141.279999,1545900,130.065521
"161",141.279999,142.259995,140.949997,142.089996,1030300,130.811188
