"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"833",176.399994,176.399994,172.570007,175.460007,2121100,172.01149
"834",176.229996,180.539993,176.199997,179.429993,2457800,175.903442
"835",182.080002,183.259995,176.910004,178.360001,2160100,174.854477
"836",182.309998,188.169998,181.699997,187.559998,2957600,183.873672
"837",185.529999,186.479996,184.190002,185.190002,2740800,181.550247
"838",181.710007,182.990005,179.259995,180.089996,2064200,176.550476
"839",177.979996,180.639999,176.880005,179.529999,1710500,176.00148
"840",182.080002,183.889999,181,181.619995,1621900,178.0504
"841",182.100006,182.5,179.050003,180.380005,1474900,176.834793
"842",182.990005,187.429993,182.5,187.110001,2295400,183.43251
"843",188.990005,189.850006,187.679993,188.559998,1778600,184.854004
"844",186.490005,189.529999,185.289993,187.75,2013800,184.059937
"845",187.839996,189.990005,185.690002,185.720001,1912300,182.069839
"846",185.039993,185.139999,178.75,181,2349300,177.442596
"847",178.699997,180.009995,174.940002,179.990005,2773300,176.452454
"848",178.369995,183.960007,177.830002,183.880005,3630000,180.265991
"849",189,194.139999,188.110001,192.75,2254700,188.96167
"850",192.5,194.509995,189.919998,190.089996,1784100,186.353928
"851",192.5,195.669998,192.229996,195.179993,2294800,191.343918
"852",194.699997,195.520004,192.699997,193.5,1373000,189.69693
"853",194.080002,194.889999,191.130005,193.710007,1317500,189.902802
"854",199.419998,199.990005,196.029999,196.399994,2408700,192.539932
"855",198.380005,199.949997,196.210007,199.929993,2000500,196.000534
"856",200.009995,204.179993,200.009995,201.669998,2280600,197.706345
"857",201.490005,202.410004,198.690002,201.619995,2535400,197.657318
"858",201.539993,203.75,199.869995,203.380005,1530800,199.382736
"859",204.089996,205.789993,202.339996,205.779999,1939200,201.73558
"860",204.419998,207.830002,204.309998,207.279999,1605400,203.206085
"861",206.089996,207.789993,202.330002,203.100006,2451400,199.108246
"862",205.990005,209.720001,204.789993,208.490005,2537900,204.392319
"863",207.509995,211.320007,207,211.279999,1626900,207.127472
"864",209.389999,209.789993,205.5,207.339996,2269600,203.264908
"865",207.259995,210.830002,205.899994,209.429993,2077200,205.313828
"866",205.520004,205.949997,195.880005,195.949997,4046600,192.09877
"867",201.100006,202.429993,197.309998,201.589996,2590100,197.62793
"868",196.490005,200.740005,194.830002,199.789993,2310800,195.863281
"869",203.360001,206.880005,202.119995,204.399994,2154000,200.382675
"870",206.029999,206.330002,203.649994,205.199997,1594800,201.166962
"871",201.729996,203.169998,199.289993,202.929993,2228000,198.941574
"872",207.539993,208.289993,201.520004,201.550003,3710000,197.58873
"873",200.800003,204.080002,199.470001,202.600006,2454500,198.618073
"874",205.369995,209.679993,205.369995,207.399994,2203800,203.32373
"875",205.509995,207.399994,200.5,201.839996,2753700,197.873001
"876",213,217.889999,211.5,217.320007,4690200,213.048752
"877",216.779999,216.929993,211.070007,212.470001,3348400,208.294113
"878",210.149994,213.389999,210.149994,212.720001,2247900,208.539169
"879",212.369995,215.639999,212.130005,214.720001,3136400,210.499847
"880",214.5,216.899994,213.880005,214.589996,2124700,210.372406
"881",216.570007,218.449997,214.899994,215.720001,2006200,211.480209
"882",217.759995,219.660004,216.309998,217.550003,1934500,213.274246
"883",216.320007,219.869995,216.119995,216.330002,1783700,212.078217
"884",217.470001,219.149994,216.339996,218.889999,1750700,214.587906
"885",218.470001,220.610001,216.229996,219.309998,1756700,214.999649
"886",219,220.860001,217.669998,220.259995,1373600,215.930984
"887",221.330002,221.869995,215.229996,215.740005,2090000,211.499817
"888",214.800003,219.369995,213.509995,219.160004,1747800,214.852615
"889",220,222.75,218.460007,219.759995,2193700,216.230118
"890",219.779999,220.630005,218.600006,219.110001,1408400,215.590546
"891",219.690002,222.639999,218.300003,221.940002,2069700,218.375092
"892",222,224.110001,220.110001,223.429993,1371800,219.841156
"893",224.899994,225.740005,222.440002,222.75,1546200,219.172089
"894",222.75,224.740005,222.440002,224.229996,1488000,220.628311
"895",224.080002,225.509995,221.369995,222.300003,1444900,218.729309
"896",220.210007,223.169998,220.210007,221.440002,1542300,217.883118
"897",221.5,224.520004,220.830002,223.320007,1523200,219.732925
"898",223.039993,224.759995,221.899994,222.179993,1422300,218.611221
"899",221.979996,225.399994,221.929993,224.380005,1473700,220.775909
"900",220.809998,223.990005,219.779999,223.979996,1408600,220.382324
"901",223.889999,224.949997,220.899994,224.779999,1495500,221.169479
"902",225,228,224.460007,227.179993,1631700,223.530899
"903",226.289993,227.779999,225.550003,227.149994,1260500,223.501404
"904",227.940002,229.399994,227.460007,228.699997,1155400,225.026505
"905",227.679993,230.970001,227.679993,230.889999,1317900,227.181335
"906",229.25,231.869995,228.720001,231.559998,1275400,227.840546
"907",229.690002,231.259995,229.520004,230.339996,1315700,226.640167
"908",230.580002,232.509995,228.160004,228.570007,1757200,224.898605
"909",230.300003,231.320007,229.25,229.75,1512900,226.059647
"910",229.589996,232.380005,228.929993,231.729996,1745700,228.007828
"911",230.570007,231.929993,229.410004,230.25,1130500,226.551605
"912",231.449997,233.770004,230.979996,232.619995,1395400,228.883545
"913",233.350006,234.929993,232.580002,234.229996,1475800,230.467667
"914",233.800003,236.5,233.800003,234.630005,1671500,230.861267
"915",233.940002,236.949997,233.580002,236.610001,1279300,232.809479
"916",236.860001,238.300003,235,237.490005,1976100,233.675323
"917",238.059998,239.360001,235.850006,237.75,1293200,233.931137
"918",237.929993,238.729996,236.710007,238.210007,1501700,234.383759
"919",238.669998,241.25,238.110001,240.449997,2322100,236.587784
"920",242.369995,242.770004,240,240.869995,1295300,237.001022
"921",241.970001,243.220001,240.259995,242.990005,1212200,239.086975
"922",243.300003,243.539993,239.100006,239.929993,2001100,236.076111
"923",238.490005,240.020004,237.199997,240.020004,1914500,236.164673
"924",241.899994,247.820007,240.839996,247.179993,1702800,243.209671
"925",245.100006,246.139999,237.130005,238.979996,2350500,235.141388
"926",240.169998,240.869995,231.910004,236.070007,1946400,232.278152
"927",231.050003,236,230.619995,232.649994,2361200,228.913055
"928",236.800003,241.360001,234.809998,238.910004,1670200,235.07251
"929",241,243.990005,232.110001,233.649994,2024100,229.896988
"930",236.429993,237.759995,233.25,234.770004,1301000,230.999023
"931",237.600006,240.990005,236.809998,238.830002,1576400,234.993805
"932",240.369995,242.800003,239,240.199997,1297500,236.341782
"933",241.460007,244.899994,239.169998,239.419998,1800400,235.574326
"934",237.399994,239.089996,233.880005,236.820007,2002500,233.016083
"935",234.619995,238.399994,233.429993,236.179993,3676400,232.386337
"936",232.839996,233.979996,230.029999,233.910004,2305900,230.152847
"937",234.139999,237.070007,231.789993,236.919998,1786200,233.114456
"938",238.529999,239.350006,230.369995,230.649994,2688100,226.94519
"939",218.869995,220.449997,213.149994,214.419998,4828600,210.975891
"940",213.029999,215.070007,210.419998,214.630005,3691100,211.18251
"941",219.089996,223.889999,218.300003,222.779999,2587600,219.201599
"942",223.369995,225.169998,222.309998,224.080002,2572000,220.480713
"943",225.270004,228.300003,224.619995,225.990005,2250100,222.360046
"944",227.360001,229.240005,224.029999,225.179993,1928800,221.563049
"945",222.050003,224.919998,221.350006,222.399994,1936100,218.827698
"946",224.369995,224.940002,222.039993,223.490005,1446000,219.900177
"947",223.589996,225.270004,220.089996,220.350006,2286300,216.810623
"948",221.899994,224.630005,220.050003,223.449997,2005800,219.860825
"949",226.039993,226.789993,223.970001,225.610001,1394200,221.986145
"950",225.860001,229.089996,225.800003,228.690002,1312500,225.897781
"951",229.690002,231.770004,227.580002,230.589996,1524300,227.774582
"952",230.720001,231.899994,228.809998,229.380005,1634000,226.579361
"953",228.880005,231.899994,228.320007,229.429993,1443800,226.628738
"954",225.589996,230.679993,225.259995,228.770004,1273300,225.976807
"955",229.029999,231.940002,228.679993,230.050003,1796400,227.24118
"956",230.229996,233.25,225.720001,226.240005,1904500,223.477692
"957",226.699997,232.289993,226.449997,230.389999,1783800,227.577042
"958",229.899994,234.380005,229.059998,233.100006,1701800,230.253952
"959",233.100006,234.710007,227.850006,228.139999,1661300,225.354492
"960",227.699997,229.800003,226.929993,229.699997,1187600,226.895447
"961",225.360001,227.990005,218.350006,219.229996,2162100,216.553299
"962",220.630005,223,220.210007,220.660004,1567800,217.965836
"963",216.809998,217.929993,212.919998,213.940002,2412300,211.327881
"964",215.509995,218.529999,212.449997,216.440002,1499000,213.797348
"965",215.279999,217.809998,213.639999,216.910004,1972700,214.261612
"966",219.169998,223.160004,218.320007,220.190002,2087200,217.501556
"967",222,227.770004,221.429993,225.710007,1544000,222.954178
"968",225,230.899994,224.399994,227.919998,1725000,225.137177
"969",233.369995,236.119995,232.419998,233.990005,1954800,231.133087
"970",235.009995,237,231.070007,236.289993,1417600,233.404984
"971",239.889999,248,239.669998,240.220001,3052100,237.287018
"972",238.610001,239.610001,235.580002,238.710007,2818000,235.795456
"973",240.960007,244.080002,240.130005,242.75,1757200,239.786102
"974",242,243.089996,236.889999,238.149994,1672200,235.242279
"975",239.990005,242.419998,238.089996,241.779999,1456200,238.827972
"976",243.880005,246.690002,242.639999,244.949997,1631400,241.959244
"977",243.369995,245.490005,241.279999,243.820007,1318100,240.843063
"978",243.360001,243.820007,239.550003,239.729996,1613200,236.802994
"979",241.509995,243.470001,238.690002,243.199997,1611700,240.230637
