"","MRNA.Open","MRNA.High","MRNA.Low","MRNA.Close","MRNA.Volume","MRNA.Adjusted"
"233",17.25,17.5,17.110001,17.49,973600,17.49
"234",17.33,17.52,17.200001,17.4,941900,17.4
"235",17.34,18.1,17.302999,17.99,1978300,17.99
"236",18,18.5,17.709999,18.25,2014800,18.25
"237",18.16,18.5,17.91,18.34,1532500,18.34
"238",18.389999,19.43,18.35,19.370001,1880000,19.370001
"239",19.209999,19.450001,18.67,19.450001,920600,19.450001
"240",19.27,19.870001,19.082001,19.360001,1144700,19.360001
"241",19.379999,20.4,19.35,20.18,2316500,20.18
"242",19.98,20.32,19.690001,20.200001,1202500,20.200001
"243",20.07,20.73,19.860001,20.690001,1443300,20.690001
"244",20.9,21,19.950001,20,1926900,20
"245",20.037001,20.65,19.82,20.33,1549400,20.33
"246",20.280001,20.700001,19.99,20.370001,1561200,20.370001
"247",20.6,20.93,20.280001,20.360001,1186700,20.360001
"248",20.299999,20.540001,19.6,19.76,1184000,19.76
"249",19.48,21.370001,19.41,21.280001,1795200,21.280001
"250",21,21.469999,20.933001,21.27,1980100,21.27
"251",21.49,21.5,20.57,20.639999,1478100,20.639999
"252",20.780001,21.040001,18.82,18.940001,3537200,18.940001
"253",19.07,19.299999,18.67,18.780001,2814000,18.780001
"254",18.780001,19.09,18.58,18.870001,1619800,18.870001
"255",19.030001,19.110001,18.530001,18.65,1233100,18.65
"256",18.559999,19.045,18.32,18.450001,1313400,18.450001
"257",18.469999,18.719999,18.32,18.620001,1302400,18.620001
"258",18.6,18.969999,18.219999,18.52,1785500,18.52
"259",18.540001,18.700001,18.309999,18.440001,1647800,18.440001
"260",18.48,19,18.48,18.639999,1277700,18.639999
"261",18.58,19.67,18.5,19.41,2101700,19.41
"262",19.4,20,19.049999,19.83,10931400,19.83
"263",19.790001,19.85,19.34,19.700001,1789700,19.700001
"264",19.690001,19.790001,19.35,19.75,488900,19.75
"265",19.82,20.110001,19.66,19.860001,750300,19.860001
"266",19.99,20,19.25,19.52,1046900,19.52
"267",19.540001,19.940001,18.940001,19.049999,1183300,19.049999
"268",18.959999,19.639999,18.959999,19.559999,1112400,19.559999
"269",19.57,19.809999,18.879999,19.23,1233600,19.23
"270",19.02,19.360001,18.719999,18.889999,1751000,18.889999
"271",18.700001,18.74,18.01,18.129999,1606500,18.129999
"272",18.15,18.32,17.68,17.780001,1461400,17.780001
"273",17.99,18.08,17.76,17.98,1041600,17.98
"274",18,18.549999,17.9,18.4,1495700,18.4
"275",21,21,19.049999,19.139999,4504700,19.139999
"276",19.26,20.360001,18.6,20.26,2207500,20.26
"277",20.450001,20.497999,19.549999,20,1782800,20
"278",19.940001,20.58,19.940001,20.24,2055000,20.24
"279",21.68,21.870001,20.77,21.01,4918400,21.01
"280",21.5,21.5,20.549999,20.620001,3348400,20.620001
"281",20.790001,21.49,20.645,20.940001,2089600,20.940001
"282",22.08,23.200001,21.700001,21.969999,10920700,21.969999
"283",22.17,22.65,21.4,21.469999,3663900,21.469999
