"","ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted"
"397",244.929993,246.800003,241.160004,244.679993,2939500,244.679993
"398",245,248.759995,244.240005,248.009995,3185000,248.009995
"399",245.699997,252.570007,245,252.220001,2395400,252.220001
"400",252.580002,254.389999,249.479996,253.279999,2100300,253.279999
"401",252.740005,254.880005,251.539993,254.110001,1535300,254.110001
"402",254.5,255.160004,252.449997,253.389999,1885400,253.389999
"403",252.949997,254.570007,251.630005,253.830002,1585400,253.830002
"404",254.550003,255.75,253.389999,253.800003,2092000,253.800003
"405",252,254.970001,251.5,253.699997,1789000,253.699997
"406",254.160004,256.600006,253.300003,253.539993,1532700,253.539993
"407",254.380005,256.25,252.089996,256.049988,2100300,256.049988
"408",253.800003,255.830002,248.020004,250.520004,2744700,250.520004
"409",252.789993,253.300003,248.100006,248.889999,2420400,248.889999
"410",248.389999,249.220001,243.710007,245.699997,2744200,245.699997
"411",246.080002,250.369995,246,249.759995,2901300,249.759995
"412",250.449997,253.330002,250.360001,251.5,2168900,251.5
"413",250.589996,256.160004,250.360001,255.539993,1895400,255.539993
"414",254.619995,258.329987,254.470001,257,2984300,257
"415",258.329987,263.390015,258.329987,261.51001,3862300,261.51001
"416",263,263.700012,259.390015,262.399994,2433000,262.399994
"417",263.700012,263.700012,261.029999,263.040009,1867100,263.040009
"418",263,269.959991,262.559998,268.359985,3155200,268.359985
"419",266.720001,269.049988,265.5,266.429993,2409300,266.429993
"420",265.549988,266.829987,263.200012,263.51001,2944500,263.51001
"421",263.670013,266.929993,262.299988,266.679993,2158200,266.679993
"422",265.609985,266.160004,254.539993,256.140015,4203300,256.140015
"423",256.950012,260.269989,255.139999,259.75,2810800,259.75
"424",258,263.670013,257.119995,260.869995,2894300,260.869995
"425",264.269989,265.929993,260.790009,265.369995,2633600,265.369995
"426",265.299988,268.600006,263.309998,267,2866000,267
"427",267.829987,270.940002,266.450012,267.790009,3365400,267.790009
"428",267.130005,270,265.01001,268.519989,4774000,268.519989
"429",269,277.609985,268,274.690002,6182500,274.690002
"430",275,275.779999,267.679993,268.25,3080900,268.25
"431",267.609985,273.779999,266.600006,270.790009,2684400,270.790009
"432",271.140015,271.950012,263.609985,264.880005,2801400,264.880005
"433",266.470001,269.540009,264.190002,266.339996,2560200,266.339996
"434",266.149994,267.5,260.23999,260.880005,6186500,260.880005
"435",260,264.459991,257.070007,264.089996,2619100,264.089996
"436",264.600006,268.429993,264.200012,267.839996,2298000,267.839996
"437",268.559998,270.679993,266.660004,268.470001,2027700,268.470001
"438",270,272.420013,269.25,269.910004,1735200,269.910004
"439",269.75,272.26001,268.440002,269.950012,2784500,269.950012
"440",271.76001,276.630005,271.459991,275.48999,3553100,275.48999
"441",274.709991,277.029999,271.850006,272,3254400,272
"442",273.25,274.170013,269.76001,270.51001,2726400,270.51001
"443",269.5,271.070007,260.540009,263.709991,3780300,263.709991
"444",263.959991,266.100006,258.309998,263.220001,3098600,263.220001
"445",261.839996,263.459991,248.690002,254.690002,5109200,254.690002
"446",254.160004,258.720001,251.710007,254.160004,2597500,254.160004
"447",252.520004,253.380005,237.860001,237.910004,5309300,237.910004
"448",236.410004,245.720001,234.720001,238.589996,7042900,238.589996
"449",247.740005,249.910004,242.779999,248.869995,4779900,248.869995
"450",248.339996,248.369995,238,238.009995,5106400,238.009995
"451",252.5,261.730011,251.770004,260.670013,8679600,260.670013
"452",261.209991,261.890015,255.259995,258.910004,4405100,258.910004
"453",256.190002,257.209991,246.009995,250.350006,5378900,250.350006
"454",252.729996,252.889999,243.639999,245.029999,4070600,245.029999
"455",246,251.639999,242.800003,251.059998,3487000,251.059998
"456",246.190002,254.910004,242.559998,251.759995,5006300,251.759995
"457",250.610001,254.600006,238.229996,238.440002,4859500,238.440002
"458",242.169998,253.589996,241.660004,252.919998,5283600,252.919998
"459",243.850006,252.179993,241.410004,245.800003,4505800,245.800003
"460",250.669998,254.529999,233.399994,239.75,4725000,239.75
"461",238.990005,242.5,231.699997,238.410004,5626800,238.410004
"462",245.410004,249.600006,243.669998,245.759995,4423000,245.759995
"463",245.690002,247.550003,241.490005,245.279999,3192200,245.279999
"464",246.570007,247.470001,237.800003,239.639999,4335300,239.639999
"465",240,241,233.619995,239.889999,3224100,239.889999
"466",240.479996,244.639999,237.759995,240.559998,2446700,240.559998
"467",244.800003,253.960007,243.809998,253.429993,3790600,253.429993
"468",253.309998,254.130005,247.740005,249.960007,2389300,249.960007
"469",247.559998,248.289993,241.160004,244.839996,2765900,244.839996
"470",244.139999,244.800003,235.360001,236.669998,3498300,236.669998
"471",238.380005,243,235.850006,238.740005,4017100,238.740005
"472",242.160004,242.910004,231.910004,235.220001,3261300,235.220001
"473",233.979996,241.429993,231.330002,239.949997,3383500,239.949997
"474",239.520004,240.139999,235.369995,238.889999,2897400,238.889999
"475",237.5,238.649994,218.720001,219.690002,7642200,219.690002
"476",209.410004,222.839996,207.020004,219.729996,6180500,219.729996
"477",225.330002,228.990005,222.240005,225.979996,4846400,225.979996
"478",222.710007,227.740005,222.509995,225.559998,1691000,225.559998
"479",229.190002,233.300003,227.910004,231.960007,3603700,231.960007
"480",230.770004,232.779999,228.679993,232.25,2882400,232.25
"481",237.899994,250.410004,237.740005,249.210007,6447100,249.210007
"482",246.360001,252.25,244.309998,249.089996,3723500,249.089996
"483",250.229996,251.570007,247.089996,250.889999,5156700,250.889999
"484",260.709991,260.720001,251.820007,255.259995,4286200,255.259995
"485",253.220001,254.710007,244.979996,245.820007,4041700,245.820007
"486",240,250.679993,237.960007,250.630005,3950600,250.630005
"487",248.389999,249.259995,237.649994,238,3971100,238
"488",237.460007,245.399994,237.009995,244.089996,3194300,244.089996
"489",251.429993,251.75,242.779999,245.339996,3179400,245.339996
"490",249.990005,251.559998,245.039993,245.550003,4067900,245.550003
"491",248.149994,251.600006,245.199997,248.080002,5395200,248.080002
"492",240.759995,240.919998,229.910004,230,12189400,230
"493",226.929993,230.630005,220.479996,221.380005,7059500,221.380005
"494",222.529999,228.130005,221.550003,226.179993,5265000,226.179993
"495",225.919998,231.020004,221.110001,224.649994,6110800,224.649994
"496",223,224.850006,212.830002,218.649994,6099400,218.649994
"497",219.550003,222.259995,207.369995,208.800003,8828100,208.800003
"498",206.899994,212.580002,204.949997,205.160004,2940500,205.160004
"499",206.529999,222.960007,206.25,222.949997,5897900,222.949997
"500",219.990005,225.169998,214.160004,225.139999,3931100,225.139999
"501",227.580002,228.110001,220.869995,223.130005,3160200,223.130005
"502",225.559998,227.330002,223.240005,226.240005,2866400,226.240005
"503",219.910004,226.169998,219,224.570007,2784100,224.570007
"504",220.880005,223.630005,215.149994,215.699997,3663500,215.699997
"505",219.839996,227.649994,217.479996,226.190002,4043400,226.190002
"506",229.949997,232.600006,227.289993,229.259995,3638500,229.259995
"507",232.649994,233.770004,228.330002,232.679993,3685900,232.679993
"508",234.009995,238.589996,232,235.429993,3594200,235.429993
"509",233.770004,238.039993,231.710007,237.770004,2704600,237.770004
"510",235.710007,239.320007,235.229996,237.550003,3179500,237.550003
