"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"763",86.599998,88.980003,86.019997,88.830002,1921800,85.960587
"764",88.790001,91.639999,88.68,91.370003,1434900,88.418533
"765",91.900002,91.900002,90.540001,91.459999,1205000,88.505615
"766",91,91.580002,90.410004,91.059998,1455500,88.118546
"767",90.82,91.370003,90.199997,91.25,1205600,88.302414
"768",91.57,92.419998,91.169998,92.029999,1551600,89.05722
"769",92.190002,92.190002,90.669998,91.160004,1552900,88.215324
"770",91.540001,91.540001,86.080002,88.919998,2306800,86.047676
"771",87.940002,88.25,86.529999,87.519997,1622700,84.692886
"772",88.290001,89.699997,87.830002,89.110001,1144800,86.231537
"773",89.489998,90.849998,89.199997,89.860001,1691200,86.957306
"774",89.330002,92.360001,86.900002,88.879997,2138300,86.008965
"775",89.290001,89.290001,85.269997,85.559998,1217800,82.796196
"776",85.940002,86.919998,85.239998,85.699997,1014600,82.931679
"777",87.150002,89.139999,87.010002,88.089996,1498600,85.244484
"778",89.129997,92.470001,89.129997,91.440002,1608200,88.486275
"779",92.120003,93.760002,91.550003,92.480003,1246100,89.492668
"780",93.900002,94.720001,91.760002,91.940002,1467200,88.970123
"781",91.699997,94.18,91.360001,93.599998,1371600,90.5765
"782",94.330002,94.610001,92.720001,94.57,1156100,91.51516
"783",95,97.5,94.040001,95.779999,1315100,92.686089
"784",94.919998,95.480003,94.419998,94.519997,1155600,91.869621
"785",94.160004,94.739998,90.230003,94.360001,1602200,91.714119
"786",94.290001,94.889999,93.139999,94.309998,1566000,91.66552
"787",94.589996,95.199997,93.839996,95.129997,915800,92.462524
"788",95,96.989998,93.949997,96.529999,1808100,93.823273
"789",96.150002,97.389999,95.300003,97,1213700,94.28009
"790",94.720001,96.040001,94,94.93,1541700,92.268143
"791",95.360001,95.769997,92.779999,92.93,2239400,90.324226
"792",93.800003,95.010002,93.139999,93.709999,1907100,91.082352
"793",92.050003,92.940002,86.559998,86.589996,2568100,84.161995
"794",83.550003,85,81.470001,84.32,3827500,81.955658
"795",84.529999,88.32,83.889999,87.160004,4528000,84.716019
"796",87.419998,88.949997,84.449997,85.870003,2190400,83.462181
"797",89.300003,90.43,87.989998,90.379997,1411300,87.845718
"798",88,90.080002,85.25,86.970001,1365800,84.531342
"799",84.290001,86.230003,83.389999,85.809998,1760100,83.403854
"800",79.690002,85.830002,77.559998,83.269997,3673000,80.935089
"801",85.349998,86.269997,80.889999,86.07,2214400,83.65657
"802",84.080002,86.120003,83.050003,84.959999,2384900,82.57769
"803",80.459999,84.279999,79.089996,80.489998,7108200,78.233047
"804",83.699997,90.169998,80.660004,90,2835300,87.476372
"805",76,87.419998,76,80.5,2777400,78.24276
"806",82.790001,89.730003,82.199997,89.5,3792400,86.990402
"807",84.900002,90.760002,78.139999,84.970001,3229200,82.587425
