"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"410",77.269997,77.370003,76.220001,77.110001,3374300,66.952843
"411",77.370003,79.220001,77.18,78.760002,3352300,68.38549
"412",79.029999,80.800003,78.809998,79.010002,5733400,68.602547
"413",79.099998,80.519997,79.019997,80.209999,3838700,69.644501
"414",80.279999,81.739998,79.949997,81.620003,3392100,70.868774
"415",82.120003,83.860001,81.68,83.82,6091800,72.778984
"416",84.050003,84.790001,83.190002,83.68,4305200,72.65741
"417",83.709999,84.580002,83.510002,83.910004,3222900,72.857117
"418",84.150002,84.550003,82.949997,83.720001,3624700,72.692154
"419",83.940002,83.949997,82.029999,83.120003,4420500,72.171188
"420",82.790001,83,81.080002,82.290001,6666800,71.450508
"421",82.75,85.080002,82.599998,84.279999,6036200,73.178383
"422",84.059998,84.470001,82.419998,83.940002,5718900,72.883171
"423",83.779999,85.339996,82.75,82.800003,4468200,71.893333
"424",82.800003,82.849998,81.519997,82.510002,3589100,71.641541
"425",82.699997,83.099998,82.150002,82.43,4067700,71.572083
"426",82.25,83.849998,81.709999,83.519997,3835400,72.518478
"427",83.629997,85.220001,83.589996,84.199997,5581900,73.108917
"428",84.300003,84.540001,82.870003,84.089996,4575900,73.013405
"429",84.040001,84.739998,83.879997,84.339996,3294400,73.230469
"430",84.43,84.489998,83.379997,83.82,3510200,72.778984
"431",84.239998,84.660004,83.440002,83.970001,4563000,72.90921
"432",83.269997,83.779999,80.089996,80.540001,6867500,69.931023
"433",81,82.550003,79.57,81.93,6500000,71.137932
"434",82.300003,83.980003,81.93,83.370003,8531600,72.38826
"435",83.940002,86.360001,83.699997,85.790001,6853000,74.489479
"436",86.669998,88.449997,84.940002,85.050003,7512100,73.846954
"437",84.709999,85.209999,82.449997,84.529999,7955000,73.395447
"438",84.779999,85.949997,82.709999,83.040001,8087700,72.101723
"439",82.449997,83,79.970001,79.970001,39153800,69.436111
"440",81.610001,83.32,81.160004,82.43,6696600,71.572083
"441",82.900002,83.419998,81.589996,83.279999,7100100,72.310112
"442",84.32,86.559998,84,86.389999,8331700,75.010437
"443",86.050003,86.32,84.010002,85.269997,6911300,74.037979
"444",84.82,85,83.230003,84.510002,7580800,73.378075
"445",84,84.160004,81.870003,83.860001,9552200,72.813705
"446",83.959999,84.480003,82.860001,83.760002,5322700,72.726883
"447",84.830002,85.059998,80.650002,80.650002,10626500,70.026535
"448",80.650002,81.809998,78.339996,78.730003,9010200,68.359451
"449",80.150002,80.839996,78.900002,80.080002,8179200,69.531624
"450",80,80.339996,77.790001,77.790001,7960600,67.543266
"451",79,80.25,78.269997,80.07,5907500,69.522949
"452",79.610001,80.459999,78.620003,79.150002,5630300,68.724136
"453",78.440002,79.900002,78.260002,78.82,4859600,68.437584
"454",75.779999,76.580002,73.730003,73.919998,13322800,64.183029
"455",74,74.559998,72.220001,74.129997,5154000,64.365364
"456",72.5,72.720001,68.940002,72.089996,8640000,62.59409
"457",71.879997,72,67.82,68.059998,12254700,59.094933
"458",69.519997,70.510002,69.010002,69.959999,8315800,60.744667
"459",69.059998,69.75,67.290001,68.860001,7837700,59.789547
"460",69.849998,70.459999,66.290001,67.230003,6307400,58.374268
"461",67.449997,69.129997,66.639999,68.800003,6470600,59.73745
"462",69.889999,72.120003,69.82,70.449997,9638900,61.170113
"463",69.800003,72.440002,68.75,71.080002,8070900,61.717129
"464",71.790001,73,69.25,69.489998,5685500,60.336571
"465",70.510002,70.919998,68.839996,69.760002,4841500,60.571003
"466",69.75,69.760002,67.900002,68.370003,6809800,59.364098
"467",68.980003,69.970001,68.099998,69.82,7305300,60.6231
"468",69.620003,69.769997,67.290001,67.699997,7182500,58.782345
"469",67.169998,67.660004,66.080002,67.18,6340500,58.330841
"470",67.68,67.919998,65.769997,65.900002,4588800,57.219456
"471",65.5,66.230003,63.650002,64.169998,8936000,55.717331
"472",65.279999,65.860001,63.169998,63.84,6395600,55.430801
"473",63.59,65.599998,63.259998,65.360001,6149600,56.75058
"474",65.720001,66.389999,64.970001,65.440002,6373700,56.820045
"475",65.089996,65.5,62.59,63.41,6337700,55.057442
"476",61.59,63.07,60.639999,61.889999,7603000,54.130344
"477",62.259998,64.269997,62.009998,63.73,6438600,55.739647
"478",62.529999,63.099998,61.700001,61.73,2695000,53.990398
"479",62.810001,64.440002,62.59,64.18,5448300,56.133228
"480",63.84,64.599998,63.439999,63.740002,5096700,55.74839
"481",63.599998,65.540001,62.419998,65.279999,6229200,57.09531
"482",65.040001,65.989998,64.82,64.900002,5096900,56.762951
"483",64.779999,65.57,64.300003,65.160004,6236800,56.990356
"484",66,66.879997,63.279999,64.660004,9307900,56.553047
"485",64.75,66.510002,63.279999,63.34,7711600,55.39854
"486",62.880001,63.630001,61.799999,63.549999,7501300,55.582218
"487",64.129997,66.099998,61.130001,61.560001,9721900,53.841721
"488",61.02,62.02,59.549999,60.98,8768800,53.334438
"489",61.450001,62.43,60.869999,61.34,5555100,53.649296
"490",62.27,63.369999,62.02,62.040001,5484100,54.261536
"491",62.200001,62.650002,61.580002,62.119999,6501700,54.331501
"492",61.560001,62.689999,59.549999,59.869999,8583000,52.363602
"493",59.509998,60.360001,58.130001,58.84,9197900,51.462749
"494",59.049999,60.540001,58.669998,58.959999,12023600,51.567703
"495",59.189999,61.150002,58.18,58.630001,15030100,51.279068
"496",57.880001,60,57.09,57.419998,11900600,50.220779
"497",57.209999,58.73,56.490002,56.740002,14239800,49.626041
"498",55.310001,56.41,54.290001,54.32,4508800,47.509449
"499",54.630001,58.380001,54.439999,58.349998,6036400,51.03418
"500",57.02,59.119999,56.549999,59.099998,5766200,51.690147
"501",59.459999,59.919998,57.799999,58.240002,4563500,50.937977
"502",58.509998,59.220001,57.91,59.009998,4357900,51.611431
"503",58.169998,60.279999,57.790001,59.639999,6608000,52.162445
"504",59.709999,60.040001,58.040001,58.77,6290600,51.40152
"505",59.919998,61.720001,59.25,61.650002,6297600,53.920433
"506",61.869999,63.07,61.16,62.259998,6333100,54.453953
"507",62.610001,63.639999,61.889999,62.869999,5884800,54.987469
"508",63.16,65.260002,62.619999,64.220001,7195800,56.168209
"509",64.150002,64.5,62.5,63.630001,8083300,55.652187
"510",63.450001,66.139999,63.220001,64.870003,6863900,56.736717
"511",64.290001,65.449997,64.290001,64.879997,4772900,56.745464
"512",65.480003,65.550003,63.93,64.330002,4285300,56.26442
"513",64,64.57,63.650002,64.339996,5277900,56.273163
"514",63.799999,65.82,63.470001,65.790001,4533100,57.541359
"515",66.32,66.419998,64.860001,66.089996,5745800,57.803741
"516",65.669998,66.529999,64.669998,64.82,6166300,56.692989
"517",65,65.839996,63.98,64.849998,4357700,56.719223
"518",64.870003,65.080002,62.950001,63.110001,7318600,55.197384
"519",63.68,64.860001,63.02,64.080002,7914700,56.045765
"520",63.630001,64.419998,63.110001,63.720001,11002700,55.730904
"521",63.57,64.379997,63,64.139999,5922800,56.098248
"522",64.769997,65.82,64.190002,65.330002,5745700,57.139042
"523",66.129997,67.110001,65.650002,66.260002,8782200,57.952435
"524",66.68,67.199997,65.339996,65.470001,5216900,57.26149
"525",65.400002,66.169998,65.209999,65.910004,5553700,57.646317
"526",66,67.18,65.860001,67.18,5403600,58.757084
"527",66.900002,67.790001,66.690002,66.870003,5484200,58.485958
"528",66.839996,68.739998,63.060001,63.700001,9498500,55.713413
"529",63.389999,64.099998,61.919998,62.720001,8276500,54.856281
"530",62.439999,63.439999,61.220001,61.720001,9648000,53.981659
"531",62.310001,62.889999,61.709999,61.869999,6478600,54.112854
"532",62.049999,63.810001,61.849998,63.650002,4141000,55.669674
"533",63.349998,64.720001,63.040001,64.040001,4824400,56.010777
"534",64.900002,65.459999,64.540001,65.150002,5166300,56.981613
"535",64.5,65.419998,64.260002,65.010002,3836500,57.325512
"536",64.989998,65.949997,64.480003,65.110001,5470500,57.413692
"537",65.010002,65.980003,64.470001,64.660004,7231800,57.016888
"538",65.279999,65.860001,64.769997,65.019997,3544600,57.334328
"539",64.970001,65.230003,64.449997,64.75,4054700,57.096249
"540",64.779999,65.309998,64.540001,64.589996,3746400,56.955154
"541",64.650002,64.860001,63.330002,63.400002,5805400,55.905823
"542",63.380001,63.439999,61.639999,62.009998,7499200,54.680122
"543",62.119999,63.200001,62.119999,62.68,6069800,55.270927
"544",62.880001,62.880001,60.34,62.009998,7025300,54.680122
"545",61.790001,61.889999,60.310001,60.810001,7254500,53.621967
"546",60.389999,60.740002,59.599998,59.93,8212400,52.845993
"547",59.939999,60.16,58.689999,58.84,5830500,51.884834
"548",57.82,57.939999,56.880001,57.5,7631000,50.703232
"549",57.889999,59.220001,57.73,59.200001,6670400,52.202278
"550",59.16,60,58.860001,58.860001,5849100,51.902473
"551",59.009998,59.59,58.93,59.57,6243500,52.528553
"552",59.650002,59.93,58.900002,59.689999,5473400,52.634357
"553",59.450001,61.27,59.400002,60.450001,9173800,53.304527
"554",60.810001,62.200001,60.799999,62.080002,7657900,54.741852
