"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"1",73.5,73.660004,72.400002,72.940002,1262900,59.828209
"2",73.18,73.699997,72.949997,73.260002,1251200,60.090687
"3",73.169998,73.410004,72.370003,73,2304400,59.877407
"4",72.739998,73.889999,72.269997,73.239998,2516100,60.074272
"5",73.419998,73.57,71.029999,71.089996,2162500,58.310757
"6",71.389999,71.629997,70.889999,71.239998,1515300,58.433804
"7",71.459999,71.940002,71.339996,71.699997,1114500,58.8111
"8",71.580002,71.989998,71.309998,71.830002,958800,58.917744
"9",71.870003,71.949997,71.339996,71.580002,726600,58.712688
"10",71.940002,72.639999,71.839996,72.139999,1322800,59.172012
"11",72.080002,72.529999,71.779999,71.889999,1217800,58.966961
"12",71.779999,71.779999,70.959999,71.080002,1260000,58.302567
"13",71.220001,71.5,70.519997,71.169998,961900,58.376385
"14",71.330002,71.389999,70.620003,70.68,787500,57.974472
"15",70.760002,71.07,70.379997,70.440002,1267700,57.777603
"16",70.239998,70.610001,70.07,70.580002,1211500,57.892445
"17",70.709999,70.910004,70.139999,70.529999,828700,57.851437
"18",70.809998,71,70.239998,70.550003,915900,57.86784
"19",70.879997,70.879997,70.019997,70.610001,1053200,57.917057
"20",70.610001,71.980003,70.529999,71.639999,2035900,58.761906
"21",71.160004,71.660004,70.099998,70.720001,1329900,58.007286
"22",70.790001,71.459999,70.400002,71.440002,1414700,58.597855
"23",71.629997,72.110001,71.470001,71.82,936700,58.909546
"24",71.989998,72.190002,71.620003,71.669998,1323400,58.786491
"25",71.010002,71.139999,70.400002,70.68,1048600,58.686867
"26",70.75,71.440002,70.709999,71.400002,943000,59.284698
"27",71.400002,71.510002,70.650002,71,1178800,58.952564
"28",70.900002,71.699997,70.769997,71.629997,1023700,59.47567
"29",71.669998,72,71.480003,71.959999,778900,59.749668
"30",71.68,71.809998,70.580002,70.790001,1483300,58.778214
"31",70.959999,71.809998,69.629997,70.769997,1791300,58.761593
"32",70.870003,72.849998,70.760002,72.769997,2363700,60.422222
"33",73,73.669998,72.860001,73.550003,1711300,61.069866
"34",73.300003,74.110001,72.910004,73.910004,1225600,61.368801
"35",73.75,73.989998,73.099998,73.709999,1669500,61.202724
"36",74.059998,75.339996,73.900002,75.139999,1090500,62.390087
"37",75.540001,75.860001,75.110001,75.800003,1259300,62.938087
"38",75.790001,75.860001,75.18,75.480003,1392600,62.67239
"39",75.379997,76.790001,75.349998,76.660004,1900200,63.652153
"40",75.849998,76.699997,75.5,75.580002,1865400,62.755432
"41",75.370003,76.209999,74.970001,75.540001,2009900,62.722206
"42",75.629997,75.709999,74.879997,75.379997,1038600,62.589363
"43",75.330002,75.470001,74.75,74.970001,1365600,62.248936
"44",74.870003,75.269997,74.830002,75,1481800,62.273846
"45",74.160004,74.620003,73.25,73.290001,2032400,60.853992
"46",73.25,73.68,72.790001,73.150002,1879300,60.737759
"47",73.660004,73.790001,73.260002,73.610001,971500,61.119701
"48",73.559998,74.089996,73.449997,74.080002,1355800,61.509941
"49",74.050003,74.339996,73.730003,73.860001,927400,61.327282
"50",74.129997,75.470001,73.860001,75.18,1325500,62.423302
"51",75.330002,75.5,74.720001,74.949997,1543800,62.232327
"52",74.760002,75.769997,74.760002,75.410004,2548400,62.614262
"53",75.540001,75.690002,74.790001,75.199997,1358200,62.439899
"54",75.150002,75.93,75.040001,75.760002,2043200,62.904881
"55",76.019997,77.510002,76.019997,76.519997,2513000,63.535919
"56",76.330002,76.989998,76.110001,76.629997,1375000,63.627235
"57",76.050003,77.080002,76.050003,76.809998,1293800,63.776722
"58",77.080002,77.370003,76.050003,76.480003,1150900,63.502705
"59",76.25,76.57,76,76.510002,808700,63.527607
"60",76.330002,76.559998,75.860001,76.190002,578800,63.261921
"61",76.190002,76.190002,75.510002,75.849998,707700,62.979599
"62",75.870003,76.32,75.800003,75.959999,826800,63.070934
"63",75.800003,75.800003,75.209999,75.690002,1046000,62.846764
"64",75.690002,76.209999,75.269997,75.809998,1199600,62.946392
"65",75.790001,76.260002,75.459999,76.129997,2553600,63.212093
"66",75.800003,76.07,75.400002,75.879997,1079400,63.00452
"67",75.980003,76.449997,75.760002,75.949997,1580300,63.062637
"68",75.980003,76.059998,75.510002,75.849998,742000,62.979599
"69",76.019997,76.779999,75.580002,76.599998,1129200,63.602333
"70",76.339996,77.110001,76.080002,77.080002,1179900,64.000893
"71",77.019997,77.160004,76.459999,76.989998,1415900,63.926155
"72",77.139999,77.410004,76.959999,77.129997,610400,64.042397
"73",77.050003,77.400002,76.779999,76.889999,1062600,63.843132
"74",76.919998,76.989998,76.050003,76.360001,972000,63.403061
"75",76.360001,76.360001,75.43,75.800003,736900,62.938087
"76",75.849998,76.610001,75.849998,76.410004,1075700,63.444588
"77",76.629997,76.790001,75.790001,76.459999,2042400,63.486095
"78",76.370003,76.790001,75.949997,76.709999,1555000,63.693668
"79",76.25,76.599998,75.739998,75.989998,1377500,63.095856
"80",75.889999,77.169998,75.889999,76.68,1333700,63.668789
"81",76.839996,76.889999,75.93,76.260002,1344400,63.320053
"82",76.330002,76.440002,75.660004,75.800003,894800,62.938087
"83",75.870003,76.279999,75.510002,76.260002,1053100,63.320053
"84",76.129997,76.75,75.779999,76.440002,1058900,63.469498
"85",76.309998,76.739998,76.220001,76.559998,1170900,63.569126
"86",76.760002,77.419998,76.760002,77.360001,858000,64.233391
"87",77.339996,77.370003,76.860001,77.139999,1240800,64.05072
"88",76.050003,76.300003,75.169998,75.230003,922500,63.177341
"89",75.32,75.75,75.089996,75.68,1183100,63.555252
"90",75.349998,75.720001,74.959999,75.379997,1227300,63.303307
"91",75.389999,75.889999,75.349998,75.699997,972200,63.572052
"92",75.650002,76.449997,75.529999,75.800003,1003400,63.656017
"93",75.800003,75.980003,75.120003,75.139999,707000,63.101765
"94",75.139999,75.910004,75.010002,75.379997,1127500,63.303307
"95",75.5,75.970001,74.879997,75.769997,987900,63.63081
"96",75.870003,75.900002,75.129997,75.690002,1107800,63.563656
"97",75.540001,76.639999,75.480003,76.360001,1483500,64.126297
"98",76.379997,77.019997,76.300003,76.559998,780800,64.294258
"99",76.540001,77.089996,76.419998,77.019997,823000,64.680565
"100",77.199997,78.110001,76.769997,77.860001,1358500,65.385979
"101",77.989998,78.07,77.529999,77.650002,1065800,65.209641
"102",77.690002,78.589996,77.550003,78.239998,1040600,65.705116
"103",78.349998,79.480003,78.050003,79.059998,2183700,66.393723
"104",78.940002,80,78.510002,79.870003,1684300,67.073967
"105",80.120003,80.57,79.970001,80.239998,975700,67.384682
"106",80.190002,80.269997,79.779999,80.129997,1183200,67.292297
"107",80.269997,80.309998,79.860001,80.029999,992000,67.208328
"108",80.080002,80.610001,79.989998,80.449997,1218400,67.561043
"109",80.449997,80.449997,78.879997,79.309998,1486800,66.603683
"110",79.150002,79.5,78.589996,79.279999,1105600,66.578484
"111",79.279999,79.919998,78.639999,79.150002,1149600,66.469315
"112",79.190002,79.599998,78.860001,79.379997,789300,66.66246
"113",79.730003,80.010002,79.290001,79.419998,1010100,66.696053
"114",79.379997,80.120003,78.959999,80.029999,882300,67.208328
"115",80.18,80.199997,79.480003,80.010002,2052500,67.191528
"116",80.089996,80.089996,79.25,79.5,700400,66.763245
"117",79.540001,79.879997,79.339996,79.739998,582800,66.96479
"118",79.940002,79.940002,78.860001,79.370003,723100,66.654068
"119",79.449997,79.75,79.139999,79.190002,691600,66.502907
"120",79.190002,79.669998,78.959999,78.989998,1033100,66.33493
"121",79.25,79.989998,78.980003,79.769997,747400,66.989975
