"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"133",198.160004,198.490005,197.020004,197.889999,578100,187.16423
"134",198.240005,200.619995,197.600006,200.619995,835300,189.746246
"135",200.669998,201.300003,199.449997,199.990005,865400,189.150421
"136",200.149994,201.440002,199.130005,201.009995,1040500,190.115112
"137",201.5,202.570007,200.740005,202.020004,1257100,191.070404
"138",201.929993,204.009995,201.770004,203.330002,988200,192.309387
"139",202.830002,205.729996,202.830002,205.300003,1722800,194.172607
"140",205.190002,205.940002,204.399994,205.630005,1627300,194.484741
"141",206.240005,206.630005,203.270004,204.270004,956300,193.198441
"142",203.679993,204.399994,202.410004,202.720001,1033000,191.732483
"143",203,203.399994,200.5,201.669998,1349000,190.739365
"144",201.830002,203.190002,200.490005,201.979996,1502900,191.032547
"145",202.339996,202.889999,200.839996,201.399994,1051500,190.483963
"146",201.699997,202.339996,200.539993,201.199997,827500,190.294846
"147",200.960007,201.759995,199.059998,200.929993,1326900,190.039459
"148",192.949997,199.520004,192.339996,198.899994,2570400,188.119461
"149",199.770004,200.270004,195.419998,197.050003,2176500,186.369766
"150",197.169998,197.839996,196.009995,197.839996,957800,187.116928
"151",198.869995,199.009995,196.440002,196.630005,1150000,185.972488
"152",196.229996,197.889999,196.229996,197.839996,1093300,187.116928
"153",197.690002,199.009995,197.300003,198.220001,1254400,187.476349
"154",198.410004,201.119995,197.550003,200.360001,1251200,189.500381
"155",201.490005,202.300003,200.589996,201.770004,1558900,190.833939
"156",201.940002,202.899994,201.410004,201.479996,992100,190.559647
"157",201.970001,202.669998,200.820007,201.389999,1090300,190.474533
"158",201.130005,202.270004,199.309998,199.309998,985900,188.507248
"159",199.559998,199.559998,196.690002,197.690002,989200,186.975082
"160",198.089996,199.25,196.729996,199.169998,659800,188.374863
"161",199.149994,200.889999,198.839996,200.360001,855500,189.500381
"162",199.589996,200.139999,197.300003,197.580002,1158700,186.871048
"163",198.679993,198.679993,196.839996,197.860001,814600,187.135864
"164",198.089996,198.789993,197.690002,198.570007,789300,187.807404
"165",199.169998,199.820007,198.619995,199.050003,457500,188.261353
"166",198.110001,199.380005,198.080002,198.899994,805000,188.119461
"167",198.5,198.869995,197.380005,197.899994,813800,187.173691
"168",198.279999,199.690002,197.550003,199.440002,1151000,188.630234
"169",199.440002,199.869995,197.559998,199.149994,757100,188.355911
"170",198.389999,200.410004,198.309998,200.070007,895600,189.226105
"171",200.570007,201,199.149994,199.229996,772500,188.43158
"172",198.449997,200.779999,198.449997,199.570007,968300,189.447342
"173",199.949997,204.289993,199.460007,203.699997,1202200,193.367905
"174",204.789993,204.860001,202.839996,203.869995,1614300,193.529266
"175",203.449997,203.789993,201.410004,202.199997,1128600,191.943924
"176",201.639999,202.399994,195.809998,196.619995,1952200,186.646988
"177",196.289993,197.910004,195.520004,197.600006,1408500,187.577286
"178",197.509995,198.240005,195.080002,195.339996,1579400,185.431885
"179",195.919998,196.929993,195.460007,195.610001,1060500,185.688187
"180",195.759995,196.600006,192.690002,193,1412500,183.210587
"181",193.110001,194.399994,192.649994,194,1109300,184.159866
"182",193.789993,193.889999,191.529999,191.559998,1061800,181.843628
"183",192.5,193.220001,191.600006,193.059998,1056700,183.267548
"184",192.910004,193.619995,192.039993,193.199997,1198300,183.400421
"185",194.059998,194.550003,192.979996,194.320007,991200,184.463638
"186",194.529999,194.679993,192.589996,194.050003,864700,184.207321
"187",194.350006,195.389999,192.660004,193.600006,948700,183.780167
"188",192.990005,195.990005,192.990005,195.949997,1102700,186.010956
"189",196.910004,197.839996,195.300003,196.289993,1066100,186.33371
"190",196.199997,196.789993,193.050003,193.729996,1051700,183.903534
"191",193.729996,195.130005,193.669998,195,889300,185.109116
"192",195,197.25,194.190002,197.25,1244400,187.245026
"193",197.25,198.169998,196.570007,198.080002,1132700,188.032944
"194",197.529999,197.690002,196.410004,197.139999,1068800,187.140594
"195",196.970001,197.520004,195.720001,196.289993,1061100,186.33371
"196",196.270004,197.649994,196.190002,197.509995,774500,187.491837
"197",196.770004,198.889999,196.770004,198.830002,754900,188.744873
"198",198.679993,201.470001,197.440002,201.429993,1340100,191.212982
"199",200.940002,201.419998,200.179993,200.820007,1078300,190.633911
"200",200.850006,203.279999,200.080002,203.070007,956500,192.769806
"201",203.080002,207.729996,202.729996,207.720001,2149600,197.18396
"202",207.360001,209.5,206.699997,209.360001,1066600,198.740738
"203",210,212.539993,209.720001,211.830002,1249000,201.08548
"204",212.059998,214.720001,210.470001,211.029999,1004900,200.326019
"205",211.580002,211.580002,209.809998,210.970001,953700,200.269119
"206",210.910004,211.660004,209.979996,210.389999,1179400,199.718552
"207",211.490005,211.550003,209.470001,209.839996,1936400,199.196411
"208",210.100006,211.190002,209.229996,210.100006,1571800,199.443237
"209",209.729996,210.160004,207.789993,208.649994,1112500,198.066788
"210",208.5,209.550003,208,208.669998,1324000,198.085754
"211",207.529999,210.100006,203.990005,208.059998,2077000,197.506714
"212",214.940002,224.729996,210,224.020004,2706500,212.657181
"213",218.419998,224.889999,217.5,224.410004,1405200,213.02739
"214",224.660004,225.229996,222.050003,222.199997,992700,210.929474
"215",222.75,223.110001,219.720001,221.270004,2236400,210.046646
"216",221.429993,222.330002,220.270004,221.429993,1225000,210.198563
"217",220.970001,224.580002,220.529999,224.479996,988400,213.093857
"218",223.679993,224.300003,217.559998,219.229996,1773100,208.110138
"219",218.669998,220.710007,217.5,220,867200,208.84111
"220",219.039993,221.149994,218.699997,220.460007,868900,209.277756
"221",220.080002,220.440002,218.830002,219.100006,811600,207.986755
"222",219.820007,221.589996,219.139999,221.520004,897700,210.283966
"223",220.770004,221.419998,219.919998,220.309998,719000,209.135361
"224",221.149994,222.309998,220.479996,221.5,807600,210.264969
"225",223.279999,227.5,222.529999,226.830002,1476500,215.324646
"226",226.229996,226.229996,222.960007,224.229996,1161300,212.856537
"227",225,226.399994,224.229996,226.279999,374000,214.802521
"228",226.300003,227.839996,224.850006,225.399994,1044000,213.967148
"229",226.369995,227.330002,224.889999,227.149994,1133700,215.628433
"230",227.110001,227.800003,225.130005,226.880005,931600,215.372147
"231",227,228.800003,224.75,228.210007,2090900,216.634659
"232",228.270004,229.690002,224.520004,226.330002,1566700,214.850006
"233",227.940002,228.539993,218.869995,218.919998,1695400,207.815872
"234",218.929993,220.75,218.509995,219.070007,963700,207.958252
"235",220.059998,220.429993,218,218.919998,1306900,207.815872
"236",218.399994,219.360001,216.880005,217.809998,1351600,207.472961
"237",218.559998,220.440002,217.440002,219.679993,1160000,209.254181
"238",218.229996,220.660004,217.5,218.309998,1149200,207.949219
"239",219.25,220.889999,218.669998,218.990005,1295900,208.596939
"240",218.759995,220.610001,218.389999,218.940002,994200,208.549332
"241",219.259995,220.550003,218.449997,218.770004,1368700,208.38739
"242",220.289993,222.100006,218.679993,221.460007,2197000,210.949722
"243",221.630005,222.690002,220.660004,221.729996,1124300,211.206894
"244",222.330002,222.889999,220.429993,221.330002,983800,210.825897
"245",220.960007,222.199997,218.860001,218.990005,888600,208.596939
"246",219.850006,220.619995,217.529999,217.779999,656600,207.444366
"247",218.300003,218.660004,216.869995,217.229996,1339900,206.920471
"248",217.690002,217.789993,216.410004,217.020004,469100,206.720444
"249",217.130005,217.779999,216.5,217.320007,641300,207.006195
"250",217.320007,218.880005,214.179993,214.320007,2214000,204.148605
"251",216.369995,218.25,213.949997,214.059998,1649400,203.900894
"252",215.089996,220.039993,215.089996,217.839996,2689300,207.501495
"253",219.429993,221.279999,218.779999,219.990005,1749100,209.5495
"254",219.339996,221.770004,219.210007,220.990005,1331700,210.502014
"255",222.369995,223.550003,221.259995,222.080002,1424700,211.540283
"256",222.029999,222.679993,220.259995,221.399994,1736400,210.892532
"257",222.339996,226.850006,221.600006,226.419998,1387300,215.674316
"258",226,226.089996,222.839996,224.559998,1275100,213.902603
"259",224.559998,225.940002,221.860001,225.820007,1554900,215.102814
"260",226.770004,227.779999,223.940002,227.710007,1870400,216.903107
"261",227.979996,230.119995,226.619995,228.539993,1746200,217.693695
