"","LIN.Open","LIN.High","LIN.Low","LIN.Close","LIN.Volume","LIN.Adjusted"
"394",162.770004,167.389999,162.309998,166.449997,2223000,157.18364
"395",166.520004,167.929993,165.570007,166.429993,1470800,157.164719
"396",166.429993,167.850006,165,165.339996,1268200,156.135391
"397",165.779999,167.960007,165.580002,167.5,1673600,158.17514
"398",167.589996,167.929993,164.649994,165.479996,1447600,156.267639
"399",164.100006,164.520004,162.910004,163.919998,1597600,154.794479
"400",163.130005,164.419998,163.050003,164.210007,1050100,155.852737
"401",154.259995,158.800003,153.520004,157.960007,3928400,149.920822
"402",158.970001,159.839996,156.470001,157.029999,2552900,149.038162
"403",157.410004,157.960007,156.490005,157.050003,1740900,149.057114
"404",157,158.25,156.240005,157.149994,1003300,149.152039
"405",155.830002,155.830002,154.130005,154.789993,1303700,146.912155
"406",155.490005,156,153.589996,154.320007,1337500,146.466095
"407",155.330002,155.820007,154.509995,155.339996,1612000,147.434174
"408",154.130005,154.720001,152.520004,154.630005,1352200,146.760284
"409",155.699997,155.940002,154.330002,154.529999,1102400,146.665375
"410",154.160004,156.25,154.160004,156.039993,1662800,148.098526
"411",156.639999,158.699997,156.639999,158.289993,1161100,150.233994
"412",158.539993,159.25,157.960007,158.320007,935200,150.262527
"413",157.910004,158.240005,154.929993,155.020004,1229200,147.130417
"414",155,155.740005,154.089996,154.899994,840400,147.016541
"415",155.410004,156.509995,154.520004,156.210007,708000,148.259903
"416",156.970001,158.240005,156.880005,158.050003,674200,150.00621
"417",158.5,159.100006,157.580002,158.350006,1078100,150.290985
"418",158.539993,159.660004,157.789993,159.5,685700,151.382462
"419",159.070007,159.350006,157.259995,157.889999,805700,149.85437
"420",158.149994,159.059998,157.460007,158.190002,1057800,150.139114
"421",157.869995,157.990005,155.119995,156.179993,1577700,148.2314
"422",155.869995,156.960007,155.539993,156.139999,1736100,148.193451
"423",156.529999,157.690002,155.330002,156.669998,897600,148.696457
"424",156.339996,156.369995,154.570007,155.029999,1225600,147.139923
"425",155.800003,156.470001,155.339996,155.869995,645300,147.93718
"426",155.570007,157.440002,154.559998,157.080002,1247500,149.085617
"427",156.960007,157.690002,156.429993,156.600006,799700,148.630035
"428",158.070007,159.330002,157.289993,159.190002,867900,151.088242
"429",159.679993,160.070007,156.839996,156.990005,1675500,149.000214
"430",157.160004,159.080002,156.970001,158.020004,1529500,149.977737
"431",158.580002,159.139999,157.910004,158.169998,1104600,150.120148
"432",162.75,166.639999,162.75,164.369995,2689100,156.004578
"433",165.369995,166.679993,163.929993,166.210007,1624200,157.750946
"434",166.970001,167.949997,165.75,166.5,2323000,158.026169
"435",165.990005,167.25,163.919998,164,1609000,155.653442
"436",163.740005,164.809998,162.880005,163.059998,1273900,154.761261
"437",162.710007,164.270004,161.899994,162.580002,1309300,154.305679
"438",163,163.789993,161.940002,162.330002,1314300,154.068405
"439",160.699997,162.139999,160.110001,160.729996,1302400,152.549866
"440",165.580002,169.100006,165.289993,168.869995,2329700,160.275543
"441",166.259995,169.259995,165.429993,169.029999,1652300,160.427414
"442",169.75,169.75,167.179993,167.570007,950500,159.041748
"443",166.820007,167,163.380005,165.830002,1720100,157.390289
"444",164.149994,165.740005,163.649994,164.240005,1538700,155.88121
"445",163.490005,164.910004,162.869995,164.309998,1109000,155.947601
"446",162.899994,163.740005,161,161.179993,1510400,152.976929
"447",161.210007,161.600006,157.940002,158.009995,2222200,149.968277
"448",157.929993,158.210007,153.770004,154.259995,1977000,146.409134
"449",156.820007,157.779999,155.330002,156.240005,1840700,148.288361
"450",156.610001,159.289993,155.990005,156.789993,2161500,148.810333
"451",157.720001,160.839996,157.220001,160.669998,1297500,152.492889
"452",161.699997,162.25,159.089996,159.789993,1540700,151.657669
"453",167.080002,167.520004,159.479996,161.360001,3739600,153.147797
"454",161.460007,163.059998,159.289993,159.850006,3012000,151.714615
"455",165.229996,168.949997,160.520004,166.880005,7591100,158.386856
"456",164.839996,165.940002,161.600006,164.169998,4959200,155.814743
"457",161.740005,164,160.779999,161.229996,5610900,153.024399
"458",162.759995,166.360001,162.429993,165,5105400,156.602524
"459",163.710007,167.110001,163.440002,164.940002,35352000,156.545547
"460",166.220001,169.160004,164.589996,165.490005,14032500,157.067581
"461",166.110001,167.669998,162.740005,164.5,57375600,156.127975
"462",161.740005,165.600006,161.309998,165.470001,18032200,157.048615
"463",164.660004,165.479996,161.940002,162,11423500,153.755203
"464",160.660004,161.809998,155.440002,159.839996,6835100,151.705124
"465",157.649994,162.190002,157.449997,161.990005,4477400,153.745728
"466",161.830002,166.350006,161.669998,165.529999,2510600,157.105545
"467",164.539993,166.850006,164.229996,166.850006,7626300,158.358398
"468",164.5,166.149994,162.929993,165.300003,4010000,156.887253
"469",162.990005,163.940002,160.550003,161.520004,3249100,153.299637
"470",160.059998,162.300003,158.910004,159.220001,1990800,151.116684
"471",160.220001,160.330002,156.529999,156.929993,2507100,148.943268
"472",158.190002,158.240005,153,153.360001,2338700,145.554932
"473",156.089996,156.300003,152.559998,155.179993,2759400,147.282288
"474",153.740005,158.460007,153.399994,158.080002,2726800,150.034714
"475",158.610001,161.449997,158.440002,159.5,2464700,151.382462
"476",157.490005,160.190002,157.240005,157.869995,2151600,149.835358
"477",159.240005,161.240005,158.550003,159.059998,2070900,150.964813
"478",156.860001,158.009995,156.020004,156.190002,963600,148.240906
"479",157.039993,158.220001,156.880005,157.320007,2678200,149.313416
"480",155.660004,156.649994,151.520004,152.550003,2525900,144.786179
"481",153.529999,156.479996,151.699997,156.289993,1808800,148.335785
"482",155.509995,159.839996,155.350006,159.309998,2901300,151.202087
"483",157.020004,160.610001,156.940002,159.050003,3944100,150.955353
"484",162.300003,164.419998,159.919998,164.350006,3177200,155.985596
"485",163.949997,164.289993,160.449997,160.830002,2746100,152.64476
"486",158.529999,159.020004,153,155.979996,4785400,148.041565
"487",156.220001,158.520004,152.360001,152.720001,2518700,144.94751
"488",156.029999,157.539993,154.110001,156.910004,2540400,148.924255
"489",161.160004,162.460007,156.649994,157.460007,2552900,149.446289
"490",161.649994,162.139999,159.460007,160.550003,2402600,152.378998
"491",160.399994,161.300003,157.300003,158.089996,2456700,150.044189
"492",157.380005,158.470001,156.050003,156.929993,2360800,148.943268
"493",157.190002,159.440002,155.589996,157.330002,3148600,150.112045
"494",158.419998,158.889999,156.630005,157.610001,2147000,150.379196
"495",157.399994,158.5,155.210007,155.830002,2618700,148.680847
"496",154.479996,156.399994,152.440002,154.050003,3398900,146.982513
"497",156.009995,157.479996,153.029999,153.110001,5452000,146.085617
"498",152.699997,153.410004,148.130005,148.130005,2086800,141.334122
"499",148.75,152.770004,145.949997,152.740005,2591500,145.732605
"500",152.050003,156.410004,150.600006,156.410004,2867000,149.234253
"501",157.100006,158.559998,155.039993,156.309998,1586100,149.138809
"502",156.229996,157,153.940002,156.039993,1853900,148.88121
"503",153.529999,158.160004,153.520004,157.199997,1716400,149.988007
"504",154.059998,154.350006,151.929993,152.289993,1775500,145.303238
"505",153.830002,157.619995,153.360001,156.630005,1801300,149.444153
"506",155.779999,158.039993,155.149994,156.490005,1830200,149.310577
"507",156.089996,158.559998,155.199997,158.149994,2207300,150.894409
"508",156.729996,159.529999,156.330002,158.460007,2099900,151.190186
"509",158.699997,161.979996,158.350006,161.850006,2093900,154.424683
"510",160.559998,160.759995,159.369995,160.210007,1380400,152.85994
"511",158.369995,159.5,157.699997,158.020004,2004800,150.770386
"512",156.839996,157.869995,156.539993,157.229996,2110700,150.016617
"513",157.529999,158.419998,157.080002,157.240005,1382100,150.026199
"514",156.399994,157.649994,156.210007,157.259995,2176500,150.045242
"515",158.759995,161.449997,158.009995,160.789993,2494800,153.4133
"516",161.610001,161.779999,159.690002,160.839996,1699100,153.460999
"517",160.570007,161.089996,157.460007,158.929993,1569500,151.638641
"518",157.610001,157.910004,156.429993,157.369995,2528000,150.150223
"519",158.690002,160.110001,158.639999,158.839996,1242700,151.552795
"520",157.779999,158.389999,156.880005,158.210007,1422500,150.951675
"521",159.570007,162,159.350006,161.220001,1558300,153.823578
"522",161.789993,163.75,161.160004,162.919998,1113500,155.445557
"523",161.179993,163.419998,159.630005,163.009995,1645900,155.531433
"524",163.910004,165.899994,163.460007,165.759995,1324300,158.155289
"525",165.479996,165.690002,163.220001,163.5,2106500,155.998978
"526",165.259995,165.990005,163.800003,164.990005,2358600,157.420609
"527",163.949997,164.619995,163.039993,163.419998,1124800,155.922638
"528",161.75,162.240005,159.429993,160.690002,1361000,153.317886
"529",160.070007,161.610001,159.080002,161.220001,1557900,153.823578
"530",161.059998,161.619995,160.630005,161.350006,1128400,153.947647
"531",164.130005,167.550003,163.889999,167.529999,1772000,159.84407
"532",167.089996,168.490005,166.789993,167.380005,1599300,159.700958
"533",166.649994,167.600006,165.929993,166.5,1104100,158.861359
"534",170.539993,170.710007,167.770004,168.539993,2573600,160.807724
"535",168,168.779999,167.559998,167.860001,2221200,160.158936
"536",167.589996,171.009995,167.589996,170.300003,2574800,162.487015
"537",170.979996,172.300003,170.539993,171.399994,1736500,163.53653
"538",172.240005,173.740005,171.550003,173.5,1075700,165.540176
"539",173.889999,175.009995,173.389999,174.619995,1526800,166.60881
"540",173.789993,174.889999,173.449997,173.910004,1739200,165.931396
"541",173.399994,175.119995,172.630005,174.5,1451800,166.494308
"542",174.809998,174.929993,173.100006,173.240005,1698300,165.292114
"543",176.360001,176.729996,167.860001,168.380005,3033500,160.65506
"544",168.350006,168.910004,166.070007,168.699997,1738100,160.960388
"545",168.350006,169.940002,168.350006,168.440002,1205900,160.712341
"546",168.839996,169.679993,168.210007,169.130005,986800,161.370667
"547",169.360001,169.360001,166.820007,167.470001,1450100,160.617798
"548",168.75,169.520004,167.759995,169.460007,1558400,162.526398
"549",169.479996,171.309998,169.419998,171.279999,1188800,164.271912
"550",171.779999,172.899994,171.389999,172.320007,1309200,165.269379
"551",174.009995,175.509995,173.639999,174.389999,1538500,167.254669
"552",174.25,174.440002,173.169998,174.210007,1033200,167.082016
"553",176.279999,176.960007,174.429993,176.429993,3661400,169.211166
"554",174.75,174.949997,173.429993,174.550003,1220400,167.408127
"555",175.350006,175.789993,172.619995,173.580002,1251600,166.477798
"556",175.350006,176.869995,174.360001,176.630005,1536400,169.403
"557",174.339996,175.830002,173.699997,175.100006,1146300,167.935608
"558",172.100006,172.759995,169.190002,169.860001,1384000,162.910019
"559",170.970001,171.919998,169.559998,170,1349700,163.044296
"560",170.889999,171.300003,169.690002,170.979996,1408100,163.984177
"561",169.460007,170.050003,168.690002,169.479996,1821400,162.545563
"562",170.960007,173.850006,170.729996,173.699997,1892500,166.592865
"563",175.350006,176.100006,173.880005,175.929993,2158100,168.731644
"564",176.839996,178.179993,176,176.580002,1791900,169.355042
"565",177.330002,178.179993,176.690002,178.020004,1179700,170.736115
"566",181.149994,184.529999,180.630005,182.740005,2379600,175.263016
"567",183.570007,184.039993,182.419998,183.899994,1471400,176.375549
"568",184.589996,185.429993,183.979996,184.619995,1403400,177.066086
"569",185.899994,185.919998,184.149994,184.839996,1138500,177.277115
"570",185.050003,185.050003,182.75,182.899994,1388200,175.416458
"571",183.389999,183.589996,179.820007,181.020004,2443700,173.613358
"572",181.679993,181.809998,179.770004,179.850006,1916400,172.491257
"573",180.800003,181.130005,180.139999,180.350006,1914500,172.970825
"574",180.139999,180.429993,179.139999,180.139999,1448000,172.769394
"575",180.080002,180.679993,178.800003,180.619995,1749700,173.229752
"576",180.639999,181.860001,179.399994,179.910004,1663300,172.548813
"577",180.119995,180.789993,179.669998,180.399994,1547300,173.018753
"578",179.850006,180.800003,178.830002,178.899994,1002100,171.580124
"579",178.649994,179.720001,178.550003,179.330002,1796500,171.992554
"580",179.009995,179.509995,177.509995,177.619995,1780200,170.352493
"581",176.220001,176.75,174.919998,176.279999,2229900,169.067337
"582",175.440002,178.259995,175.369995,178.259995,1483900,170.966324
"583",176.789993,178.259995,176.490005,177.100006,1195400,169.85379
"584",177.869995,180.559998,177.389999,180.259995,1404200,172.884491
"585",179.889999,181.199997,178.009995,178.289993,1018300,170.995087
"586",177.929993,180.490005,177.270004,180.490005,1691000,173.105057
"587",179.679993,181.470001,179.240005,180.960007,1248900,173.555893
"588",177.830002,179.330002,177.809998,178.630005,1407000,171.321198
"589",176.580002,176.869995,172.910004,174.570007,2049600,167.427292
"590",174.429993,177.529999,174.240005,176.539993,1264600,169.316666
"591",173.199997,174.710007,171.600006,173.350006,1999500,166.257202
"592",174.630005,182.220001,174.270004,181.589996,2511800,174.160065
"593",179.740005,181.009995,177.820007,180.679993,2328500,173.287308
"594",180.309998,182.360001,179.779999,180.919998,2029300,173.517502
"595",178.570007,182.369995,178.320007,180.860001,1184200,173.45993
"596",185.089996,188.970001,184.5,187.649994,1866600,179.972092
"597",188.190002,189.449997,186.889999,189,1737900,181.266891
"598",186,187.169998,184.649994,185.259995,1383700,177.679916
"599",186.759995,187.440002,186.149994,187.270004,1051500,179.607666
"600",187.869995,189.720001,187.179993,188.240005,1334800,180.537979
"601",185.889999,187.039993,184.470001,185.080002,1318500,177.507263
"602",187.369995,188.149994,185.850006,187.860001,1025300,180.173553
"603",186.940002,187.779999,183.729996,184.309998,1483100,176.768784
"604",181.460007,183.130005,181.210007,183.009995,1405400,175.521957
"605",182.919998,184.210007,182.770004,183.410004,1042000,175.905594
"606",180.300003,181.410004,179.869995,180.550003,1757200,173.992676
"607",181.470001,187.410004,181.199997,187.279999,2882600,180.478271
