"","XYL.Open","XYL.High","XYL.Low","XYL.Close","XYL.Volume","XYL.Adjusted"
"539",75.199997,75.879997,74.93,75.260002,704300,73.052132
"540",75.099998,75.620003,74.839996,75.370003,591700,73.158913
"541",75.199997,76.480003,75.199997,76.300003,817000,74.061615
"542",76.209999,76.209999,75.400002,75.550003,1031100,73.333618
"543",75.900002,76.690002,75.599998,76.370003,870600,74.12957
"544",76.760002,77.5,75.75,76.25,710600,74.013084
"545",76.379997,77.220001,76.160004,76.190002,742600,73.954842
"546",76.230003,76.870003,75.830002,75.849998,730100,73.624825
"547",75.699997,75.889999,74.379997,75.32,922400,73.110359
"548",74.650002,75.239998,74.489998,75.080002,792100,72.877411
"549",75.089996,76.900002,75.089996,76.889999,832700,74.634323
"550",77.089996,77.220001,76.580002,76.690002,736000,74.440186
"551",77,77.639999,76.769997,77.309998,629100,75.041992
"552",77.040001,77.260002,76.309998,76.5,563500,74.255745
"553",76.550003,77.279999,76.470001,76.739998,1176400,74.488701
"554",76.75,78.510002,76.75,78.330002,671000,76.032066
"555",78.900002,79.349998,78.019997,78.43,941500,76.129135
"556",78.379997,78.709999,77.620003,78.18,563700,75.886482
"557",77.93,79.419998,77.93,79.25,393400,76.925087
"558",78.949997,78.989998,76.970001,77.059998,711700,74.799309
"559",77.040001,77.669998,76.580002,76.860001,612000,74.605194
"560",77.669998,78.449997,77.290001,78.099998,483800,75.808807
"561",78.18,78.550003,77.5,77.980003,458300,75.692329
"562",78.209999,79.169998,77.970001,79.07,646100,76.750351
"563",79.18,79.610001,77.769997,79.040001,1357000,76.721245
"564",79.790001,81.019997,79.720001,80.559998,1004000,78.19664
"565",80.559998,80.900002,79.739998,80.040001,569300,77.69191
"566",80.32,80.669998,79.529999,79.690002,689200,77.352173
"567",79.660004,80.18,79.480003,80,637700,77.653061
"568",80.510002,80.769997,79.970001,80.339996,1123800,77.983078
"569",80.129997,81.330002,79.75,81.330002,1148100,78.944061
"570",80.580002,80.639999,79.400002,79.57,730200,77.235687
"571",79.720001,79.910004,79.099998,79.370003,833500,77.04155
"572",79.639999,80.949997,79.339996,80.900002,749100,78.526672
"573",81.5,82.639999,81.449997,82.370003,901100,79.953552
"574",82.190002,82.339996,81.269997,81.870003,875100,79.468216
"575",82.160004,82.699997,81.989998,82.440002,650300,80.021484
"576",82.849998,83.269997,82.459999,82.769997,840900,80.341827
"577",82.93,83.489998,82.760002,82.93,660200,80.497116
"578",82.830002,83.550003,82.480003,83.489998,366900,81.040695
"579",83.5,83.760002,82.910004,83.07,948000,80.633003
"580",83.080002,83.43,82.720001,83.07,680700,80.633003
"581",82.599998,82.599998,81.120003,82.18,650300,79.769112
"582",82.279999,83.129997,81.860001,83.110001,663100,80.671837
"583",83.360001,84.150002,83.199997,83.82,495600,81.361015
"584",83.849998,84.220001,83.169998,83.400002,1179900,80.953346
"585",83.57,84.410004,83.120003,83.290001,909500,80.846565
"586",75.790001,79.699997,75.790001,79.540001,2401100,77.206573
"587",80.279999,82.360001,80.230003,82.290001,1156300,79.875908
"588",80.709999,81.080002,79.980003,80.080002,1237700,77.730728
"589",79.330002,80.059998,78.410004,79.169998,1286500,76.84742
"590",78.959999,80,78.75,79.129997,560500,76.808586
"591",78.279999,79.209999,77.440002,79.080002,846300,76.760063
"592",78.709999,79.050003,77.160004,78.18,1161900,75.886482
"593",76.449997,76.910004,75.82,76.800003,1040500,74.546959
"594",76.129997,77.449997,75.379997,75.510002,1427300,73.2948
"595",75.18,76.849998,74.940002,76.449997,598500,74.207214
"596",76.93,77.169998,76.169998,76.260002,1024100,74.022789
"597",75.779999,76.230003,75.18,75.220001,877700,73.013298
"598",74.739998,75.18,74.239998,74.5,674400,72.31443
"599",75.120003,76,75.120003,75.769997,424000,73.547165
"600",75.510002,75.790001,75.230003,75.43,447500,73.21714
