"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"570",183.279999,183.279999,182.029999,182.570007,709500,158.444916
"571",183.690002,184.970001,182.660004,184.929993,707500,160.493057
"572",185,186.399994,183.539993,184.210007,872400,159.868179
"573",184.039993,185.529999,182.330002,185.520004,721000,161.005096
"574",185.990005,186.240005,183.669998,184.5,651500,160.119858
"575",184.149994,184.320007,176.089996,177.080002,1381500,153.680359
"576",177.660004,178.800003,175.369995,177.440002,1916200,153.992783
"577",177.490005,179.330002,177.270004,178.059998,1018200,154.530838
"578",177.600006,177.600006,171.949997,173.710007,1297000,150.755692
"579",174.580002,177.220001,173.970001,176.610001,982400,153.272461
"580",177.029999,179.25,176.25,178.149994,828700,154.608948
"581",177.389999,178.470001,176.110001,177.850006,905500,154.348602
"582",178.429993,179.669998,177.490005,178.610001,834100,155.008179
"583",178.919998,179.899994,175.559998,175.75,1183000,152.526108
"584",174.899994,175.169998,168.5,173.699997,2193400,150.746994
"585",173.369995,178.929993,172.259995,177.75,2256300,154.26181
"586",178.020004,179.300003,177.059998,177.800003,1644600,154.305222
"587",177.639999,180.059998,176.589996,179.410004,1069900,155.702423
"588",178.589996,179.089996,177.320007,178.110001,851900,154.574265
"589",177.660004,178.710007,172.619995,174.029999,2063200,151.033371
"590",173.820007,175.5,172.619995,172.839996,1013300,150.000641
"591",172.220001,173.979996,170.839996,173.770004,1421700,150.80777
"592",173.770004,175.800003,172.199997,175.210007,1279700,152.057434
"593",173.649994,176.190002,173.600006,175,1068100,151.875214
"594",174.789993,176.339996,173.800003,176.25,1408400,152.960022
"595",176.419998,177.929993,175.229996,177,906000,153.610901
"596",175.139999,176.679993,174.710007,175.309998,900800,153.927017
"597",173.699997,175.720001,173.380005,174.460007,1799400,153.18071
"598",174.289993,174.539993,169.970001,170.559998,1255400,149.756378
"599",171.130005,173.509995,170.350006,172.800003,1775700,151.72316
"600",172.839996,173.229996,171.300003,171.679993,1540300,150.739761
"601",170.830002,172.440002,169.029999,171.479996,1649700,150.564148
"602",172.050003,172.389999,170.240005,171.330002,1148400,150.432465
"603",171.100006,171.809998,167.990005,168.089996,2642600,147.587677
"604",168.690002,168.690002,163.160004,163.960007,2067200,143.961411
"605",163.960007,165.580002,163.029999,163.050003,1519200,143.162399
"606",162.009995,162.869995,160.699997,162.089996,2379700,142.319504
"607",162.130005,162.610001,159.690002,161.669998,1609700,141.950714
"608",161.669998,163.070007,160.529999,162.110001,1702400,142.337036
"609",163.449997,165.100006,162.690002,164.949997,1169400,144.830643
"610",164.880005,165.070007,162.449997,163.630005,1386700,143.671661
"611",164.889999,165,163.320007,163.389999,872400,143.460922
"612",163.860001,164.179993,160.619995,161.389999,2257800,141.70488
"613",162.100006,163.25,161.259995,162.669998,1071100,142.828766
"614",163.289993,163.729996,162.020004,162.550003,1069700,142.723389
"615",162.660004,163.820007,161.880005,163.820007,995900,143.838486
"616",163.960007,164.339996,162.580002,162.919998,1175000,143.048264
