"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"77",61.119999,61.599998,60.049999,61.18,3325900,53.90181
"78",61.82,61.830002,60.59,60.939999,3204000,53.690353
"79",59.439999,62.310001,59.16,62,4377200,54.624252
"80",62.02,62.07,61.240002,61.610001,4399700,54.280647
"81",61.959999,62.09,61.16,61.330002,3233400,54.033955
"82",61.650002,62.310001,61,61.709999,2071800,54.368748
"83",61.470001,61.959999,61.200001,61.700001,2107100,54.359943
"84",61.700001,61.700001,59.889999,60.279999,3007700,53.108868
"85",60.200001,61.299999,60.02,61.09,2727600,53.82251
"86",61.23,61.400002,60.240002,60.470001,2207300,53.276272
"87",60.25,60.34,59.669998,59.869999,1983900,52.747643
"88",60.009998,60.02,58.639999,58.799999,2679400,51.804932
"89",59.07,59.080002,57.669998,58.209999,4348700,51.285122
"90",58.950001,58.950001,57.200001,57.529999,2652300,50.68602
"91",57.27,57.75,57,57.32,1832200,50.501003
"92",57.689999,57.950001,57.169998,57.610001,3364600,50.756496
"93",58.27,58.360001,57.290001,57.779999,2639000,50.906277
"94",57.779999,57.779999,56.07,56.119999,2940600,49.44376
"95",55.790001,56.360001,55.119999,55.880001,2997000,49.232311
"96",56.349998,57.18,56.09,56.66,2480800,49.919529
"97",56.939999,57.240002,56.470001,56.759998,3304400,50.007614
"98",56.830002,59.200001,56.630001,58.639999,3550300,51.663971
"99",59.290001,60,58.27,58.650002,3757900,51.672783
"100",58.810001,59,58.290001,58.369999,2281300,51.426094
"101",58.349998,58.68,57.959999,58.150002,1455300,51.232258
"102",58.049999,58.57,57.790001,58.330002,2027600,51.390846
"103",57.869999,58.439999,56.880001,58.099998,2511800,51.18821
"104",58.169998,59.09,57.68,59.07,2194300,52.042805
"105",58.990002,59.099998,58.619999,58.700001,1452100,51.716839
"106",58.389999,59.330002,58.34,58.970001,2137400,51.954712
"107",58.599998,58.599998,57.77,57.810001,2245600,50.932705
"108",58.209999,58.360001,56.48,57.209999,2799200,50.404091
"109",57.209999,59.400002,56.790001,59.139999,2934100,52.104488
"110",59.139999,59.82,58.75,59.790001,2010700,52.677158
"111",59.75,60.599998,59.119999,59.900002,2411000,52.774075
"112",59.900002,60.529999,59.669998,60.490002,1952500,53.293892
"113",60.400002,60.490002,58.459999,59.110001,1702600,52.078056
"114",58.110001,58.169998,54.560001,54.599998,8170400,48.104588
"115",54.59,55.459999,54.009998,54.919998,4724000,48.386517
"116",55.990002,57.09,55.630001,55.799999,4028800,49.161835
"117",55.43,56.639999,55.18,56.130001,2371000,49.452576
"118",56.889999,56.950001,55.900002,55.970001,3569300,49.311604
"119",56.200001,57,55.68,56.700001,2397000,49.954758
"120",57.91,58.259998,56.830002,57.5,4209800,50.659584
"121",57.599998,57.98,56.93,57.41,2604900,50.580296
"122",57.830002,58.41,56.860001,56.860001,2143200,50.09573
