"","BBY.Open","BBY.High","BBY.Low","BBY.Close","BBY.Volume","BBY.Adjusted"
"447",71.790001,72.279999,70.620003,70.779999,3459700,65.288795
"448",70.75,72.519997,70.190002,70.75,3611200,65.261108
"449",71.949997,72.959999,71.260002,72.449997,3576800,66.829216
"450",72.730003,73.769997,72.540001,72.989998,3213900,67.327339
"451",73.230003,74.980003,72.809998,74.809998,2301100,69.006157
"452",74.690002,75.07,72.550003,73.830002,2565600,68.102165
"453",73.470001,73.849998,71.860001,72.650002,2451000,67.013733
"454",72.879997,72.93,70.470001,70.790001,2934000,65.298004
"455",71.199997,72.519997,70.599998,72.190002,2149700,66.589409
"456",70.910004,71.989998,69.57,71.669998,2838800,66.109741
"457",71.660004,72.870003,68.769997,68.949997,3973100,63.600773
"458",69.260002,70.449997,68.879997,69.169998,2665000,63.803696
"459",68.440002,69.330002,66.080002,68.449997,3884700,63.139553
"460",68.970001,70.029999,67,67.980003,3286700,62.706032
"461",68.059998,70.889999,67.68,70.510002,3156800,65.039749
"462",71.260002,71.709999,70.129997,70.160004,2509400,64.716904
"463",70.07,73.139999,69.199997,73.080002,2977900,67.410362
"464",73.889999,75.110001,70.459999,71.889999,4078300,66.312683
"465",71.839996,72.059998,69.519997,71.099998,3085200,65.583961
"466",71.040001,71.910004,70.089996,71.68,2393400,66.118958
"467",71.940002,72.860001,70.559998,72.809998,2308900,67.161308
"468",72.449997,73.589996,72.010002,73.230003,2946900,67.548729
"469",73.150002,73.290001,67.709999,67.790001,6359000,62.530762
"470",67.599998,68.379997,66.550003,67.150002,4200700,61.940414
"471",64.949997,67.699997,64.849998,67.050003,5587900,61.848167
"472",67.629997,69.099998,66.089996,66.550003,4390100,61.386974
"473",65.93,68.279999,64.809998,67.779999,5487000,62.521534
"474",67.440002,67.559998,65.519997,66.43,5276100,61.276272
"475",66.099998,67.290001,62.18,62.200001,7457300,57.374443
"476",61,65.540001,60.07,63.529999,11885200,58.601257
"477",64.419998,65,60.84,62.09,9104500,57.27298
"478",61.990002,62.970001,61.880001,62.549999,3849900,57.697292
"479",63.619999,64.849998,63.459999,64.339996,5711700,59.348415
"480",64,64.980003,63.32,64.68,4055000,59.662041
"481",64.980003,65.809998,64.040001,65.589996,3956600,60.501438
"482",65.019997,65.089996,63.900002,64.07,4235200,59.099373
"483",63.869999,65,63.34,64.589996,3992300,59.579018
"484",66.089996,67.559998,65.769997,66.989998,6536200,61.79282
"485",66.709999,67.059998,62.029999,62.259998,7036000,57.429787
"486",61.259998,62.360001,60.34,62.279999,5245100,57.448235
"487",62.220001,63.639999,60.360001,60.580002,3641200,55.880127
"488",60.369999,60.369999,58.07,58.66,3777300,54.514019
"489",59.43,59.990002,57.57,58.09,3557900,53.984299
"490",58.740002,59.849998,58.41,58.98,4712700,54.811401
"491",58.73,58.82,55.560001,55.93,5613700,51.976974
"492",55.25,57.400002,55.060001,55.369999,5234700,51.456551
"493",52.360001,54.369999,51.560001,52.23,10194200,48.538479
"494",52.790001,53.5,51.560001,51.970001,5956400,48.296856
"495",52.990002,53.529999,50.740002,50.959999,4896600,47.358242
"496",50.810001,51.970001,49.650002,50.41,6123000,46.847115
"497",50.77,51.599998,48.610001,48.860001,6188500,45.40667
"498",48.529999,51.009998,47.720001,48.240002,1778000,44.830486
"499",48.599998,51.619999,48.459999,51.57,4419300,47.925121
"500",50.720001,51.98,50,51.959999,3494800,48.287563
"501",52.200001,52.470001,50.810001,51.34,2823700,47.71138
"502",51.720001,52.959999,51.720001,52.959999,3330900,49.216885
"503",52.189999,54.040001,52,53.599998,3335700,49.811649
"504",52.700001,53.990002,50.939999,52.5,6208400,48.789398
"505",53.110001,53.68,52.549999,52.75,4910700,49.021729
"506",52.939999,56.220001,52.939999,55.759998,4251000,51.818981
"507",56.360001,57.52,55.150002,57.400002,4039800,53.343079
"508",57.18,58.279999,56.130001,57.830002,5282600,53.74268
"509",56.389999,56.93,55.119999,56.869999,3645900,52.850533
"510",56.419998,57.549999,56,56.509998,3413400,52.515976
"511",56.110001,57.98,55.84,57.279999,2627300,53.231556
"512",57.25,57.419998,56.09,56.669998,3795600,52.664661
"513",56.619999,56.860001,55.970001,56.330002,2652200,52.348698
"514",56.380001,58.099998,56.029999,57.82,3293600,53.733395
"515",58.25,59.48,58.23,58.709999,2807000,54.560486
"516",58.279999,58.68,57.209999,57.77,2520300,53.686924
"517",57.98,58.080002,56.389999,57.310001,2346300,53.259441
"518",57.459999,57.700001,56.720001,57.599998,1757800,53.528942
"519",58.139999,59.450001,58.139999,59.34,2821400,55.145954
"520",58.740002,59.540001,58.07,59.5,2746700,55.294643
"521",59.439999,59.450001,58.330002,58.779999,2094500,54.625534
"522",58.869999,59.27,58.360001,58.98,2477200,54.811401
"523",58.98,59.470001,58.82,59.240002,3653300,55.053032
"524",59.240002,59.240002,57.779999,58.470001,3784800,54.337448
"525",58.599998,59.389999,58.23,59.209999,1859500,55.025139
"526",59.299999,59.599998,58.900002,59.52,3132200,55.313236
"527",59.599998,59.880001,58.810001,59.459999,1900600,55.257477
"528",59.169998,59.360001,58.07,58.860001,1845900,54.699886
"529",58.209999,59.02,58.150002,58.950001,1701500,54.783527
"530",59.009998,59.09,58.220001,58.450001,2227100,54.318859
"531",58.75,60.52,58.75,59.860001,2970300,55.629211
"532",60.110001,60.369999,59.23,59.490002,3001600,55.285362
"533",59.049999,60.099998,58.66,59.57,2908400,55.359703
"534",60.060001,60.43,59.630001,60.18,1951200,55.92659
"535",60.25,60.52,59.509998,60.34,2869700,56.075279
"536",60.5,60.77,60.139999,60.32,2878600,56.056694
"537",60.450001,60.779999,59.439999,59.77,2442200,55.54557
"538",59.849998,60.610001,59.349998,60.439999,2307400,56.168205
"539",61.150002,61.400002,60.389999,60.549999,3805200,56.270435
"540",60.5,60.689999,59.59,60.310001,4177900,56.047401
"541",68.269997,70.730003,67.989998,68.82,17901700,63.955929
"542",69.489998,70.129997,68.139999,68.839996,6834800,63.974503
"543",69.639999,69.849998,67.620003,67.809998,5413400,63.017307
"544",68,68.589996,66.639999,67.059998,4253700,62.320316
"545",67.550003,67.809998,66.43,66.809998,3314500,62.087978
"546",67.290001,67.989998,66.610001,67.290001,3855900,62.534069
"547",66.830002,67.82,66.599998,67.639999,3694300,62.859333
"548",66.879997,67.43,66.360001,67.370003,3123600,62.608418
"549",67.599998,69.199997,67.599998,68.720001,3978400,63.863003
"550",68.989998,69.18,67.959999,68.830002,2622100,63.965221
"551",69,69.160004,68.349998,68.349998,3510400,63.51915
"552",68.239998,69.330002,68,68.849998,4257300,63.983803
"553",68.879997,69.669998,68.309998,69.629997,6814000,64.708687
"554",69.660004,70.279999,69.379997,70.239998,3534800,65.275566
"555",70.260002,70.620003,69.720001,69.889999,3504100,65.415962
"556",69.650002,69.919998,68.169998,69.110001,3377000,64.685898
"557",69.07,70.720001,68.82,70.559998,2693200,66.043076
"558",72.129997,73.339996,70.099998,70.110001,4006500,65.62188
"559",69.82,71.32,69.769997,70.889999,2242000,66.351959
"560",71.440002,71.860001,70.260002,70.5,2804200,65.986923
"561",70.379997,71.190002,70.019997,70.5,4090300,65.986923
"562",70.849998,71.68,70.389999,71.099998,3805100,66.548508
"563",71.279999,71.529999,70.809998,71.059998,2788300,66.511063
"564",71.360001,72.260002,71.089996,72.089996,2787100,67.475128
"565",72.029999,72.029999,71.120003,71.449997,1997700,66.876091
"566",71.839996,72.779999,71.75,72.540001,2347700,67.896324
"567",72.480003,74.589996,72.290001,74.57,2465500,69.796387
"568",74.949997,75.150002,74.330002,74.769997,3171600,69.983566
"569",74.620003,75.290001,74.379997,74.82,2236000,70.030365
"570",74.5,75.209999,74.389999,74.75,1772400,69.964851
"571",74.779999,75.529999,74.209999,74.489998,2360600,69.721504
"572",74.529999,74.540001,73.599998,73.980003,1771100,69.244141
"573",74.120003,74.32,73.440002,73.57,1711800,68.86039
"574",72.940002,73.519997,72.699997,73.239998,2295800,68.551506
"575",73.389999,73.75,72.989998,73.160004,2111000,68.476631
"576",73.629997,74.410004,73.169998,73.400002,1702000,68.701271
"577",73.370003,74.080002,72.980003,73.639999,2377400,68.925903
"578",73.209999,73.629997,72.57,72.599998,2439500,67.952484
"579",72.910004,73.900002,72.209999,73.620003,2075500,68.907188
"580",75.489998,75.910004,74.470001,74.690002,2126400,69.908691
"581",74.480003,74.480003,73.080002,73.790001,2083800,69.066299
"582",72.410004,73.330002,71.400002,72.800003,3032900,68.139679
"583",72.879997,74.019997,72.800003,73.389999,2231800,68.691902
"584",73.139999,74.540001,73.139999,74.410004,2552800,69.646614
"585",74.410004,74.980003,73.760002,73.830002,1752600,69.103745
"586",74,75.18,73.849998,75.18,2288200,70.36734
