"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"630",87.099998,87.459999,86.879997,87.419998,6004700,78.155029
"631",87.260002,87.650002,87.150002,87.370003,10150600,78.110344
"632",88.25,88.379997,84.199997,84.650002,12137500,75.678619
"633",84.800003,85.239998,83.660004,84.080002,3495200,75.169029
"634",84.279999,85.059998,83.709999,84.919998,2845300,75.919991
"635",84.910004,86.309998,84.910004,86.050003,2791100,76.930244
"636",85.910004,86.419998,84.620003,85.879997,3588700,76.778259
"637",86.129997,89,85.919998,87.800003,3233100,78.494789
"638",87.709999,87.709999,85.720001,85.730003,2087200,76.644157
"639",85.629997,86.769997,85.5,85.720001,1984600,76.635201
