"","ANSS.Open","ANSS.High","ANSS.Low","ANSS.Close","ANSS.Volume","ANSS.Adjusted"
"551",182,184.110001,180.649994,180.809998,534500,180.809998
"552",180.509995,181.190002,179.770004,180.619995,512000,180.619995
"553",180.279999,181.589996,179.289993,180.380005,757700,180.380005
"554",180.809998,181.410004,179.350006,180.899994,353700,180.899994
"555",181.380005,182.059998,180.070007,181.119995,378300,181.119995
"556",181.360001,181.649994,179.289993,180.229996,343100,180.229996
"557",179.729996,182.5,179.029999,182.330002,620600,182.330002
"558",182.029999,182.449997,177.100006,177.179993,508400,177.179993
"559",176.460007,177.75,175.550003,177.440002,476300,177.440002
"560",179.179993,180.380005,175.899994,179.690002,320700,179.690002
"561",180.190002,181.070007,176.789993,178.550003,334600,178.550003
"562",179.020004,180.610001,178.259995,180.289993,426200,180.289993
"563",181.979996,183.149994,181.190002,182.710007,396500,182.710007
"564",184.050003,187.75,184.050003,187.449997,352900,187.449997
"565",187.429993,188.360001,185.539993,187.610001,375800,187.610001
"566",188.630005,189.800003,187.520004,188.539993,456300,188.539993
"567",188.929993,188.929993,183.149994,184.979996,329500,184.979996
"568",185.630005,187.059998,184.830002,185.830002,342000,185.830002
"569",185.720001,186.619995,184.080002,186.410004,216200,186.410004
"570",185.389999,187.369995,185.389999,186.660004,250500,186.660004
"571",186.889999,188.960007,186.660004,187.919998,205900,187.919998
"572",187.759995,188.759995,187.460007,188.589996,217800,188.589996
"573",189.800003,189.809998,188.330002,189.550003,187100,189.550003
"574",189.830002,190.5,188.919998,189.960007,228700,189.960007
"575",190.789993,191,188.630005,189.399994,272500,189.399994
"576",190.179993,190.320007,186.490005,187.089996,248100,187.089996
"577",186.970001,186.970001,184.259995,186.589996,360100,186.589996
"578",185.619995,189.679993,184.979996,189.039993,285500,189.039993
"579",189.970001,193.440002,189.520004,192.199997,415100,192.199997
"580",193.070007,195.25,192.369995,192.910004,418800,192.910004
"581",192.470001,193.259995,189.589996,191.929993,316300,191.929993
"582",191.5,194.789993,190.490005,194.660004,356600,194.660004
"583",194.479996,195.240005,193.559998,193.589996,313800,193.589996
"584",193.520004,196.270004,192.039993,195.800003,407100,195.800003
"585",196,196.440002,192.089996,192.509995,810600,192.509995
"586",186.089996,192.270004,184.080002,191.380005,988900,191.380005
"587",193.300003,197.050003,191.649994,192.490005,683000,192.490005
"588",188.559998,193.270004,188.25,192.600006,490000,192.600006
"589",190.710007,191.25,187.289993,188.919998,577300,188.919998
"590",188.419998,191.779999,187.229996,190.929993,473900,190.929993
"591",189.160004,191.669998,188.080002,190.509995,364300,190.509995
"592",189.580002,192.600006,187.509995,191.880005,312300,191.880005
"593",188.050003,189.110001,183.229996,183.970001,406000,183.970001
"594",185.050003,187.550003,184.279999,186.029999,391300,186.029999
"595",184.529999,187.860001,184.149994,186.949997,330700,186.949997
"596",187.619995,192.479996,187.619995,191.440002,322500,191.440002
"597",189.360001,191.619995,187.490005,187.529999,304600,187.529999
"598",185.300003,186.360001,183.660004,184.669998,320300,184.669998
"599",185.779999,187.300003,185.649994,185.860001,263000,185.860001
"600",185.119995,186.619995,184.259995,185.529999,265200,185.529999
"601",183.399994,183.580002,179.199997,180.110001,395100,180.110001
"602",181.289993,183.179993,180.820007,182.149994,396800,182.149994
"603",182.710007,184.899994,180.330002,180.399994,564200,180.399994
"604",179.539993,181.139999,178.220001,179.360001,281300,179.360001
"605",179.770004,182.199997,179.380005,180.690002,223300,180.690002
"606",179.279999,183.100006,178,179.5,384900,179.5
"607",179.669998,180.690002,174.25,175.240005,426600,175.240005
"608",176.559998,182.529999,175.899994,182.360001,363500,182.360001
