"","WST.Open","WST.High","WST.Low","WST.Close","WST.Volume","WST.Adjusted"
"684",143.649994,144,142.25,143.089996,726400,142.19545
"685",143.089996,144.5,142.490005,143.899994,339600,143.000381
"686",144.860001,149.139999,143.029999,143.240005,547500,142.344543
"687",143.529999,146.110001,143.110001,145.639999,337700,144.729523
"688",145.5,145.580002,142.389999,143.110001,274400,142.215332
"689",143.770004,143.770004,140.229996,140.869995,280500,139.989334
"690",140.660004,142.669998,140.539993,141.820007,318300,140.933411
"691",142.619995,143.440002,139.660004,139.679993,262200,138.806778
"692",138.600006,139.639999,136.729996,137.600006,416800,136.739777
"693",137.669998,140.419998,137.009995,140.179993,692000,139.303635
"694",140.860001,142.720001,139.759995,141.589996,611800,140.704834
"695",141.580002,142.070007,140.589996,140.699997,327900,139.820404
"696",139.449997,140.309998,137.899994,137.899994,571400,137.037888
"697",138.820007,141.179993,138.259995,140.679993,245300,139.800537
"698",140.300003,142.509995,140.240005,140.970001,204200,140.088715
"699",142.139999,144.369995,141.369995,142,247400,141.112274
"700",141.990005,142.699997,141.059998,141.649994,159800,140.76445
"701",142.740005,143,141.589996,141.789993,299900,140.903595
"702",141.589996,141.600006,139.570007,139.970001,327700,139.094986
"703",141.050003,143.160004,140.860001,141.610001,447600,140.724716
"704",141.119995,141.820007,139.899994,140.850006,268700,139.969482
"705",141.600006,141.809998,139.789993,140.080002,246400,139.204285
"706",140.360001,141.490005,138.5,138.820007,330900,138.109909
"707",139.479996,141.630005,138.649994,139.169998,820400,138.458115
"708",144.419998,144.940002,136.779999,138.860001,719700,138.149704
"709",138.949997,141.139999,138.460007,140.889999,412900,140.169296
"710",140.960007,143.119995,140.5,142.490005,304000,141.761154
"711",142.210007,144.960007,142.110001,143.429993,362600,142.69632
"712",143.020004,144.899994,142.690002,144.509995,408800,143.770798
"713",144.300003,145.199997,142.220001,143.839996,413900,143.104202
"714",144.869995,147.669998,144.279999,147.139999,307000,146.387329
"715",147.929993,148.110001,146.039993,147.740005,358500,146.984283
"716",147.600006,147.800003,146.070007,146.910004,510100,146.158524
"717",147.130005,148.600006,146.580002,147.350006,546200,146.596268
"718",147.910004,148.600006,147.229996,147.789993,275900,147.034042
"719",147.639999,148.360001,146.410004,147.729996,543300,146.974335
"720",146.929993,148.949997,146.669998,147.350006,241100,146.596268
"721",147.669998,148.880005,146.960007,147.559998,370900,146.805191
