"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"366",138.527725,139.072662,137.380493,138.99617,9535336,117.213066
"367",137.839386,138.164429,136.845123,138.12619,4483574,116.479408
"368",136.826004,137.877625,136.663483,137.571701,3647402,116.011826
"369",137.877625,138.164429,136.147232,136.357559,3483075,114.987976
"370",136.319305,136.845123,134.636703,135.038239,4066534,113.875381
"371",135.411087,135.573608,134.588913,135.066925,5869420,113.899574
"372",134.225616,134.225616,132.198853,132.686417,9348207,111.892151
"373",133.231354,133.699814,132.246658,132.963669,4329917,112.125923
"374",132.992355,133.632889,131.40535,131.434036,4290483,110.836029
"375",132.026764,134.359467,131.883362,133.881454,4731790,112.899895
"376",134.149139,135.143402,133.470367,133.556412,3880765,112.625793
"377",132.198853,134.053543,132.122375,133.709366,3562048,112.754776
"378",134.46463,134.741867,133.240921,133.432129,2053507,112.520981
"379",134.302109,135.210327,133.776291,135.210327,3916956,114.020493
"380",135.305923,136.653915,134.961761,136.214142,2980054,114.866997
"381",136.319305,138.355637,136.20459,138.040146,4084316,116.406845
"382",138.154877,139.187378,137.915863,138.346085,3950742,116.664841
"383",137.667297,139.761002,137.667297,138.565964,3688824,116.850258
"384",139.435944,140.372849,139.33078,140.009567,3262997,118.067627
"385",140.009567,140.516251,139.388138,139.483749,3203480,117.624207
"386",139.263855,139.378586,137.868073,139.063095,3628365,117.26947
"387",138.384323,138.623322,137.036331,137.179733,5331148,115.681282
"388",137.198853,138.432129,136.462708,138.164429,7254324,116.511665
"389",141.347992,143.919693,140.774384,142.676865,15329967,120.316917
"390",142.045883,142.313583,139.827911,139.913956,6709672,117.987
"391",139.913956,140.248566,138.632889,139.292542,4077203,117.462967
"392",140.248566,140.573608,139.502869,139.942642,4070614,118.0112
"393",139.588913,140.20076,139.101334,140.172089,3797921,118.204666
"394",140.946457,142.705551,140.181641,140.258133,4997788,118.277229
"395",140.430206,140.66922,138.298279,138.766724,3921768,117.019569
"396",138.432129,139.808792,138.326965,139.091782,3774177,117.293678
"397",139.33078,139.388138,137.820267,138.556412,5726013,116.842201
"398",138.393875,138.804977,137.036331,137.189301,3544266,115.689346
"399",136.577438,137.05545,136.07074,136.673035,4018104,115.253975
"400",136.94072,141.414917,136.711288,141.20459,8424066,119.075386
"401",140.487579,140.726578,139.168259,139.608032,4093730,117.729027
"402",140.20076,141.147232,139.913956,140.544937,3670205,118.519081
"403",140.850861,140.946457,139.808792,140.430206,3745831,118.42234
"404",139.13002,139.521988,138.365204,138.403442,3235801,117.974152
"405",138.145309,138.690247,137.552582,138.12619,3141243,117.737816
"406",137.810699,137.954117,136.261948,136.434036,2989991,116.295464
"407",136.711288,137.495224,136.644363,137.05545,2991560,116.825134
