"","CDW.Open","CDW.High","CDW.Low","CDW.Close","CDW.Volume","CDW.Adjusted"
"77",58.619999,58.990002,58.439999,58.790001,845000,55.86829
"78",59,59.639999,58.639999,59.330002,847600,56.381451
"79",59.439999,60.130001,58.950001,59.73,722600,56.761566
"80",59.990002,60.27,59.720001,59.810001,379300,56.837593
"81",59.77,60.130001,59,59.09,769700,56.153381
"82",59.360001,59.43,58.889999,59.259998,1035100,56.314934
"83",59.290001,59.610001,58.84,59.040001,840500,56.105865
"84",59.299999,60.330002,58.349998,58.799999,1146600,55.8778
"85",58.869999,59.27,58.540001,59.16,757000,56.219894
"86",59.200001,59.349998,58.59,58.759998,498900,55.839779
"87",58.630001,59.16,57.740002,59.029999,489300,56.096359
"88",60,60,59.23,59.48,613000,56.524002
"89",59.009998,60,59.009998,59.759998,531000,56.790077
"90",59.759998,59.959999,59.310001,59.91,680900,56.932632
"91",59.619999,59.810001,58.669998,58.73,635200,55.811275
"92",58.599998,59.130001,58.509998,59.009998,1402200,56.077358
"93",59.240002,59.830002,58.860001,59.57,602800,56.609516
"94",59.259998,59.68,58.73,58.84,1448800,55.915798
"95",58.549999,58.650002,55.799999,56.5,1675500,53.692093
"96",56.400002,57.599998,56.400002,57.09,824800,54.252777
"97",57.419998,57.860001,57.16,57.450001,611900,54.594883
"98",57.639999,57.84,56.959999,57.669998,1063400,54.957005
"99",57.919998,58.540001,57.66,58.48,1174600,55.728905
"100",58.990002,59.549999,58.599998,59.389999,820800,56.5961
"101",59.16,59.419998,58.529999,59.330002,696300,56.538914
"102",59.259998,59.59,58.84,59.369999,567100,56.577034
"103",59.59,60.25,59.369999,60.18,1697000,57.34893
"104",60.27,61.439999,60.220001,61.119999,891400,58.244713
"105",60.93,61.59,60.830002,61.240002,758700,58.359066
"106",61.220001,61.540001,60.16,61.240002,699100,58.359066
"107",61.02,61.580002,60.959999,61.389999,568800,58.502014
"108",61.669998,62.380001,61.540001,62.02,986700,59.102364
"109",62.18,62.91,61.5,62.639999,1044600,59.693199
"110",62.869999,63.200001,60.599998,60.790001,958500,57.930237
"111",60.209999,61.220001,59.549999,60.98,1286600,58.11129
"112",61.07,61.77,60.98,61.560001,1006100,58.664013
"113",61.330002,61.919998,61.029999,61.66,826000,58.759304
"114",61.220001,62.080002,60.849998,62.060001,836200,59.140495
"115",62.049999,62.139999,61.669998,61.939999,1175100,59.026138
"116",62.34,62.610001,61.68,62.529999,843200,59.588367
"117",62.349998,63.169998,62.18,62.889999,807200,59.931442
"118",63.040001,63.139999,62.610001,62.77,549700,59.817089
"119",62.84,63.220001,62.380001,63.169998,666800,60.198265
"120",63.200001,65.470001,63,65.220001,2211000,62.151833
"121",65.910004,66.330002,64.400002,64.650002,1034600,61.608658
"122",63.959999,64.709999,62.880001,62.900002,1020000,59.940979
"123",63.139999,63.68,62.689999,63.41,859700,60.426983
"124",63.380001,63.380001,62.259998,62.869999,634300,59.912388
"125",63.130001,63.389999,62.5,62.529999,890800,59.588367
"126",62.549999,63.599998,62.549999,62.759998,340900,59.807556
"127",62.830002,63.419998,62.66,62.990002,773600,60.026741
"128",62.419998,62.599998,61.139999,61.23,1284100,58.349537
"129",61.380001,62.5,61.279999,62.360001,1088400,59.426373
"130",62.299999,62.849998,62.290001,62.630001,717500,59.683674
"131",62.400002,63.43,62.400002,63.23,718500,60.255447
"132",63.200001,64,63.200001,63.450001,530400,60.465096
"133",63.540001,63.990002,63.189999,63.349998,664900,60.369804
"134",63.34,63.77,62.75,63.560001,983100,60.56992
"135",63.5,63.849998,63.18,63.720001,492500,60.722393
"136",63.540001,63.84,63.119999,63.59,704700,60.598511
"137",63.560001,64.519997,63.560001,64.059998,608300,61.046406
"138",63.880001,64.300003,63.41,63.669998,634100,60.674747
"139",63.619999,63.66,62.950001,63.52,658000,60.531799
"140",63,63.869999,62.959999,63.509998,549100,60.52227
"141",63.5,64.040001,63.029999,63.799999,716000,60.798634
"142",63.990002,63.990002,63.450001,63.93,303800,60.92252
