"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"484",180.619995,182.993332,178.626663,182.976669,3264000,182.976669
"485",180.729996,182.449997,172.143326,172.940002,2932800,172.940002
"486",168.449997,173.03334,165.596664,173.029999,3022200,173.029999
"487",171.220001,171.943329,162.710007,163.896667,2771700,163.896667
"488",163.729996,166.940002,160.75,166.036667,2217600,166.036667
"489",168.850006,170.846664,166.243332,169.353333,2060100,169.353333
"490",171.993332,175.383331,171.386673,171.876663,2429100,171.876663
"491",174.123337,175.133331,169.353333,170.75,1857900,170.75
"492",168.536667,169.309998,163.793335,163.936661,2265000,163.936661
"493",163.496674,164.013336,158.206665,160.583328,2946000,160.583328
"494",162.106674,162.679993,159.083328,160.786667,2135400,160.786667
"495",161.113327,164.463333,155.279999,157.306671,2248500,157.306671
"496",156,157.550003,150.693329,153.293335,3519900,153.293335
"497",153.623337,155,148.460007,148.67334,5487900,148.67334
"498",147.169998,147.856674,143.41333,144.963333,2041800,144.963333
"499",145.279999,154.160004,145,153.993332,2652600,153.993332
"500",151.553329,156.330002,149.723328,156.233337,2253600,156.233337
"501",157.373337,159.690002,155.179993,157.066666,2120700,157.066666
"502",159.046661,161.08667,157.786667,159.639999,1870200,159.639999
"503",156.5,157.743332,153.92334,155.343338,2396100,155.343338
"504",153.279999,154.5,148.820007,150.080002,2799300,150.080002
"505",152.693329,159.196671,152.243332,157.226669,2759700,157.226669
"506",157.333328,161.630005,157.223328,159.479996,2177400,159.479996
"507",161.233337,161.863327,157.016663,160.996674,2241600,160.996674
"508",167,173.16333,164.656662,172.369995,4309200,172.369995
"509",170.156662,173.240005,170.063339,172.690002,2943000,172.690002
"510",171.666672,172.196671,167.106674,168.440002,2971200,168.440002
"511",167,168.229996,166.346664,167.570007,1919700,167.570007
"512",167.706665,172.146667,167.706665,171.820007,2603700,171.820007
"513",172.816666,175.276672,171.936661,171.976669,1886100,171.976669
"514",170.970001,178.376663,170.410004,178.093338,2963100,178.093338
"515",179.800003,181.25,175.899994,180.850006,3112800,180.850006
"516",179.020004,179.883331,177.083328,178.926666,2185500,178.926666
"517",178.746674,179.513336,173.803329,176.649994,2279700,176.649994
"518",178,178.910004,176.220001,178.706665,1964400,178.706665
"519",172,175.300003,169.610001,171.679993,6068400,171.679993
"520",169.699997,170.366669,165.013336,165.57666,2828700,165.57666
"521",165.669998,167.41333,162.213333,164.75,2528100,164.75
"522",165.759995,169.766663,163.963333,169.493332,2197500,169.493332
"523",170.053329,175.320007,169.080002,174.546661,3026700,174.546661
"524",174.28334,176,172.666672,174.883331,2147700,174.883331
"525",174.190002,174.41333,172.473328,174.143326,1296900,174.143326
"526",173.963333,175.940002,172.679993,174.296661,1730100,174.296661
"527",173.786667,174.623337,171.100006,173.983337,1517100,173.983337
"528",172.243332,173.333328,169.136673,169.786667,2123700,169.786667
"529",168.21666,172.493332,167.330002,172.350006,1758000,172.350006
"530",173.896667,176.976669,173.333328,176.486664,2766000,176.486664
"531",177.350006,181.5,177.016663,179.903336,2097000,179.903336
"532",176.66333,179.903336,175.453339,177.823334,1918500,177.823334
"533",176.946671,179.403336,175.053329,178.693329,1400400,178.693329
"534",180.309998,182.869995,179.553329,182.833328,2044800,182.833328
"535",181.023331,183.16333,180.446671,182.723328,2005500,182.723328
"536",182.556671,183.333328,181.506668,183.21666,1693500,183.21666
"537",182.566666,184.119995,180.743332,183.289993,1716300,183.289993
"538",183.873337,185.92334,183.366669,183.953339,1694100,183.953339
"539",185,186.316666,184.210007,184.463333,1507500,184.463333
"540",183.743332,183.743332,181.309998,182.820007,1371000,182.820007
"541",181.936661,183.853333,180.503326,183.136673,1506900,183.136673
"542",182.449997,184.943329,182.153336,182.536667,2285400,182.536667
"543",183.929993,188.103333,183.166672,186.183334,2271900,186.183334
