"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"110",84.730003,84.860001,84.029999,84.489998,2527300,82.607994
"111",84.559998,84.93,83.82,84.07,2959100,82.197372
"112",84.169998,84.449997,83.980003,84.169998,3252500,82.295128
"113",84.360001,84.769997,84.120003,84.459999,2332900,82.578682
"114",84.089996,84.389999,83.650002,84.379997,2484200,82.500443
"115",84.610001,85.019997,84.260002,84.480003,4916900,82.598213
"116",84.800003,85.550003,84.529999,85.269997,2321400,83.370628
"117",85.290001,86.120003,85.139999,85.68,2976400,83.771492
"118",85.919998,86.620003,85.699997,86.480003,3242000,84.55368
"119",86.43,86.739998,85.940002,85.959999,2609400,84.045265
"120",85.970001,86.019997,85.07,85.660004,4874800,83.751953
"121",85.699997,85.940002,85.440002,85.470001,1782200,83.566177
"122",85.330002,85.5,84.620003,84.620003,1656800,82.735107
"123",85.040001,85.150002,84.599998,84.720001,2313300,82.970139
"124",84.699997,84.870003,83.919998,84.029999,2404300,82.294395
"125",84.279999,84.68,84.080002,84.389999,2758900,82.646973
"126",84.779999,85,84.260002,84.260002,1051900,82.519653
"127",84.260002,84.370003,83.870003,84.089996,2561600,82.353165
"128",83.699997,83.720001,82.68,82.93,2875300,81.217125
"129",83.199997,83.25,82.940002,83.07,2877300,81.354225
"130",83.110001,83.239998,82.489998,82.559998,2974600,80.854767
"131",82.650002,83.360001,82.410004,83.099998,2593000,81.383614
"132",83.669998,83.870003,83.260002,83.489998,2914100,81.765556
"133",83.260002,84.529999,83.160004,84.260002,4125200,82.519653
"134",84.32,85.290001,83.910004,85,3060300,83.24437
"135",85.139999,85.949997,84.919998,85.470001,3511100,83.704651
"136",85.360001,85.639999,84.93,85.480003,2862500,83.714455
"137",85.519997,85.889999,85.290001,85.790001,2905300,84.018066
"138",82.059998,84.199997,81.5,83.199997,9551300,81.481544
"139",83.019997,83.400002,82.519997,83.050003,3606100,81.334663
"140",82.970001,84.050003,82.970001,83.029999,3090000,81.315033
"141",83.279999,83.489998,81.889999,81.989998,4903500,80.296524
"142",82.099998,82.32,81.629997,82.010002,2812400,80.316109
"143",82.419998,82.43,80.849998,81.160004,4977300,79.483673
"144",81.190002,81.580002,80.68,81.43,3018300,79.748108
"145",81.639999,81.980003,81.400002,81.489998,2161200,79.806854
"146",81.540001,81.639999,80.779999,80.82,2525000,79.150711
"147",80.800003,81.599998,80.589996,81.279999,4393300,79.601196
"148",81.339996,81.57,80.980003,81.279999,2506600,79.601196
"149",81.529999,81.529999,80.919998,81.010002,2425300,79.336777
"150",80.989998,81.489998,80.760002,81.43,1898400,79.748108
"151",81.32,81.699997,80.139999,80.269997,2997100,78.612061
"152",80.290001,80.68,80.019997,80.230003,2666500,78.572899
"153",80.050003,80.150002,78.970001,79.290001,3681400,77.652298
"154",79.25,80.169998,79.099998,79.82,2433900,78.171356
"155",80.050003,80.720001,79.839996,80.599998,2351400,78.935249
"156",80.620003,80.879997,80.330002,80.559998,1798800,78.896072
"157",80.889999,81.849998,80.82,81.559998,3159100,79.87542
"158",81.540001,81.790001,80.910004,80.910004,2290800,79.238846
"159",80.739998,81.32,80.440002,80.870003,2861300,79.199654
"160",80.889999,81.510002,80.800003,81.080002,2361900,79.405334
"161",81.150002,82.57,81.150002,82.519997,2279800,80.815582
"162",82.239998,82.370003,81.529999,81.82,1969200,80.130043
"163",81.779999,81.870003,81.220001,81.809998,2043700,80.120262
"164",82.110001,82.360001,81.919998,82.160004,2342900,80.463036
"165",82.419998,82.589996,82.139999,82.370003,1710600,80.668694
"166",81.800003,82.209999,81.720001,81.989998,1989900,80.296524
"167",81.830002,82.269997,81.720001,82.139999,1940300,80.443436
"168",82.43,83.589996,82.260002,83.419998,2797500,81.696983
"169",83.370003,83.540001,82.68,83.230003,1608000,81.510941
"170",83.190002,83.43,82.809998,83.059998,1929400,81.344452
"171",83.209999,84.18,83.029999,84.019997,3393300,82.284607
"172",84.279999,85.260002,83.989998,85.099998,3263900,83.342308
"173",85.199997,87.400002,85.07,86.760002,5474800,84.968002
"174",86.760002,87.279999,86.739998,87.07,2630600,85.271606
"175",87.07,87.330002,86.790001,87.269997,2158100,85.467476
"176",87.290001,87.580002,86.959999,87.239998,2466000,85.438095
"177",87.099998,88.480003,86.980003,88.449997,3270400,86.623108
"178",88.029999,88.480003,87.639999,88.209999,3582300,86.388062
