"","NCLH.Open","NCLH.High","NCLH.Low","NCLH.Close","NCLH.Volume","NCLH.Adjusted"
"552",54.970001,55.330002,54.560001,55.16,1550100,55.16
"553",55.139999,55.869999,54.84,55.549999,2326500,55.549999
"554",55.740002,56.16,55.470001,56.16,1337300,56.16
"555",56.209999,56.549999,55.790001,56.110001,1717800,56.110001
"556",55.970001,56.16,55.060001,55.869999,2656000,55.869999
"557",55.580002,56.669998,55.57,56.5,1502300,56.5
"558",56.349998,56.560001,55.380001,55.619999,2998300,55.619999
"559",55.529999,55.75,54.77,55.169998,1977600,55.169998
"560",53.310001,55.34,53.259998,54.48,3147900,54.48
"561",54.650002,54.759998,53.540001,53.939999,2322300,53.939999
"562",53.970001,54.73,53.900002,54.330002,1770700,54.330002
"563",54.66,55.130001,54.209999,54.959999,2577900,54.959999
"564",55.470001,56.240002,55.419998,56.110001,1708300,56.110001
"565",56.029999,56.560001,55.650002,56.5,1321000,56.5
"566",56.810001,57,56.580002,56.759998,1016900,56.759998
"567",56.84,57.09,56.669998,56.73,1175300,56.73
"568",56.889999,57.419998,56.82,57.130001,1469900,57.130001
"569",57.099998,57.310001,56.52,57.290001,2000900,57.290001
"570",56.990002,57,55.66,55.880001,1569100,55.880001
"571",55.959999,56.689999,55.700001,56.5,1292900,56.5
"572",56.77,57.68,56.709999,57.48,1906600,57.48
"573",57.959999,58.810001,57.93,58.599998,2154200,58.599998
"574",58.689999,58.900002,58.139999,58.669998,2460500,58.669998
"575",58.919998,59.639999,58.900002,59.560001,1558900,59.560001
"576",59.490002,59.709999,57.630001,57.84,2661800,57.84
"577",57.759998,57.939999,56.599998,56.919998,2784600,56.919998
"578",56.57,56.779999,56.220001,56.599998,988500,56.599998
"579",56.740002,57.43,56.439999,57.299999,1569600,57.299999
"580",57.220001,57.509998,56.790001,56.98,1627500,56.98
"581",57,57.150002,56.360001,56.799999,1518400,56.799999
"582",56.970001,57.470001,56.740002,57.27,1469600,57.27
"583",57.299999,57.610001,57.060001,57.080002,1389700,57.080002
"584",57.139999,57.139999,56.110001,56.389999,2274500,56.389999
"585",58.709999,59.599998,57.919998,58,3898700,58
"586",57.669998,57.799999,56.580002,56.900002,2163600,56.900002
"587",57.110001,58.43,57.02,58.25,2403100,58.25
"588",57.040001,58.57,56.959999,58.290001,1942300,58.290001
"589",57.689999,58.009998,56.689999,57.189999,1733300,57.189999
"590",57.040001,57.610001,56.790001,57.34,2909100,57.34
"591",58,58.259998,55.77,57.59,3546800,57.59
"592",57.630001,58.400002,55.919998,57.900002,2560100,57.900002
"593",57.02,57.02,55.09,55.290001,3309300,55.290001
"594",55.5,56.900002,55.419998,56.299999,2938600,56.299999
"595",55.77,56.950001,55.389999,56.73,1511000,56.73
"596",57,57.869999,56.759998,57.549999,1262200,57.549999
"597",56.790001,57.77,56.75,56.919998,1255400,56.919998
"598",56,56.099998,55.630001,55.889999,1492200,55.889999
"599",56.380001,56.970001,56.299999,56.77,2098200,56.77
"600",56.41,56.990002,56.299999,56.810001,1133600,56.810001
"601",56.060001,56.43,55.189999,55.549999,1444400,55.549999
"602",56,56.189999,55.32,55.380001,1175600,55.380001
"603",55.48,55.830002,55.02,55.220001,1258700,55.220001
"604",55,55.360001,54.380001,54.66,1888400,54.66
"605",54.880001,55.34,54.779999,55.16,711600,55.16
"606",54.5,54.93,54.27,54.709999,1002100,54.709999
"607",54.639999,54.869999,53.98,54.299999,1790700,54.299999
"608",53.959999,54.41,51.560001,54.259998,5897000,54.259998
"609",53.360001,53.830002,51.25,52.380001,6167200,52.380001
"610",52.049999,52.279999,51.029999,51.939999,3791300,51.939999
"611",51.700001,53.669998,51.009998,52.59,2570000,52.59
"612",52.59,54.02,52.529999,53.830002,2294700,53.830002
"613",54.130001,54.380001,53.540001,53.59,1775600,53.59
"614",53.43,53.950001,53.110001,53.84,1270700,53.84
"615",53.82,53.91,53.200001,53.720001,1288200,53.720001
"616",53.779999,54.540001,53.59,54.279999,1634400,54.279999
"617",54.23,54.41,53.009998,53.040001,1790200,53.040001
"618",53.459999,54.240002,53.220001,53.75,2019700,53.75
"619",54,54.009998,53.470001,53.91,1022100,53.91
"620",52,53.189999,51.630001,52.560001,3373500,52.560001
"621",52.040001,52.040001,51.09,51.110001,3530100,51.110001
"622",50.91,51.169998,49.880001,50.830002,3243300,50.830002
"623",50.700001,51.189999,50.369999,50.860001,2240900,50.860001
"624",51.169998,51.330002,50.330002,50.41,1624200,50.41
"625",50.490002,51.869999,50.279999,51.84,1531500,51.84
"626",51.900002,53.630001,51.849998,53.630001,3881100,53.630001
"627",54.299999,54.299999,52.66,52.82,2564000,52.82
"628",52.970001,53.73,52.619999,53.73,1841200,53.73
"629",53.560001,53.869999,52.349998,52.759998,1739400,52.759998
"630",52.73,52.790001,51.84,51.950001,1347200,51.950001
"631",51.650002,51.740002,50.049999,50.25,2458100,50.25
"632",50.009998,50.779999,49.549999,50.759998,2464500,50.759998
"633",50.970001,51.049999,49.549999,49.650002,3089200,49.650002
"634",49.650002,49.790001,48.900002,49.619999,2446000,49.619999
"635",49.639999,49.919998,49.369999,49.790001,1249600,49.790001
"636",49.900002,50.73,49.900002,50.360001,1393100,50.360001
"637",50.27,51.130001,50.029999,50.82,2962300,50.82
"638",50.869999,50.869999,49.290001,49.400002,1861800,49.400002
"639",49.150002,49.669998,48.950001,49.279999,1066600,49.279999
"640",49.540001,49.82,48.540001,48.599998,1509100,48.599998
"641",48.509998,48.880001,47.849998,47.919998,3108400,47.919998
"642",48.139999,48.560001,47.740002,48.450001,3248500,48.450001
"643",48.41,49.619999,48.18,49.459999,3016800,49.459999
"644",48.68,49.669998,48.470001,48.759998,2010400,48.759998
"645",49.200001,49.560001,48.93,49.040001,1191800,49.040001
"646",48.990002,49.330002,48.889999,49.099998,949800,49.099998
"647",48.639999,48.950001,48.450001,48.5,1604500,48.5
"648",48.540001,49.700001,48.389999,49.439999,3470700,49.439999
"649",49.48,49.91,48.41,48.57,3272300,48.57
"650",48.299999,48.330002,47,47.450001,2341200,47.450001
"651",46.400002,46.560001,45.639999,46.049999,2309100,46.049999
"652",46.349998,46.939999,45.93,46.919998,2884600,46.919998
"653",46.450001,47.880001,46.150002,47.639999,4154700,47.639999
"654",47.349998,49.360001,46.810001,48.599998,4443800,48.599998
"655",49.380001,50.139999,49,49.66,3796700,49.66
"656",49.310001,49.830002,48.869999,49.830002,2655300,49.830002
"657",48.68,50.720001,48.419998,50.439999,3277100,50.439999
"658",49.720001,50.099998,48.779999,48.91,3365600,48.91
"659",49.060001,49.549999,48.84,49.110001,2027300,49.110001
"660",49.610001,50.639999,49.470001,50.48,1958900,50.48
"661",51.32,51.650002,51.02,51.349998,2113000,51.349998
"662",51.209999,51.400002,50.799999,50.98,1537300,50.98
"663",51.470001,51.470001,50.709999,50.900002,1241300,50.900002
"664",50.799999,50.990002,50.16,50.5,1687500,50.5
"665",50.360001,50.880001,49.57,49.720001,2823500,49.720001
"666",50.150002,50.34,49.310001,49.48,1495100,49.48
"667",49.860001,49.959999,49,49.09,2508000,49.09
"668",48.93,49.93,48.540001,49.57,1282500,49.57
"669",50,50.459999,49.919998,50.23,1088200,50.23
"670",50.52,50.880001,50.389999,50.75,2610400,50.75
"671",50.27,50.59,49.439999,50.580002,1890500,50.580002
"672",51,51.619999,50.759998,51.040001,1199400,51.040001
"673",51.529999,52.360001,51.490002,52.310001,1941900,52.310001
"674",52.389999,52.470001,51.799999,52.119999,1557900,52.119999
"675",52.439999,52.959999,52.439999,52.939999,2028600,52.939999
"676",53.02,54.689999,52.849998,54.669998,3031100,54.669998
"677",54.610001,55.18,53.970001,54.599998,1476300,54.599998
"678",54.869999,55.029999,53.599998,54.419998,1577000,54.419998
"679",54.830002,55.75,54.540001,54.68,1547400,54.68
"680",53.619999,54.529999,53.119999,53.34,2268100,53.34
"681",53,54.34,52.720001,53.959999,1687800,53.959999
"682",53.82,54.139999,53.330002,53.880001,1744200,53.880001
"683",54.209999,54.41,53.77,53.77,1391800,53.77
"684",54.060001,54.330002,53.240002,53.669998,1724000,53.669998
"685",53.360001,53.720001,52.799999,53.509998,1415900,53.509998
"686",53.73,54.41,52.950001,53.110001,1631800,53.110001
"687",52.84,53.369999,52.130001,53.299999,1293000,53.299999
"688",51.869999,52.009998,50.650002,51.259998,1664300,51.259998
"689",51.48,52.080002,50.5,51.02,1295900,51.02
"690",51.34,52.07,51.220001,51.77,1143600,51.77
"691",52,52.529999,50.419998,50.759998,1249000,50.759998
"692",50.470001,50.93,49.130001,49.139999,2122500,49.139999
"693",48.84,49.200001,47.830002,48.139999,3425100,48.139999
"694",48.119999,48.669998,47.740002,48.439999,2518500,48.439999
"695",48.439999,49.189999,48.060001,48.560001,1174700,48.560001
