"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"246",61.450001,61.799999,61.029999,61.5,6195600,54.441235
"247",61.48,61.709999,60.599998,60.959999,5477200,53.963211
"248",60.98,61.549999,60.959999,61.259998,3673500,54.228775
"249",61.349998,62.02,61.299999,61.68,3722300,54.600571
"250",61.599998,61.849998,61.369999,61.77,2500500,54.680241
"251",61.970001,62.259998,61.259998,61.279999,3953500,54.246487
"252",61.400002,61.509998,60.84,61.310001,6472700,54.273041
"253",61.209999,61.509998,60.700001,61.360001,7433500,54.317291
"254",61,61.82,60.779999,61.75,6403200,55.021229
"255",61.869999,62.18,61.48,61.889999,6113400,55.145962
"256",61.779999,62.200001,61.209999,61.91,4663700,55.16378
"257",61.869999,62.099998,61.549999,61.849998,5156800,55.110325
"258",61.52,62.07,61.18,62.009998,5096300,55.25288
"259",61.990002,62.52,61.799999,62.470001,6591100,55.662754
"260",62.75,63.220001,62.52,62.810001,5489200,55.96571
"261",61.75,61.860001,59.419998,59.919998,14471700,53.390621
"262",60.330002,62,60.279999,61.849998,10608500,55.110325
"263",61.810001,61.900002,61.099998,61.830002,7904200,55.092503
"264",62.099998,62.419998,61.560001,62.279999,7490300,55.493465
"265",62.290001,63.43,62.02,63.279999,6748100,56.384491
"266",62.990002,63.68,62.799999,63.43,6459900,56.51815
"267",63.709999,64,63.139999,63.759998,6430000,56.812187
"268",64,64.260002,63.200001,63.52,6183200,56.598343
"269",63.93,64.730003,63.630001,64.25,6727300,57.248795
"270",64.120003,64.959999,64.080002,64.43,6763300,57.409184
"271",63.93,64.610001,63.310001,63.959999,5848000,56.990387
"272",63.959999,64.029999,61.939999,62.599998,8886900,55.778587
"273",62.18,62.98,61.950001,62.799999,7133000,55.956799
"274",62.889999,64.290001,62.849998,63.48,11719200,56.562702
"275",65.43,65.889999,60.93,60.959999,23181900,54.317295
"276",59.830002,61.209999,58.439999,60.900002,18286300,54.263844
"277",60.639999,62.77,60.299999,62.630001,12176600,55.805328
"278",62.549999,64.769997,62.529999,62.689999,14961700,55.858788
"279",63.299999,63.32,60.57,62.700001,11158000,55.867691
"280",62.950001,63.59,62.299999,63.16,7502900,56.277569
"281",62.799999,64.110001,62.689999,63.869999,7519100,56.910198
"282",63.59,65.940002,63.27,65.349998,10290600,58.228931
"283",67.309998,69.440002,67.18,68.980003,15684900,61.463375
"284",68.860001,70.050003,68.519997,68.959999,10547400,61.445549
"285",68.489998,68.830002,67.040001,67.349998,8703700,60.010994
"286",67.339996,67.75,66.510002,66.529999,7046200,59.280346
"287",67,67,65.860001,65.940002,6528400,58.754646
