"","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"442",104.099998,106.129997,103.510002,104.970001,673100,102.827263
"443",104.790001,106.120003,104.330002,105.489998,658600,103.336639
"444",104.809998,105.300003,103.860001,104.300003,834600,102.170937
"445",104.199997,104.75,101.07,102.809998,534100,100.711349
"446",102.32,103.309998,101.730003,102.290001,1242100,100.201965
"447",101.610001,102.160004,99.279999,99.540001,1183800,97.50811
"448",98.839996,100.389999,96.769997,96.889999,1073300,94.912193
"449",97.959999,97.959999,93.879997,95.43,1175000,93.481995
"450",95.769997,97.620003,95.769997,96.980003,532500,95.000359
"451",98.220001,100.410004,97.18,100.330002,507900,98.281967
"452",99.510002,101.040001,99.269997,100.07,554300,98.02729
"453",99.790001,100.440002,97.650002,98.029999,538600,96.028938
"454",98.220001,98.800003,95.529999,95.790001,446600,93.834656
"455",96.610001,97.279999,95.550003,97.099998,719800,95.117897
"456",94.010002,95.860001,92.160004,95.07,907800,93.129341
"457",94.839996,96.080002,90.589996,91.150002,910400,89.289375
"458",91.510002,92.699997,89.830002,91.07,717900,89.210999
"459",90.339996,91.120003,87.949997,88.419998,1359400,86.615089
"460",89.779999,90.93,87.629997,90.07,1550800,88.231407
"461",86.400002,86.400002,81.389999,85.599998,5044700,83.852654
"462",85.900002,87.849998,81.389999,82.019997,2119300,80.345749
"463",81.980003,86,81.849998,84.900002,1354900,83.166939
"464",86,86.690002,82.839996,85.150002,1272800,83.411842
"465",85.050003,86.379997,83.410004,84.120003,953500,82.402878
"466",84,86.07,83.220001,84.650002,858700,82.92205
"467",85.25,87.25,84.220001,87.190002,875900,85.410179
"468",86.669998,87.529999,86.099998,87.489998,779200,85.704079
"469",86.07,87.379997,85.459999,87.050003,1097600,85.273064
"470",87.300003,87.300003,82.18,83.989998,826000,82.275528
"471",84.019997,85.839996,82.68,83.120003,752000,81.423286
"472",83.599998,84.760002,81.989998,82.870003,450300,81.178383
"473",81.889999,86.25,81.889999,86.050003,929600,84.41571
"474",86.230003,87.339996,84.809998,86.980003,673900,85.328041
"475",86.389999,87.68,85.269997,87.309998,916100,85.651779
"476",86.110001,86.300003,84.290001,84.910004,1230100,83.297356
"477",85.160004,86.699997,85.089996,86.059998,428700,84.425507
"478",84.860001,86.68,84.860001,85.709999,248600,84.082184
"479",86.489998,88.480003,86.440002,88.290001,653500,86.613159
"480",88.050003,88.779999,87.080002,88.18,562900,86.505249
"481",88.720001,92.129997,88.019997,91.790001,921000,90.0467
"482",91.110001,93.040001,91.110001,92.660004,1324000,90.900177
"483",92.25,95.019997,91.790001,94.599998,1185000,92.803337
"484",96.5,96.5,92.089996,92.889999,1271500,91.125786
"485",92.230003,92.230003,88.510002,88.980003,1229100,87.29007
"486",86.879997,88.370003,84.879997,88.330002,1308500,86.652412
"487",88.279999,89.07,84.150002,84.610001,998200,83.003052
"488",84.699997,85,81.43,82.410004,921400,80.844864
"489",84.080002,84.190002,79.839996,80.370003,1083100,78.843605
"490",81.699997,82.220001,78.860001,79.190002,1498900,77.686005
"491",79.879997,80.980003,74.949997,75.290001,1346000,73.860069
"492",74.379997,75.919998,72.910004,73.269997,1425300,71.878426
"493",73.269997,74.050003,71.290001,72.010002,1198800,70.642372
"494",72.580002,73.309998,70.540001,71.07,1354400,69.720215
"495",71.410004,73.269997,70.339996,71.050003,1927900,69.7006
"496",70.760002,71.599998,68.599998,69.540001,1181900,68.219276
"497",69.410004,70.449997,67.459999,68.080002,1742400,66.78701
"498",67.639999,68.029999,65.739998,66.279999,556900,65.021187
"499",66.669998,70.07,65.449997,69.970001,1037400,68.641106
"500",68.809998,70.260002,67.290001,70.160004,1215100,68.827484
"501",70.209999,70.68,67.760002,68.510002,1072200,67.208832
"502",68.769997,70.25,68.400002,70.25,841700,68.915787
"503",69.040001,71.699997,68.199997,70.860001,708500,69.514198
"504",70.199997,70.639999,67.970001,69.480003,952100,68.160408
"505",70.650002,73.449997,70.400002,71.25,1423600,69.89679
"506",71.440002,72.25,70.220001,70.57,1848700,69.229721
"507",71.199997,71.629997,69.620003,71,2228800,69.651543
"508",71.720001,74.129997,70.849998,72.300003,1205100,70.926857
"509",72.269997,73.449997,71.709999,73.110001,784600,71.721474
"510",72.68,73.639999,72.360001,73.489998,514500,72.094261
"511",72.82,73.860001,72.260002,72.540001,501600,71.162292
"512",72.660004,72.779999,70.529999,71.160004,746700,69.80851
"513",71.339996,72.639999,70.669998,71.949997,717500,70.583496
"514",71.410004,74.610001,71.410004,74.230003,908200,72.820198
"515",74.830002,76.349998,74.470001,75.650002,780400,74.213234
"516",74.389999,75.220001,71.449997,71.949997,1213100,70.583496
"517",72.239998,72.459999,70.050003,70.25,1364700,68.915787
"518",70.089996,71.639999,69.910004,71.029999,754200,69.680962
"519",72.209999,75.230003,65.769997,68.540001,6343900,67.238274
"520",67.260002,67.580002,65.089996,67.300003,3410000,66.021828
"521",67.529999,70.160004,67.489998,68.900002,1911300,67.591431
"522",69.589996,69.589996,67.919998,68.400002,1019100,67.100929
"523",68.470001,69.830002,67.82,69.160004,1024100,67.846504
"524",69.080002,70.099998,68.019997,70.029999,1413300,68.699966
"525",70.029999,71.290001,69.349998,71.220001,825900,69.867378
"526",71.459999,72.779999,71.419998,72.68,1014500,71.299637
"527",72.5,73.010002,72.089996,72.690002,747900,71.309433
"528",72.339996,73.300003,71.720001,73.279999,724700,72.007126
"529",72.760002,73.459999,71.599998,73.400002,991400,72.125023
"530",74.099998,74.300003,73.349998,73.860001,686500,72.577049
"531",74.449997,74.900002,70.419998,70.559998,1610300,69.334366
"532",70.830002,73.449997,70.830002,73.370003,1290200,72.095558
"533",73.169998,73.470001,71.690002,72.050003,1013500,70.798492
"534",72.300003,75,72.300003,74.919998,1029600,73.618622
"535",74.449997,75.739998,74.25,74.57,1043600,73.274712
"536",74.959999,75.739998,73.989998,75.080002,843900,73.775848
"537",74.82,75.309998,73.099998,73.580002,1271600,72.301895
"538",72.730003,74.120003,72.260002,73.360001,1805100,72.085739
"539",73.449997,80.459999,73.449997,78.059998,4839400,76.704079
"540",76.330002,77.57,73.199997,73.959999,27636600,72.675293
"541",73.470001,76.209999,72.230003,75.300003,5232900,73.992035
"542",75.25,75.25,71.190002,73.260002,4279700,71.987465
"543",72.760002,74.110001,71.160004,72.419998,3778800,71.162064
"544",72,73.980003,72,73.639999,2354500,72.360863
"545",73.040001,73.449997,72.260002,73.050003,2548000,71.781113
"546",72.519997,72.660004,68.610001,69.010002,3602000,67.81131
"547",68.790001,69.739998,68.089996,69.730003,2003800,68.518776
"548",68.900002,70.269997,68.370003,70.120003,2321300,68.902008
"549",69.699997,71.339996,69.550003,71.110001,1972700,69.874809
"550",71.099998,72.330002,70.760002,71.790001,1935600,70.542999
"551",71.790001,72.68,71.599998,72.470001,2533800,71.211189
"552",72.150002,72.709999,72,72.260002,1803800,71.004852
"553",72.040001,72.809998,71,71.120003,2060200,69.884636
