"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"34",142.990005,143.380005,141.809998,142.600006,3571500,142.600006
"35",142.919998,144,142.169998,143.860001,3482000,143.860001
"36",144.449997,144.490005,141.520004,142.779999,4668000,142.779999
"37",141.880005,143.559998,141.550003,143.25,3302700,143.25
"38",143.119995,143.919998,142.380005,143.410004,3907400,143.410004
"39",143.300003,143.570007,141.850006,142.130005,3862200,142.130005
"40",142.839996,143.259995,142.100006,142.649994,4170600,142.649994
"41",142.149994,142.699997,139.089996,139.529999,6119900,139.529999
"42",139.690002,140.910004,138.259995,139.139999,5399800,139.139999
"43",141,142.839996,140.539993,141.940002,7116100,141.940002
"44",141.990005,142.399994,140.380005,141.429993,4241000,141.429993
"45",141.470001,142.059998,139.770004,140.320007,4085500,140.320007
"46",140.039993,141.240005,139.740005,140.529999,2652700,140.529999
"47",141.389999,141.800003,140.279999,140.889999,3318500,140.889999
"48",140.899994,143.710007,140.320007,143.520004,4922400,143.520004
"49",142.949997,143.309998,141.699997,143.190002,4660300,143.190002
"50",144.199997,145.520004,143.229996,145.25,5987200,145.25
"51",145.5,146.5,144.220001,144.389999,5286500,144.389999
"52",144.050003,145.759995,143.399994,145.110001,6281300,145.110001
"53",145.449997,146.25,144.580002,145.830002,3421000,145.830002
"54",146.75,147.699997,142.100006,142.419998,7669800,142.419998
"55",142.539993,143.800003,140.759995,142.649994,6486900,142.649994
"56",142.139999,142.889999,141.259995,141.839996,3712600,141.839996
"57",142.360001,142.800003,141.580002,142.020004,3546600,142.020004
"58",140.830002,144.389999,140,144.059998,4771700,144.059998
"59",144.100006,146.110001,143.919998,145.169998,4638000,145.169998
"60",145.5,147.179993,144.910004,146.470001,3855000,146.470001
"61",146.809998,148.289993,146.529999,148.059998,4461100,148.059998
"62",148,148.229996,147.330002,147.809998,3888200,147.809998
"63",146.699997,148.009995,145.740005,146.919998,4609300,146.919998
"64",146.839996,147.089996,144.889999,145.5,4368900,145.5
"65",146.190002,146.25,143.259995,143.619995,4607600,143.619995
"66",144,144.139999,143.009995,143.740005,3312400,143.740005
"67",143.789993,143.889999,142.710007,143.110001,3040500,143.110001
"68",143.039993,144.649994,141.210007,143.850006,5807400,143.850006
"69",144.279999,144.539993,141.979996,144.350006,4621500,144.350006
"70",144.850006,145.740005,143.550003,143.830002,4387000,143.830002
"71",144.25,144.550003,142.759995,142.919998,3685800,142.919998
"72",144.429993,147.320007,144.429993,147.25,16364700,147.25
"73",147.339996,147.399994,140,143.360001,19671000,143.360001
"74",143.369995,144,138.660004,139.759995,12395100,139.759995
"75",140.300003,141.800003,139.270004,141.179993,7248200,141.179993
"76",141.389999,143.029999,140.899994,142.869995,6824800,142.869995
"77",143.610001,144.5,143.399994,143.830002,4800900,143.830002
"78",147.460007,153.520004,146.220001,152.160004,20674200,152.160004
"79",151.529999,152.149994,148.899994,150.169998,9274100,150.169998
"80",150.600006,153.490005,149.300003,153.080002,7719400,153.080002
"81",152.710007,152.970001,150.940002,152.199997,6366200,152.199997
"82",151.910004,157.699997,151.610001,155.350006,9031600,155.350006
"83",155.759995,156.5,154.610001,156.449997,5384800,156.449997
"84",156.289993,156.539993,154.880005,155.589996,3931200,155.589996
"85",155.589996,157.899994,154.550003,157.25,5582300,157.25
"86",158.550003,158.589996,155.899994,156.600006,5341700,156.600006
"87",156.550003,157.639999,155.300003,156.380005,4818800,156.380005
"88",156.100006,157.850006,155.970001,157.460007,3911000,157.460007
"89",157.820007,161.100006,156.559998,160.279999,6869900,160.279999
"90",160.330002,160.520004,157.550003,158.539993,5677400,158.539993
"91",159.110001,160.839996,158.509995,160.809998,5092900,160.809998
"92",160.25,161.779999,159.759995,160.020004,4972000,160.020004
"93",160.5,161.179993,159.330002,159.410004,3464900,159.410004
"94",158.089996,158.779999,153,153.199997,8184500,153.199997
"95",153.610001,156.889999,153.240005,155.699997,6802700,155.699997
"96",156.149994,158.050003,155.910004,157.020004,4091500,157.020004
"97",157.860001,158.600006,156.429993,157.160004,3744100,157.160004
"98",157.75,158.309998,156.800003,157.949997,3370900,157.949997
"99",158.350006,158.479996,157.169998,157.75,2970800,157.75
"100",161,164.100006,160.550003,163.050003,8561000,163.050003
"101",162.839996,163.050003,161.119995,162.429993,4834300,162.429993
"102",163.600006,164.75,162.710007,163.220001,4828600,163.220001
"103",163.610001,164,160.740005,163.070007,5328900,163.070007
"104",163.520004,163.929993,161.699997,162.990005,3896300,162.990005
"105",163.419998,165.360001,162.800003,165.179993,4259100,165.179993
"106",165.490005,165.5,163.429993,165.059998,3875200,165.059998
"107",164.949997,166.820007,164.509995,165.169998,4382100,165.169998
"108",165.600006,166.399994,164.410004,165.610001,3353100,165.610001
"109",166.119995,166.869995,164.839996,165.880005,3719100,165.880005
"110",166.270004,166.270004,154.5,158.029999,10292000,158.029999
"111",155.300003,155.529999,148.309998,151.440002,14114500,151.440002
"112",154.380005,155.679993,150.130005,152.720001,8484700,152.720001
"113",154.339996,155.619995,150.279999,152.199997,6461800,152.199997
"114",149.440002,152.559998,147.300003,151.759995,7319700,151.759995
"115",151.449997,153.529999,150.389999,152.380005,6909700,152.380005
"116",154.289993,155.580002,152.410004,153.399994,6544300,153.399994
"117",153.679993,154.5,151.399994,152.050003,4878700,152.050003
"118",152.5,155.380005,152.259995,155.029999,5803400,155.029999
"119",155.130005,155.199997,153.699997,154.889999,3769200,154.889999
"120",155.009995,158.190002,153.759995,158.020004,6250800,158.020004
"121",158.779999,159.970001,156.559998,157.5,6016000,157.5
"122",156.619995,156.979996,150.720001,151.029999,7424300,151.029999
"123",151.639999,154.199997,150.119995,153.410004,5589900,153.410004
"124",152.820007,152.820007,148,150.089996,7142500,150.089996
"125",149.759995,150.710007,148.419998,149.410004,5213300,149.410004
"126",149.800003,150.449997,145.800003,146.169998,3908200,146.169998
"127",146.580002,148.259995,145.580002,147.610001,4627800,147.610001
"128",146.130005,147.270004,144.25,146.25,5486500,146.25
"129",146.649994,150.75,146.649994,150.179993,5561300,150.179993
"130",150.339996,153.229996,149.649994,152.669998,5360600,152.669998
