"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"271",123.846153,125.153847,122.692307,122.692307,8873046,117.965942
"272",123.53846,125.153847,123,124.384613,9979996,119.593063
"273",123.53846,123.92308,122.46154,123.230766,6867120,118.483688
"274",122.230766,122.53846,120,120.307693,10698324,115.673195
"275",119.07692,120.230766,114.692307,114.692307,16021408,110.274094
"276",114,118,113.153847,117.46154,16486587,112.936684
"277",117.769234,119.384613,117.307693,117.307693,9880936,112.788765
"278",116.846153,117,111.153847,111.153847,18022693,106.871964
"279",113,115.615387,109.46154,114.92308,16777254,110.49601
"280",115.846153,116.46154,113.692307,114,9825712,109.608482
"281",113.384613,113.769234,111.769234,112.846153,9581039,108.499092
"282",113,115.615387,112.615387,114.615387,11168560,110.200165
"283",114.846153,116.46154,113.615387,114.230766,7135050,109.830383
"284",114.230766,117.153847,113.92308,115.769234,8414224,111.309563
"285",114.769234,115.153847,112.46154,113.384613,8016541,109.016808
"286",113.153847,113.307693,111.153847,111.46154,12754495,107.167824
"287",111.769234,115.92308,111.46154,112.46154,10204636,108.129295
"288",111.769234,112.846153,111.46154,111.46154,6878638,108.05471
"289",110.692307,112.92308,107.307693,112.692307,18878678,109.247864
"290",112.846153,116.769234,111.53846,111.53846,12093120,108.12928
"291",112.307693,112.46154,108.384613,108.53846,11519833,105.220978
"292",108.92308,109.692307,107.307693,107.846153,11943841,104.549835
"293",107.615387,109.53846,107.46154,108.615387,9701848,105.295555
"294",109.07692,112.692307,108.615387,110.92308,11368435,107.532715
"295",112.307693,112.846153,111.615387,112.615387,7553897,109.173309
"296",111.384613,112.230766,109.07692,111.615387,10789896,108.203865
"297",111.53846,112.615387,110.846153,111.692307,6447376,108.278419
"298",112.46154,115,111.615387,114.92308,8340306,111.410454
"299",115.53846,117.92308,115.07692,116.153847,9129458,112.603615
"300",113,113.384613,110.307693,111,15433392,107.607285
"301",111.230766,112.230766,109.53846,109.769234,7418697,106.414139
"302",110.07692,111.92308,109.692307,110.46154,6165237,107.085297
"303",110.307693,110.92308,109.07692,110.07692,14883570,106.712425
"304",109.692307,109.846153,107.692307,108.230766,8603946,104.922699
"305",108.46154,108.53846,104.769234,104.92308,11559795,101.716118
"306",105.07692,107.384613,104.384613,106.769234,8468538,103.505836
"307",105.769234,106.07692,102.46154,102.692307,9259588,99.553513
"308",103.07692,103.46154,100.153847,100.53846,10925499,97.465508
"309",101.769234,101.846153,97.92308,99.153847,13706641,96.123207
"310",99.384613,105.53846,98.615387,103.384613,20145918,100.224655
"311",104,107.307693,100.692307,105.230766,18083611,102.014381
"312",104.46154,105.07692,102.692307,103.692307,9686859,100.522949
"313",103.46154,104.153847,99.692307,100.92308,9371310,97.838364
"314",100.92308,101.07692,98.46154,101,7772063,97.912918
"315",98.615387,102.307693,98.384613,102.153847,7432412,99.031509
"316",102.230766,104.307693,101.307693,103.307693,6958406,100.150101
"317",102.46154,103.615387,99.46154,100.46154,8250567,97.390923
"318",100.769234,101.230766,98.615387,98.692307,8883238,95.675766
"319",100.07692,101.07692,99.615387,100.384613,7465601,97.316353
"320",99.307693,100.615387,98.846153,99.769234,6528600,96.719788
"321",100.230766,101.92308,99.769234,101.384613,8272056,98.285789
"322",103.153847,105.230766,102.769234,103.769234,9251905,100.597519
"323",103.846153,104.46154,101.769234,102.53846,7576270,99.404366
"324",102.92308,106.692307,102.769234,106.07692,9376783,102.834686
"325",106.769234,107.07692,104.769234,105.07692,5587855,101.86525
"326",105.153847,108.153847,104.846153,107.615387,11411699,104.326126
"327",114.92308,115.769234,110.307693,111.846153,24529180,108.427574
"328",113.46154,113.692307,110.692307,111.692307,9531184,108.278419
"329",112.769234,113.615387,111.846153,112.92308,9654021,109.471581
"330",113.230766,113.307693,107,108.07692,14464034,104.773537
"331",108.53846,111.53846,108.153847,110.615387,8431566,107.234436
"332",109.384613,111.384613,109.153847,110.615387,6347588,107.234436
"333",110.53846,110.692307,108.230766,108.230766,6309524,104.922699
"334",108.307693,108.384613,106.384613,108.07692,6678425,104.773537
"335",108.46154,110.615387,108.307693,109.07692,6718140,105.742981
"336",109.153847,109.153847,106.53846,107.153847,7890610,103.8787
"337",106.692307,108.692307,105.92308,108.46154,5448170,105.146416
"338",108.384613,109.07692,107.692307,108.230766,4272905,104.922699
"339",109.07692,111.46154,108.384613,109.769234,7713693,106.414139
"340",110.384613,112.92308,110,112.46154,6612827,109.024155
"341",113.53846,113.53846,111.53846,113,4872517,109.546165
"342",113.384613,113.615387,111.692307,112.307693,3719443,108.875
"343",113.07692,113.846153,112.615387,113.153847,5334290,109.69532
"344",113.07692,113.230766,112.07692,113.153847,4583631,109.69532
"345",113.153847,116.153847,113,115.615387,7101042,112.081604
