"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"70",227.649994,228.25,225.229996,225.75,2947500,208.407425
"71",225.179993,228.169998,223.080002,223.320007,3653700,206.164093
"72",223.899994,226.880005,223.020004,226.259995,4190900,208.878296
"73",219.320007,219.889999,213.179993,215.589996,12464000,199.027924
"74",215.869995,217.179993,213.610001,214.089996,6428800,197.643173
"75",215.5,218.979996,215,218.059998,5168200,201.308212
"76",218.550003,219.179993,216.380005,216.860001,3845700,200.200363
"77",221.179993,224.809998,220.300003,223.220001,5353500,206.071808
"78",226.199997,227.979996,225.149994,226.630005,3996900,209.219803
"79",227.100006,229.360001,226.089996,226.199997,3765300,208.822845
"80",226.699997,226.699997,223.520004,225.809998,2805800,208.462814
"81",225.309998,226.770004,223.720001,223.800003,2936600,206.607239
"82",224.899994,226.389999,220.929993,224.850006,3004800,207.576569
"83",224.860001,225.839996,223.179993,225.119995,2602400,207.825821
"84",224.449997,226.690002,224.320007,226.309998,3042200,208.924393
"85",228.259995,228.889999,224.809998,226.589996,2935400,209.182877
"86",226.880005,227.470001,225.300003,226.869995,2435800,209.441345
"87",226.75,227.339996,224.600006,225.029999,2316800,207.742752
"88",225.470001,226.570007,222.929993,223.759995,2145400,206.570297
"89",223.460007,225.350006,223.059998,224.880005,2630400,207.604248
"90",224.350006,225.089996,222.149994,224.759995,2440300,207.493484
"91",223.490005,224.490005,222.479996,222.820007,2166100,205.70256
"92",223.130005,226.570007,222.850006,225.119995,2468100,207.825821
"93",225.440002,226.820007,224.410004,225.600006,1710700,208.268936
"94",225.600006,225.600006,213.119995,213.720001,7525700,197.301605
"95",214,217.610001,213.860001,215.160004,4792400,198.630997
"96",214.869995,217.800003,214,215.389999,3747100,198.843307
"97",217.369995,217.639999,215.399994,216.020004,2506100,199.424927
"98",215.970001,220.789993,214.660004,219.639999,3308800,202.766785
"99",220,224.399994,219.449997,223.830002,4141600,206.634918
"100",224.410004,225.449997,222.300003,222.470001,2640000,205.37941
"101",222.009995,224.229996,221.179993,223.529999,1787100,206.357941
"102",221.830002,222.440002,218.009995,218.419998,3097800,202.319351
"103",218.240005,218.300003,209.619995,211.259995,8312000,195.687164
"104",212.610001,215.929993,210.789993,215.009995,4057900,199.160721
"105",212.940002,215.210007,211.910004,213.309998,3692000,197.586044
"106",213.080002,215.809998,212.679993,213.990005,2696600,198.215942
"107",212.509995,216.020004,212.479996,214.529999,2891300,198.716095
"108",215.369995,217.229996,214.309998,215.779999,2679400,199.873962
"109",215.779999,221,214.630005,218.759995,3765600,202.634323
"110",220.830002,223.850006,219.75,222.440002,4455400,206.04306
"111",223.630005,225.229996,221.910004,221.910004,3388200,205.552094
"112",223.350006,226.800003,222.770004,224.199997,2767800,207.673294
"113",222.990005,226.940002,221.759995,226.509995,3652900,209.813019
"114",224.809998,226.350006,222.800003,223.229996,3378900,206.774796
"115",222.649994,223.669998,221.130005,221.809998,3758300,205.459473
"116",223.429993,227.039993,223.110001,226.130005,2900900,209.461044
"117",225.509995,226.539993,224.190002,225.100006,2264200,208.506958
"118",224.539993,224.929993,221.929993,222.490005,3015300,206.089355
"119",221.440002,221.899994,219.289993,219.770004,3344600,203.56987
"120",220.5,220.690002,216.460007,217.190002,4448700,201.180008
"121",218.259995,221.970001,217.699997,220.440002,2589500,204.19043
"122",221.839996,222.410004,219.559998,220.279999,2899400,204.042282
"123",221.869995,224.630005,220.75,223.220001,3482800,206.765549
"124",228.369995,228.789993,223.029999,224.410004,5063400,207.867813
"125",225.309998,226.050003,221.539993,221.899994,3154300,205.542816
"126",224.460007,229.070007,223.419998,227.279999,2846600,210.526291
"127",228.380005,228.919998,225.210007,228.039993,2772000,211.230194
"128",227.970001,230.059998,225.25,226.690002,3076600,209.979736
"129",228.229996,228.490005,224.419998,225.279999,2697600,208.673676
"130",224.270004,227.339996,223.960007,225.839996,2357500,209.192398
"131",226.039993,227.949997,224.669998,226.949997,2742900,210.220596
"132",226.399994,229.020004,226.070007,227.389999,2567300,210.628128
"133",227.389999,230.639999,226.949997,230.399994,2852600,213.41626
"134",227.220001,229.610001,225.100006,228.600006,3703600,211.748993
"135",228.729996,229.639999,227.210007,229.259995,2551800,212.360321
"136",227.5,230.360001,222.759995,223.309998,6400700,206.848877
"137",222.910004,224.199997,221.669998,222.869995,4884600,206.441315
"138",223,224.759995,221.610001,222.300003,3497800,205.913361
"139",221.889999,222.309998,219.089996,220.179993,3446600,203.949615
"140",218.940002,219.729996,218,218.179993,3123100,202.097015
"141",220.339996,222.869995,220.179993,221.580002,3509500,205.246429
"142",222.449997,223.740005,221.869995,222.25,2792500,205.867081
"143",221.839996,222.710007,220.429993,221.479996,2812500,205.153763
"144",221.770004,223.669998,220.860001,223.610001,2483200,207.12677
"145",223.949997,225.5,223.050003,225.330002,1994900,208.720001
"146",227.089996,228.619995,226.729996,227,2986800,210.266891
"147",226.399994,227.729996,225.570007,226.270004,1863300,209.590729
"148",226,226.740005,223.970001,223.990005,2106400,207.478775
"149",226.050003,229.789993,225.059998,229.789993,3400300,212.851257
"150",229.800003,233.130005,229.289993,232.919998,3809800,215.750504
"151",232.399994,235.830002,231.699997,232.050003,3322500,214.944641
"152",230.320007,231.490005,229.059998,231.009995,2571100,213.981277
"153",229.020004,229.449997,225.470001,225.5,3325500,208.877502
"154",225.070007,226.679993,222.649994,224.149994,2956600,207.626968
"155",226.369995,229.830002,226.300003,227.360001,2266100,210.600357
"156",229.570007,230.610001,227.5,227.589996,1867000,210.8134
"157",228.259995,229.009995,225,225.610001,2393900,208.97937
"158",224.380005,225.979996,221.110001,221.419998,3460300,205.098221
"159",220.789993,224.089996,220.550003,222.149994,3149300,205.774384
"160",222.399994,222.399994,219.210007,220.789993,2203300,204.514664
"161",221.860001,223.779999,221.330002,223.580002,2021300,207.098999
"162",221.899994,224.809998,221.330002,222.740005,2568000,206.320953
"163",223.770004,224.570007,222.589996,222.990005,2263000,206.552505
"164",223.639999,224.949997,222.130005,222.470001,2232500,206.070801
"165",222.910004,223.089996,218.860001,220.350006,2641600,204.107132
"166",217.270004,220.130005,215.75,219.960007,2369100,204.441696
"167",220.25,224.220001,220.089996,222.419998,2411400,206.728104
"168",223.25,224.490005,222.580002,223.740005,2240600,207.955032
"169",224.550003,227.559998,223.529999,225.880005,2346900,209.944016
"170",223.850006,224,217.300003,217.779999,5646200,202.415482
"171",218.979996,221.020004,217.610001,218.830002,3613600,203.391434
"172",218.729996,218.809998,214.639999,215.839996,3594600,200.612396
"173",215.509995,219.279999,215.399994,217.210007,3120900,201.885727
"174",220.070007,221.889999,218.990005,221.059998,2971500,205.464081
"175",222.539993,227.690002,222.020004,225.949997,3745800,210.00914
"176",225.25,227.139999,224.720001,226.559998,2383500,210.576096
"177",226.100006,228.100006,226.050003,226.850006,1986600,210.845612
"178",227.149994,227.210007,223.820007,225.220001,4365800,209.330582
"179",226.300003,229,225.660004,227.529999,2466800,211.477631
"180",228.009995,230.139999,227.330002,228.910004,1858000,212.760284
"181",229.5,231.649994,228.5,229.789993,2682300,213.578171
"182",229.889999,232.100006,229.399994,231.289993,1800800,214.972351
"183",230.639999,231.490005,228.880005,231.029999,1861800,214.730682
"184",230.770004,231.860001,228.360001,230.259995,2261800,214.01503
"185",230.860001,231.440002,229.029999,229.940002,1770000,213.717621
"186",234.070007,235.600006,232.910004,234.759995,3072100,218.19754
"187",235,236.199997,233.5,235.470001,2121800,218.857483
"188",235.009995,237.600006,234.570007,237.190002,1902300,220.4561
"189",237.199997,241.100006,237.100006,240.649994,2501300,223.671997
"190",241.070007,242.710007,239.690002,241.619995,2010800,224.573547
"191",241.619995,242.880005,240.119995,240.309998,1840400,223.355988
"192",241,246.320007,240.119995,246.059998,3521300,228.700317
"193",246.300003,247.080002,244.610001,246.020004,2396100,228.663147
"194",245.149994,246.350006,242.020004,242.800003,2165200,225.670319
"195",242.800003,243.729996,241.699997,242.600006,2187100,225.484467
"196",242,243.199997,241.350006,242.399994,2175700,225.298508
"197",242.330002,243.419998,238.75,239.800003,2148200,222.881958
"198",239,239.449997,236.839996,238.529999,2491000,221.701584
"199",238.600006,242.759995,238.350006,242.410004,2969200,225.307846
"200",244.440002,244.889999,235.190002,236.089996,7088400,219.433731
"201",236.869995,242.649994,236.869995,242.029999,4235900,224.95462
"202",240.350006,240.990005,238.100006,239.990005,2710900,223.058563
"203",242.949997,245.25,240.669998,244.729996,3022800,227.464172
"204",244.389999,245.330002,241.380005,242.130005,1963300,225.047607
"205",243.600006,246.25,243,244.839996,2285300,227.566376
"206",246.160004,246.5,240.800003,241.710007,2904300,224.657211
"207",242.610001,244,241.529999,241.720001,1948800,224.666504
"208",240.850006,242.440002,239.669998,241.710007,2111500,224.657211
"209",240.100006,242.589996,239.529999,240.889999,1764400,223.89505
"210",240.679993,244.179993,240.630005,242.479996,2658700,225.37291
"211",243.889999,247.399994,242.910004,244.259995,2969600,227.027298
"212",244.690002,247.740005,243.380005,246.880005,2509100,229.462509
"213",245.369995,246.279999,243.190002,244.399994,1954600,227.157455
"214",243.5,244.580002,241.669998,243.490005,1744800,226.31163
"215",243.910004,244.979996,238.839996,239.809998,2483900,222.891251
"216",239.199997,242.320007,237.550003,241.25,2349800,224.22966
"217",239.509995,242.369995,237.839996,240.789993,2122400,223.802124
"218",241.690002,243.320007,240,240.149994,1845600,223.207291
"219",237.970001,240.899994,237.160004,240.270004,1953900,223.318817
"220",239.649994,240.880005,235.630005,237.240005,3000200,220.502594
"221",234.970001,238.149994,233.550003,237.610001,2564100,220.846512
"222",238.380005,240.690002,238.199997,239.369995,2304300,222.4823
