"","CBOE.Open","CBOE.High","CBOE.Low","CBOE.Close","CBOE.Volume","CBOE.Adjusted"
"995",86.449997,88.989998,85.720001,88.25,872000,88.25
"996",88.809998,91.129997,88.300003,90.779999,870000,90.779999
"997",91.360001,91.849998,90.019997,90.43,536900,90.43
"998",90.730003,92.110001,89.150002,89.540001,872700,89.540001
"999",89.889999,91.160004,88.720001,90.779999,1957400,90.779999
"1000",90.160004,90.620003,89.080002,90.260002,654200,90.260002
"1001",90.370003,91.110001,89.959999,90.709999,535000,90.709999
"1002",91.279999,91.809998,91.059998,91.099998,500500,91.099998
"1003",90.949997,92.110001,90.919998,92.050003,201100,92.050003
"1004",92.169998,93.75,92.07,93.300003,460100,93.300003
"1005",93.709999,93.949997,91.169998,91.660004,515900,91.660004
"1006",91.970001,92.900002,91.660004,92.620003,417000,92.620003
"1007",92.080002,93.129997,91.040001,93.120003,547600,93.120003
