"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"80",61.189999,61.189999,60.139999,60.209999,2651500,56.949635
"81",60.209999,60.66,60.029999,60.200001,2961100,56.940189
"82",60.5,60.73,60.220001,60.400002,3246600,57.12936
"83",60.619999,60.759998,60.200001,60.619999,3602500,57.337444
"84",59.970001,61.02,59.759998,60.330002,3891400,57.063156
"85",60.57,61,60.259998,60.869999,3288400,57.573902
"86",60.98,61,60.279999,60.459999,2152800,57.186108
"87",60.400002,60.639999,58.900002,59.09,2502400,55.890289
"88",59.23,59.23,58.799999,58.91,3735500,55.720039
"89",58.900002,59.040001,58.419998,59,2443300,55.805172
"90",58.900002,59.18,58.189999,59.07,2929100,55.87138
"91",58.810001,59.189999,58.740002,58.790001,1665500,55.606533
"92",58.759998,59.439999,58.759998,59.290001,2145000,56.07946
"93",59.389999,59.389999,58.959999,59,1875000,55.805172
"94",59,59,58.02,58.07,2593400,54.925526
"95",58.169998,58.82,57.91,58.59,2259000,55.417366
"96",58.740002,59.630001,58.459999,59.32,3018800,56.107838
"97",59.599998,59.709999,59.220001,59.459999,1880800,56.24025
"98",59.380001,60.07,59.240002,59.869999,1635800,56.628059
"99",60.040001,60.119999,59.630001,59.939999,1451200,56.694263
"100",60.209999,60.700001,59.959999,60.439999,1518500,57.167191
"101",60.369999,60.75,60.279999,60.349998,1346200,57.082069
"102",60.119999,60.439999,60.060001,60.16,1981300,56.902351
"103",60.860001,60.860001,59.91,60.189999,2710500,56.930733
"104",60.650002,60.669998,60.110001,60.34,2777900,57.072613
"105",60.299999,60.59,60.220001,60.32,2609700,57.053688
"106",60.380001,61.970001,60.27,61.700001,3963900,58.358963
"107",61.369999,61.790001,61.259998,61.549999,3409300,58.217083
"108",61.549999,63.73,61.540001,63.619999,4773900,60.174995
"109",63.619999,64.169998,63.419998,63.790001,3746100,60.335796
"110",63.830002,64.57,63.560001,63.970001,4046800,60.506054
"111",63.900002,64.480003,63.66,64.43,3243200,60.941135
"112",64.449997,64.790001,64.32,64.459999,2326900,60.969509
"113",64,64.75,63.939999,64.669998,2054900,61.358517
"114",64.489998,64.739998,64.160004,64.610001,1680500,61.301582
"115",64.629997,64.739998,64.389999,64.57,2301400,61.263634
"116",64.739998,65,64.57,64.769997,2575100,61.453392
"117",64.5,64.879997,64.459999,64.519997,1751100,61.21619
"118",64.43,64.5,63.93,64.290001,2323900,60.997978
"119",64.129997,64.5,63.900002,64.150002,2360700,60.865143
"120",64.470001,64.489998,64.099998,64.279999,2372700,60.988487
"121",64.330002,64.529999,64.209999,64.349998,1602700,61.054909
"122",64.809998,65.709999,64.370003,65.379997,3946200,62.03215
"123",65.82,66.269997,65.400002,66.139999,3729500,62.753239
"124",66.639999,66.730003,65.639999,65.839996,2860400,62.468609
"125",65.910004,66.25,65.709999,65.919998,2373400,62.54451
"126",66.07,66.900002,65.949997,66.68,1906800,63.265583
"127",66.660004,66.889999,65.970001,66.18,2689100,62.791199
"128",66.169998,66.690002,65.839996,65.970001,2717500,62.591938
"129",66.129997,66.459999,65.669998,65.919998,2591900,62.54451
"130",65.910004,66.029999,65.5,65.5,3111500,62.146015
"131",65.57,66.099998,65.239998,65.419998,3013800,62.070114
"132",65.440002,65.870003,65.190002,65.870003,2661900,62.497063
"133",66.620003,67.330002,66.120003,66.879997,3162800,63.455345
"134",66.360001,66.360001,65.470001,65.550003,2851600,62.193459
"135",65.610001,66.419998,65.410004,65.82,2122100,62.449619
"136",65.599998,65.839996,65.330002,65.720001,2012800,62.354744
"137",65.949997,66.010002,65.440002,65.720001,2031600,62.354744
"138",65.660004,65.980003,65.559998,65.839996,1975800,62.468609
"139",65.82,66.760002,65.82,66.580002,2283600,63.170712
"140",66.480003,67.290001,66.309998,66.75,3596400,63.332008
"141",67.260002,67.480003,66.370003,66.379997,1757000,62.980949
"142",66.330002,66.940002,66.220001,66.339996,1639100,62.943008
"143",66.290001,66.529999,65.669998,66.129997,1658700,62.74374
"144",66.199997,66.550003,65.809998,66.370003,1177500,62.971466
"145",66.279999,66.910004,66.120003,66.709999,2077300,63.294056
"146",66.790001,67.290001,66.550003,67.279999,2238700,63.834866
"147",67.279999,67.309998,66.739998,67.019997,1784000,63.588177
"148",64,65.949997,63.220001,65.150002,4085100,61.813942
"149",65.550003,65.639999,64.449997,64.82,2764000,61.500839
"150",65.089996,65.169998,64.360001,64.370003,2334700,61.073875
"151",64.209999,64.699997,64.010002,64.550003,2302000,61.244659
"152",64.279999,65.75,64.279999,65.730003,1723000,62.364243
"153",65.32,65.760002,65.050003,65.160004,2750700,61.823429
"154",65.360001,65.43,64.870003,65.010002,2067800,61.681114
"155",65.870003,65.870003,65.209999,65.389999,1244500,62.041649
"156",65.660004,66.239998,65.599998,65.860001,1542900,62.487579
"157",65.970001,66.43,65.889999,66.059998,1630600,62.677326
"158",66.089996,66.32,65.150002,65.150002,1678200,61.813942
"159",64.980003,65.080002,64.57,64.589996,1852300,61.2826
"160",64.589996,64.769997,64.07,64.550003,1616700,61.244659
"161",64.739998,65.709999,64.480003,65.5,1606700,62.146015
"162",65.349998,65.610001,64.989998,65.019997,1282600,61.690594
"163",65.599998,65.669998,64.449997,64.699997,1515200,61.386974
"164",64.980003,65.720001,64.800003,65.410004,1803300,62.060635
"165",65.529999,65.709999,65.120003,65.300003,1274600,61.956257
"166",64.980003,65,64.440002,64.82,1252000,61.500839
"167",64.790001,65.199997,64.639999,64.830002,1473500,61.510323
"168",64.989998,65,64.540001,64.669998,1748100,61.358517
"169",64.839996,65.360001,64.610001,65.099998,1407800,61.766499
"170",65.050003,65.07,64.449997,64.949997,2818800,61.62418
