"","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"245",112.760002,117.779999,111.959999,117.239998,2130700,109.68058
"246",118.010002,123.550003,117.25,123.099998,2644100,115.162743
"247",123.480003,125.5,123.129997,124.370003,1517500,116.350876
"248",125.029999,127.449997,124.419998,125.970001,1490500,117.847694
"249",126.150002,126.339996,123.139999,123.190002,1348300,115.246948
"250",124.379997,126.019997,123.349998,125.519997,1090300,117.426704
"251",126.32,127.32,124.230003,126.25,842500,118.109634
"252",125,128.279999,124.769997,127.879997,1548100,119.634537
"253",127.699997,129.740005,127.480003,129.169998,1609900,120.84137
"254",129.119995,130.399994,127.470001,130.130005,978500,121.739471
"255",129.710007,130.889999,128.520004,129.979996,873300,121.599144
"256",130.100006,131.199997,129.389999,130.990005,1428100,122.544022
"257",131.350006,132.070007,127.32,127.489998,1290800,119.269684
"258",127.779999,128.679993,126.440002,127.290001,1487700,119.082573
"259",127.309998,131.860001,126.550003,129.899994,1493300,121.524284
"260",130.279999,131.380005,129.649994,130.139999,1030900,121.74881
"261",130.479996,130.869995,127.860001,128.020004,1002100,119.765533
"262",128.100006,128.800003,126.68,127.440002,1425400,119.222908
"263",127.550003,128.339996,126.18,127.230003,1040000,119.026474
"264",126.529999,128.020004,125.970001,127.57,585100,119.344536
"265",128.169998,132.309998,128,132.210007,918100,123.685356
"266",132.570007,133.899994,130.669998,132.309998,1152400,123.778908
"267",132.940002,134.520004,130.229996,130.360001,1542400,121.954628
"268",131.350006,131.509995,126.769997,126.849998,1311100,118.670952
"269",127.790001,130.199997,126.849998,130.089996,664400,121.702049
"270",130.300003,131.429993,128.639999,129.050003,962000,120.729111
"271",127.980003,127.980003,124.599998,126.269997,1514800,118.128357
"272",126.339996,127.239998,125.160004,125.5,1247700,117.408012
"273",125.57,127.690002,125.160004,126.639999,969000,118.474487
"274",125.720001,126,122.220001,122.459999,1554800,114.564011
"275",120.489998,124.949997,118.830002,120.269997,1807200,112.515221
"276",118.720001,124.440002,118.169998,121.900002,1695700,114.040131
"277",121.910004,123.019997,118.470001,118.5,1224800,110.85936
"278",118.550003,119.459999,111.220001,111.330002,2817700,104.151665
"279",112.18,113.75,105.660004,110.510002,1811700,103.384537
"280",112,116.440002,112,116.010002,1709900,108.529892
"281",115.230003,116.43,114.68,115.029999,1649400,107.613075
"282",116,122.949997,114.769997,122.830002,2901600,114.910141
"283",123.989998,125.260002,121.589996,125.150002,2419800,117.080566
"284",124.120003,126.75,123.449997,123.879997,1697000,115.892456
"285",123.169998,125.349998,122.43,122.809998,1276800,114.891441
"286",122.330002,124.68,120.839996,120.980003,1260600,113.179428
"287",121.160004,125.089996,120.660004,123.309998,1142600,115.359207
"288",124.57,128.089996,124.050003,127.93,876000,119.681313
"289",128.809998,129.149994,127.080002,127.720001,669000,119.484856
"290",127,129.050003,126.160004,126.169998,823100,118.03479
"291",127.059998,128.220001,124.610001,124.639999,1021200,116.603455
"292",125.029999,128.630005,124.279999,126.410004,1080000,118.259323
"293",125.059998,129.410004,124,129.080002,960900,120.757164
"294",128.289993,131.580002,128.240005,130.25,968200,121.851723
"295",130.639999,131.020004,126.879997,127.089996,1062000,118.895477
"296",126.660004,128.889999,123.239998,126.269997,1225700,118.128357
"297",126.959999,126.959999,123.870003,125.199997,772900,117.12735
"298",126.279999,129.309998,125.720001,128.940002,961500,120.626198
"299",129.270004,130.009995,127.330002,127.410004,886300,119.194839
"300",128.179993,129.460007,126.43,127.150002,858700,118.951614
"301",127.75,128.369995,125.519997,125.809998,1038400,117.698006
"302",126.080002,127.720001,124.269997,124.599998,1146300,116.566032
"303",124.669998,126.82,124,125.510002,1997700,117.417351
"304",124,125.489998,121.980003,122.629997,1603000,114.723045
"305",123.489998,126.629997,123,125.540001,1343300,117.445412
"306",125.980003,131.470001,125.959999,130.179993,1280900,121.786217
"307",128.630005,130.25,127.480003,127.779999,1439100,119.540993
"308",128.380005,132.009995,127.540001,127.959999,1468600,119.709381
"309",129.669998,133.690002,128.309998,133.229996,1771700,124.639603
"310",134.240005,134.600006,128.470001,129.179993,1285700,120.850708
"311",129.100006,130.600006,124.309998,124.669998,2530900,116.631523
"312",124.709999,127.309998,124.389999,126.519997,2045500,118.362221
"313",125.860001,125.900002,118.779999,122.260002,2427000,114.376915
"314",123.400002,124.050003,120.400002,123.440002,1464400,115.480843
"315",120.739998,122.610001,120.449997,122.580002,1590400,114.676285
"316",122.860001,126.160004,122.860001,124.410004,1361300,116.38829
"317",122.779999,123.220001,114.949997,116.620003,3287100,109.100563
"318",117.510002,118,113.059998,113.290001,3323800,105.98526
"319",115.650002,117.910004,114.300003,117.379997,2040800,109.811554
"320",118.75,119.550003,116.18,116.540001,2406200,109.025719
"321",116.400002,118.019997,114.870003,116.339996,1853100,108.838615
"322",116.900002,119.82,116.519997,118.699997,1340600,111.04644
"323",118.800003,119.449997,117.279999,119.040001,1462300,111.364532
"324",119.900002,123.779999,119.199997,122.300003,1832300,114.41433
"325",123.449997,128.639999,123.139999,127.099998,2592700,118.904846
"326",127.550003,130.699997,127.129997,128.880005,2326100,120.570076
"327",127.790001,130.429993,126.360001,128.399994,1787200,120.121002
"328",127.540001,129.419998,125.790001,128.240005,1186100,119.971329
"329",128.289993,128.729996,124.459999,125.730003,1996400,117.623184
"330",125.970001,127.589996,125.010002,125.75,1261400,117.641884
"331",125.800003,127.419998,125.330002,126.870003,1200600,118.689667
"332",126.339996,127.68,125.300003,125.849998,960400,117.735435
"333",125.589996,130.199997,125.379997,128.449997,1388600,120.167778
"334",127.440002,129.820007,126.57,128.100006,1017800,119.840363
"335",128.020004,130.619995,127.860001,128.919998,1569000,120.607483
"336",128.770004,129.940002,125.949997,126.510002,2000100,118.352875
"337",126.589996,127.940002,125.410004,127.300003,1632000,119.091934
"338",128.970001,134.279999,128.490005,130.240005,1559300,121.842377
"339",130.369995,134.889999,127.830002,134.720001,2030500,126.033516
"340",133.5,137.410004,130.220001,136.520004,4251000,127.717476
