"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"402",197.690002,200.899994,197.639999,200.399994,2349800,181.069931
"403",198.5,198.5,195.070007,196.199997,3145900,177.27507
"404",195.429993,196.320007,193.830002,193.970001,2766500,175.260193
"405",193.300003,195.179993,192.259995,194.419998,1769100,175.666748
"406",194.690002,196.320007,193.720001,195.610001,1802900,176.741989
"407",195.940002,196.960007,194.889999,195.759995,1240200,176.877518
"408",194.830002,195.479996,192.889999,195.259995,1900200,176.425751
"409",194.460007,197.130005,192.729996,196.440002,2361700,178.699951
"410",196.240005,198.509995,195.279999,197.419998,2183800,179.591476
"411",197.889999,198.5,196.869995,197.559998,1747900,179.718826
"412",197.929993,198.399994,196.729996,197.309998,1666900,179.491425
"413",197.149994,198.75,195.830002,197.839996,1709300,179.973557
"414",197.369995,197.75,195.619995,196.600006,1351200,178.84552
"415",196.880005,197.5,195.600006,196.639999,1358500,178.881943
"416",197.520004,198.660004,196.789993,198.600006,2034400,180.664886
"417",199.020004,199.830002,198,198.619995,1644200,180.683105
"418",197.789993,200,196.919998,199.75,1775100,181.711075
"419",199.580002,200.690002,198.699997,200.350006,1992500,182.256866
"420",199.830002,200.470001,198.389999,199.809998,2981400,181.765625
"421",199.25,199.75,195.330002,196.729996,2293500,178.96376
"422",197.130005,198.669998,196.850006,197.75,1809000,179.891663
"423",197.550003,198.589996,195.119995,196.149994,1797300,178.436172
"424",195.429993,197.550003,194.75,196.300003,2604100,178.572632
"425",197.360001,203.690002,196.389999,202.5,4310800,184.212677
"426",201,203,199.270004,199.470001,3386000,181.45636
"427",199.679993,201.5,198.139999,199.5,2133500,181.483643
"428",200.240005,203.089996,199.410004,202.929993,2780200,184.603882
"429",203.639999,204.419998,200,200.580002,2504200,182.466095
"430",200.289993,201.449997,199.509995,200.809998,1950100,182.675323
"431",200.419998,203.869995,199.199997,202.339996,1982300,184.067139
"432",202.690002,204.399994,201.570007,203.199997,2204600,184.849487
"433",203.600006,205.25,203.020004,205.100006,2225000,186.577896
"434",205.660004,206.619995,204.169998,205.100006,7314000,186.577896
"435",204.529999,207.669998,204.110001,207.210007,2642000,188.497375
"436",208.279999,208.899994,206.259995,206.460007,2556200,187.815094
"437",206.289993,208.880005,206.289993,206.830002,2162600,188.151672
"438",207.410004,210.190002,206.839996,208.889999,2571200,190.025681
"439",208.539993,208.800003,206.770004,207.289993,3238200,188.570114
"440",207.729996,209.339996,206.619995,206.910004,2518100,188.224472
"441",206.419998,208.100006,206.089996,207.669998,2172100,188.915833
"442",208.25,208.25,206.639999,206.899994,2258800,188.215363
"443",206.089996,207.149994,200.809998,203.470001,3219800,185.095123
"444",204.449997,206.089996,201.830002,204.020004,2481000,185.595459
"445",203.369995,206.130005,203.229996,205.570007,2878100,187.005463
"446",205.75,208.080002,204.490005,206,2509100,187.396652
"447",205,206.350006,200.770004,201.199997,4148000,183.030106
"448",201.550003,202.960007,192.380005,193.850006,4175000,176.343872
"449",195.619995,198.089996,194.149994,197.389999,3231400,179.564178
"450",196.199997,198.410004,195,195.589996,2091100,177.926758
"451",197.220001,202.679993,196.220001,202.339996,2261500,184.067139
"452",201.410004,203.309998,198.940002,202.770004,2459700,184.458359
"453",203.169998,204.509995,200.279999,202.720001,2433600,184.412842
"454",202.740005,205.119995,201.449997,201.800003,2692500,183.575943
"455",201.160004,201.800003,197.470001,198.020004,2717500,180.137283
"456",196.300003,199.089996,193.720001,197.639999,2553500,179.791611
