"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"917",144.009995,144.490005,141.270004,142.800003,1004500,140.731857
"918",143.259995,144.399994,142.389999,142.910004,924200,140.840271
"919",142.919998,144.919998,142.399994,144.289993,906700,142.200272
"920",144.149994,144.389999,140.960007,142.240005,982200,140.179977
"921",143.080002,146.490005,142.619995,144.029999,957100,141.944031
"922",143.589996,145.479996,142.669998,145.199997,1238000,143.097107
"923",145.039993,148.470001,144.5,145.229996,1956600,143.126678
"924",145.880005,148.470001,144.399994,147.800003,1220400,145.65947
"925",147.119995,147.130005,138.470001,140.600006,1779600,138.563751
"926",139.059998,141.039993,135.130005,137.139999,1574000,135.153839
"927",133.889999,140.800003,133.110001,138.649994,2843200,136.641968
"928",140.399994,142.240005,137.369995,141.529999,1618400,139.480255
"929",140.449997,142.449997,134.160004,134.880005,1996600,133.256119
"930",135.710007,136.929993,131.149994,132.369995,1613400,130.776321
"931",134.020004,136.220001,133.330002,135.399994,1320300,133.769836
"932",135.779999,137.589996,135.229996,135.919998,1504000,134.283585
"933",137.050003,138.630005,134.960007,135.130005,1128000,133.503098
"934",132.669998,134.850006,131.410004,133.940002,1424500,132.327423
"935",134.139999,135.860001,132.300003,133.990005,3356300,132.376816
"936",133.759995,134.839996,132.410004,134.220001,1328200,132.60405
"937",135.699997,137.809998,133.899994,137.199997,807000,135.548172
"938",136.639999,137.479996,132.860001,133.149994,804900,131.546921
"939",132.130005,135.169998,132.070007,133.850006,549400,132.238525
"940",133.699997,136.759995,133.339996,136.130005,749500,134.491058
"941",137.699997,139,136.690002,138.320007,767200,136.654709
"942",137.919998,139.050003,136.889999,136.949997,793800,135.301193
"943",137.220001,139.139999,136.059998,137.710007,933300,136.052048
"944",139.210007,139.929993,137.669998,139.199997,852600,137.524109
"945",137.419998,138.490005,134.600006,134.889999,780700,133.265991
"946",135.490005,136.169998,134.199997,135.630005,955600,133.99707
"947",134.979996,137.429993,132.860001,133.339996,1106400,131.734634
"948",134.050003,134.850006,132.210007,133.509995,1208200,131.902603
"949",134.789993,135.770004,133.649994,135.509995,722600,133.878525
"950",137.020004,139.479996,136.100006,139.429993,890400,137.751328
"951",141,146.940002,140.710007,145.25,1655000,143.501266
"952",145,146.029999,141.899994,144.029999,1554400,142.295944
"953",142.470001,143.990005,139.5,140.910004,1218600,139.213516
"954",140.149994,140.509995,138.240005,138.910004,869400,137.237595
"955",139.160004,139.729996,137.669998,138.259995,1134500,136.595398
"956",139.110001,140.169998,134.360001,134.839996,1138600,133.216583
"957",136.139999,139.410004,135.979996,136.720001,1200300,135.073975
"958",136.679993,137.940002,135.860001,136.360001,1217000,134.718292
"959",135.389999,136.100006,125.75,126.650002,4540700,125.125191
"960",124.599998,125.470001,120.760002,122.720001,4006300,121.242508
"961",121.830002,124.290001,120.709999,123.82,1784400,122.329262
"962",124.660004,125.959999,119.25,119.470001,2490300,118.031639
"963",117.860001,118.389999,114.68,114.82,1833800,113.437622
"964",115.010002,116.129997,113.699997,113.919998,1581000,112.548447
"965",113.779999,114.980003,111.870003,113.269997,1761700,111.906281
"966",113.620003,114.779999,111.599998,114.43,1631300,113.052322
"967",115.07,116.790001,114.029999,115.970001,1362500,114.573784
"968",118.900002,119.470001,116.449997,116.870003,1692400,115.462936
"969",119.040001,120.879997,118.32,119.419998,1346100,117.982231
"970",119.330002,119.510002,117.18,118.889999,1019400,117.458618
"971",118.410004,119.660004,114.550003,114.650002,2835600,113.269669
"972",113.839996,115.779999,111.260002,114.139999,2303500,112.765808
"973",115.269997,116.419998,114.419998,114.900002,1499600,113.516655
"974",115.580002,116.900002,114.690002,115.379997,1172100,113.990875
"975",116.82,118.440002,115.209999,118.260002,1313800,116.836205
"976",117.800003,118.830002,116.379997,118.480003,1678500,117.053558
"977",118.790001,121.269997,118.309998,119.68,1597200,118.239113
"978",119.32,121.330002,118.43,118.989998,1773800,117.557411
