"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"592",72.730003,73.059998,70.199997,72.629997,2037100,69.831657
"593",71.279999,71.489998,68.449997,68.550003,3315500,65.908875
"594",68.860001,70.559998,68.760002,70.220001,1605800,67.514519
"595",69.279999,70.669998,69.040001,69.580002,2012600,66.899193
"596",70.099998,70.410004,69.220001,69.410004,1497200,66.735725
"597",68.739998,68.989998,67.599998,67.760002,1406300,65.1493
"598",67.550003,68.169998,67.059998,67.779999,1206300,65.168526
"599",68.089996,69.410004,67.900002,68.5,1100100,65.860794
"600",68.080002,68.610001,67.860001,67.959999,734100,65.341583
"601",66.5,67.220001,65.980003,66.339996,2144900,63.784004
"602",66.970001,67.43,66.080002,66.800003,1544400,64.226288
"603",67.07,67.800003,66.599998,67.43,1514500,64.832031
"604",66.5,66.919998,65.459999,65.800003,1783800,63.264816
"605",65.599998,66.5,65.300003,65.57,1167400,63.043671
"606",65,65,63.130001,63.299999,1593200,60.861137
"607",63.209999,65.129997,63.099998,65.050003,2087900,62.54372
"608",65.43,67.57,65.43,67.540001,1452700,64.937782
"609",68.309998,68.309998,66.139999,67.370003,1044400,64.774345
"610",67.139999,68.540001,67.040001,68.459999,1177000,65.822334
"611",68.970001,69.639999,68.25,69.080002,1311800,66.418449
"612",69.830002,71.160004,69.650002,70.93,1278800,68.197174
"613",72.239998,73.849998,71.730003,73.43,2485400,70.600838
"614",73.370003,73.940002,72.010002,72.18,1366300,69.399002
"615",72.099998,72.779999,71.519997,72.760002,920600,70.315147
"616",72.730003,72.849998,70.540001,70.879997,966800,68.498314
"617",70.690002,71.860001,69.769997,71.239998,1008100,68.84623
"618",71.839996,72.470001,70.730003,70.769997,1230200,68.392014
"619",71.120003,71.169998,68.169998,68.940002,1805400,66.623505
"620",69.919998,70.18,68.199997,69.489998,1999900,67.155022
"621",69.010002,69.129997,67.25,68.339996,1889800,66.043663
"622",68.269997,68.860001,67.580002,68.010002,988000,65.724754
"623",68.150002,68.43,67.519997,67.790001,1372700,65.512154
"624",68.220001,69.400002,68.010002,69.160004,1252100,66.836113
"625",69.610001,70.970001,69.440002,69.519997,778900,67.184013
"626",70,70.93,68.370003,70.410004,2059500,68.044128
"627",71.199997,71.790001,69.739998,70.330002,932000,67.966789
"628",70.68,70.68,69.400002,69.870003,682500,67.522255
"629",70.190002,71.599998,69.870003,71.540001,626300,69.136139
"630",71.25,71.330002,69.970001,70.510002,732900,68.140755
"631",70.43,71.120003,69.550003,70.190002,787900,67.831505
"632",69.75,70.639999,69.529999,70.620003,926300,68.247063
"633",70.93,70.93,69.809998,70.489998,1376500,68.121429
"634",70.349998,70.919998,70.120003,70.580002,813300,68.208389
"635",70.800003,72.809998,70.559998,72.629997,1272600,70.189507
"636",72.839996,73.010002,71.059998,72.419998,975400,69.986565
"637",72,73.230003,71.470001,73.050003,1188200,70.595398
"638",73.019997,73.050003,71.730003,72.639999,1101700,70.199181
"639",72.480003,73.400002,72.379997,73,736700,70.547089
"640",73.260002,75.169998,73.010002,74.470001,1455300,71.967697
"641",74.550003,75.330002,73.080002,73.18,1548900,70.721031
"642",73.760002,74.790001,73.260002,74.580002,818700,72.07399
"643",74.349998,75.919998,74.07,75.529999,856800,72.992065
