"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"837",77.959999,78.754997,77.175003,78.419998,2047600,76.697113
"838",77.695,78.565002,76.730003,77.209999,1038600,75.513702
"839",77.125,79,76.419998,78.695,1351800,76.96608
"840",78.745003,80.769997,78.745003,80.105003,1463400,78.345093
"841",80.32,81.264999,79.964996,80.110001,1718800,78.349991
"842",80.629997,81.059998,79.775002,80.43,1235800,78.662949
"843",81.25,82.294998,80.565002,82.014999,1067400,80.21312
"844",82.330002,83.334999,81.660004,82.425003,1346800,80.61412
"845",83.065002,84.559998,82.879997,84.309998,2098800,82.457703
"846",84.309998,85.32,83.529999,84.260002,1904000,82.408806
"847",86.639999,88.294998,85.709999,87.760002,2356600,85.831902
"848",87.360001,90.089996,87.07,88.989998,3712200,87.034882
"849",89.834999,90.190002,88.095001,88.165001,1825200,86.228012
"850",87.815002,88.535004,86.209999,86.260002,1411400,84.364861
"851",87.035004,87.099998,85.845001,86.794998,1764800,84.888115
"852",87.014999,87.014999,84.614998,85.279999,1498400,83.406395
"853",85.184998,86.040001,85.074997,85.934998,737200,84.047005
"854",86.605003,87.495003,85.25,85.514999,1217400,83.63623
"855",85.394997,86.120003,84.934998,86,1141600,84.11058
"856",86.845001,87.059998,85.695,86.254997,1233400,84.35997
"857",86.199997,88.114998,85.699997,87.580002,2862600,85.655869
"858",88,88.959999,87.519997,88.285004,1088000,86.345375
"859",88.169998,88.644997,87.254997,87.709999,1408400,85.783012
"860",87.654999,87.995003,86.764999,87.150002,1108600,85.235313
"861",86.919998,87.135002,84.879997,85.385002,1148800,83.509094
"862",85.385002,85.684998,83.934998,85.415001,1798800,83.538437
"863",84.650002,86.794998,84.510002,86.385002,1371200,84.487122
"864",86.464996,86.464996,85.169998,85.550003,954200,83.670464
"865",86.165001,87.190002,85.574997,86.205002,1348000,84.311073
"866",86,86.510002,83.595001,83.919998,1152600,82.076271
"867",84.93,84.93,82.839996,83.269997,1045200,81.440544
"868",82.639999,85.245003,82.525002,85.199997,1071800,83.328148
"869",85.815002,86.875,84.790001,86.485001,1353400,84.584923
"870",86.595001,87.684998,86.445,87.07,1023200,85.157074
"871",87.065002,87.385002,86.440002,86.940002,793000,85.029938
"872",87.769997,88.044998,86.044998,86.099998,1746000,84.208389
"873",86.790001,87.394997,86.029999,86.349998,1262000,84.452888
"874",87.5,87.68,86.084999,86.205002,1268400,84.311073
"875",86,86.785004,84.574997,86.135002,2024200,84.242599
"876",87.169998,90.464996,86.779999,89.269997,2907800,87.308731
"877",90.25,91.459999,87.639999,88.125,2895800,86.188889
"878",88.660004,91.150002,88.305,89.690002,1720000,87.719498
"879",89.915001,90.485001,88.714996,89.705002,1619800,87.734169
"880",89.654999,90.389999,89.224998,89.75,1292200,87.778191
"881",90.605003,92.239998,90.315002,90.805,1325600,89.117821
"882",91.209999,91.815002,90.279999,90.785004,1003600,89.098198
"883",90.410004,92,90.410004,91.57,927400,89.868614
"884",91.285004,91.875,90.875,91.82,920200,90.11396
"885",91.239998,92.309998,91.169998,91.925003,737000,90.217018
"886",91.934998,93.050003,91.264999,92.955002,816800,91.22789
"887",93.245003,94.144997,91.290001,91.455002,969200,89.755753
"888",91.239998,94.915001,91.239998,94.709999,1264000,92.950264
"889",95.099998,95.699997,94.309998,94.599998,912000,92.842316
"890",94.519997,95.425003,94.389999,94.860001,659000,93.097496
"891",95.375,96.165001,94.919998,95.445,870400,93.671616
"892",95.205002,95.855003,94.875,95.779999,771200,94.000389
"893",97,98.260002,96.525002,96.790001,1111800,94.991623
"894",97.455002,97.455002,95.790001,96.910004,1314600,95.10939
"895",97.099998,98.385002,97.099998,97.945,736800,96.125168
"896",97.760002,98.254997,96.309998,96.760002,1058200,94.962181
"897",96.904999,98.040001,96.595001,98.010002,780800,96.188957
"898",95.75,97.625,95.235001,96.495003,1164800,94.702103
"899",96.959999,97.779999,96.68,97.169998,747000,95.364555
"900",96.68,97.044998,95.75,96.919998,799000,95.119202
"901",96.599998,97.449997,95.464996,97.449997,1286400,95.639359
"902",97.845001,98.589996,97.235001,98.144997,881600,96.321449
"903",98.004997,99.415001,97.964996,99.129997,736400,97.288147
"904",99.349998,99.385002,97.82,98.625,987400,96.792534
"905",98.269997,99.68,98.135002,99.525002,694200,97.675804
"906",99.065002,100.919998,99.065002,100.775002,1243400,98.902596
"907",100.745003,101.275002,100.010002,100.910004,878000,99.035072
"908",101,101,98.565002,98.885002,785600,97.047699
"909",99.254997,101.57,99.245003,100.830002,860200,98.956566
"910",100.735001,101.489998,99.375,101.019997,999600,99.143028
"911",101,101.754997,100.419998,100.775002,837400,98.902596
"912",100.245003,101.705002,100.035004,101.150002,916000,99.270615
"913",101.165001,102,100.459999,101.245003,603600,99.363853
"914",101.699997,101.699997,100.620003,101.260002,611800,99.378571
"915",100.394997,102.07,100.235001,101.445,734600,99.560135
"916",101.57,101.989998,101.25,101.574997,714200,99.687721
"917",101.794998,102.080002,100.894997,101.419998,660800,99.535599
"918",102.129997,102.129997,100.815002,101.389999,583800,99.506149
"919",101.209999,103.290001,100.434998,102.75,828400,100.840881
"920",102.974998,103.620003,102.675003,102.724998,525400,100.816338
