"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"781",316.51001,317.640015,314.799988,317.339996,667500,299.402649
"782",317.019989,320.170013,316.579987,317.829987,269600,299.864929
"783",317.929993,320.420013,316.059998,319.179993,339300,301.138702
"784",318.609985,322.059998,318.609985,321.51001,328800,303.337006
"785",322.869995,325.410004,322.670013,324.170013,477300,305.846619
"786",325.470001,325.940002,319.640015,323.920013,446300,305.610748
"787",323.589996,323.609985,320.670013,321.630005,243400,303.450226
"788",322.299988,326.730011,319.700012,326.109985,378500,307.676941
"789",325.98999,329.73999,325.98999,329.029999,463100,310.431976
"790",327.619995,329.690002,324.920013,325.809998,412600,307.393921
"791",326.299988,326.589996,317.140015,317.910004,435800,299.94046
"792",318.859985,322.119995,316.859985,316.940002,520600,299.025299
"793",313.119995,315.769989,296.690002,296.690002,635200,279.919891
"794",291.420013,292.709991,278.200012,283.359985,1030500,267.343353
"795",284.670013,293.920013,283.670013,293.440002,751100,276.853577
"796",293.049988,301.130005,289.170013,291.890015,645900,275.391235
