"","PTC.Open","PTC.High","PTC.Low","PTC.Close","PTC.Volume","PTC.Adjusted"
"978",98.980003,99.949997,97.769997,98.330002,681100,98.330002
"979",97.919998,100.339996,97.339996,100.209999,613600,100.209999
"980",100,102.029999,99.349998,101.139999,466600,101.139999
"981",102.080002,103.699997,101,103.190002,475700,103.190002
"982",104,104.120003,102.209999,103.910004,626900,103.910004
"983",104.25,106.300003,103.620003,105.959999,645100,105.959999
"984",106.120003,108.800003,106.040001,108.610001,387100,108.610001
"985",109.510002,110.629997,107.57,107.849998,914300,107.849998
"986",108.269997,108.93,106.949997,108.529999,730100,108.529999
"987",107.589996,107.739998,106.349998,107.260002,597500,107.260002
"988",107.059998,109.32,107.010002,107.980003,462600,107.980003
"989",108.449997,110.089996,108.449997,109.599998,596900,109.599998
"990",110.260002,111.5,109.099998,111.150002,410000,111.150002
"991",111.639999,112.040001,111,111.300003,321100,111.300003
"992",113.239998,114.029999,110.779999,111.57,723500,111.57
"993",111.129997,113.040001,110,112.660004,535100,112.660004
"994",111.900002,113.68,111.779999,112.980003,706100,112.980003
"995",113.199997,116.230003,112.940002,113.830002,746000,113.830002
"996",114.300003,115.5,113.010002,114.050003,646900,114.050003
"997",115.419998,116.790001,114.190002,115.07,990000,115.07
"998",116,118.519997,115.650002,118.470001,835800,118.470001
"999",119.370003,119.970001,117.389999,118.389999,1858600,118.389999
"1000",116.739998,120.370003,115.849998,120.139999,730400,120.139999
"1001",120.489998,121.550003,119.580002,120.019997,439000,120.019997
"1002",119.980003,121.25,118.870003,119.169998,392600,119.169998
"1003",119.82,120.18,119.040001,119.849998,189400,119.849998
"1004",121.360001,121.75,118,118.809998,392700,118.809998
"1005",118.800003,118.940002,116.980003,117.769997,293400,117.769997
"1006",118.760002,120.160004,118.300003,119.510002,283300,119.510002
"1007",119.599998,120.269997,118.709999,119.610001,377800,119.610001
