"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"780",209,211.830002,202.869995,205.070007,1154700,205.070007
"781",205.509995,205.889999,203.059998,205.830002,670300,205.830002
"782",206.309998,206.309998,204.360001,204.460007,801600,204.460007
"783",204.669998,208.369995,204.130005,208.289993,567700,208.289993
"784",207.399994,210.770004,207.399994,209.809998,529500,209.809998
"785",210,211.339996,207.020004,209.570007,526500,209.570007
"786",209.399994,210.610001,208.110001,210.479996,360800,210.479996
"787",210.889999,213.020004,209.429993,211.229996,578200,211.229996
"788",210.270004,210.949997,205.679993,209.059998,878200,209.059998
"789",207.720001,209.399994,204.559998,206.119995,623500,206.119995
"790",203.199997,204,198.699997,200.410004,783500,200.410004
"791",201.820007,202.009995,193.309998,193.649994,738100,193.649994
"792",195.559998,200.389999,195.559998,195.850006,960100,195.850006
"793",192.619995,198.960007,190.320007,190.539993,937100,190.539993
"794",185.100006,190.429993,183.839996,189.75,1284100,189.75
"795",188.270004,196.860001,187.089996,196.850006,901700,196.850006
"796",194.690002,198.789993,188.300003,189.050003,966100,189.050003
"797",191.949997,199.899994,189.990005,199.779999,793700,199.779999
"798",193.690002,196.720001,190.009995,192.309998,732900,192.309998
"799",186.059998,193.199997,185.679993,192.009995,959700,192.009995
"800",181.050003,185.75,176.289993,176.809998,1023600,176.809998
"801",182.940002,186.320007,176.080002,186.059998,1401000,186.059998
"802",180.539993,182.690002,174.970001,178.029999,732500,178.029999
"803",167.639999,175.220001,159.770004,165.669998,997800,165.669998
"804",173.929993,182.690002,166.289993,182.619995,1016500,182.619995
"805",165.610001,179.720001,158.990005,160.279999,1066900,160.279999
"806",164.410004,177.210007,153.449997,176.190002,1163200,176.190002
"807",165.860001,169.940002,151.589996,164,904700,164
"808",162.449997,170.630005,153.100006,164.600006,872100,164.600006
"809",167.039993,170.130005,156.399994,157.130005,1425300,157.130005
"810",159.960007,159.960007,148.770004,151.169998,1210000,151.169998
"811",159.119995,170.990005,158.509995,170.529999,1563500,170.529999
"812",165.75,172.710007,164.970001,166.970001,825300,166.970001
"813",167.229996,177.100006,166.899994,175.899994,900900,175.899994
"814",171.910004,178.929993,169.270004,173.910004,795500,173.910004
"815",176.050003,190.160004,174.020004,188.550003,1031300,188.550003
"816",184.600006,190.899994,178.889999,180.089996,1121800,180.089996
"817",173.429993,178.360001,173.009995,175.460007,920600,175.460007
"818",171.720001,183.039993,171.720001,181.800003,671300,181.800003
"819",180.610001,184.5,179.020004,182.690002,666800,182.690002
"820",191.830002,196.740005,186.770004,195.850006,1266900,195.850006
"821",199.449997,200,190.949997,190.949997,807400,190.949997
"822",191.380005,194.770004,189.779999,193.199997,574600,193.199997
"823",193.699997,197.360001,192.75,196.070007,720500,196.070007
"824",194.539993,199.149994,193,199,716300,199
