"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"956",73.190002,73.75,71.959999,72.199997,2791400,71.30011
"957",73.050003,74.010002,72.300003,73.349998,2252400,72.435776
"958",73.029999,74.040001,72.879997,72.889999,2915900,71.981506
"959",72.730003,73.580002,72.230003,73.379997,2705400,72.465393
"960",73.459999,74.32,73.089996,74.120003,2135600,73.196175
"961",73.199997,73.449997,71.870003,72.709999,6195700,71.803749
"962",72.830002,73.5,72.519997,73.389999,5498400,72.475273
"963",72.360001,72.93,70.980003,71.099998,8444500,70.213821
"964",74.830002,76.449997,70.809998,71.019997,7110800,70.134811
"965",70.470001,71.779999,69.970001,71.419998,4298200,70.529831
"966",71.470001,71.910004,70.290001,70.800003,3276100,69.917564
"967",71.919998,72.940002,71.410004,71.940002,2089600,71.04335
"968",73.769997,74.089996,71.860001,73.019997,2427200,72.109886
"969",73.769997,74.910004,73.419998,74.239998,2079100,73.314674
"970",74.480003,74.620003,73.599998,74.220001,1394700,73.294922
"971",75.190002,78.209999,73.82,73.879997,3344000,72.959167
"972",73.760002,75.489998,73.529999,75.099998,3789900,74.163963
"973",75.510002,77.089996,75.440002,76.760002,3254300,75.803268
"974",76.82,77.18,75.589996,76.220001,3087200,75.270004
"975",77,77.669998,76.800003,77.190002,2681200,76.227905
"976",77.870003,78.470001,77.230003,77.800003,2162500,76.830322
"977",76.75,77.379997,76.169998,77,2026800,76.040276
"978",76.470001,76.769997,74.68,74.699997,4192600,73.980309
"979",74.989998,76.300003,74.559998,76.199997,2915700,75.465858
"980",75.919998,76.279999,75.669998,75.900002,2277100,75.168762
"981",76,77.300003,75.919998,77.199997,1958000,76.45623
"982",77.949997,78.769997,77.269997,78.75,2594600,77.991295
"983",78.940002,79,78.169998,78.550003,2189500,77.793228
"984",77.940002,78.889999,77.660004,78.410004,1104900,77.654579
"985",77.940002,78.330002,77.07,78.129997,3797700,77.377274
"986",78.110001,79.040001,77.949997,78.660004,3653600,77.902168
"987",78.660004,78.660004,77.980003,78.120003,2250900,77.367371
"988",78.07,79.129997,77.75,78.760002,2108200,78.001205
"989",79.150002,81.110001,78.489998,81.059998,3079000,80.279045
"990",79.949997,80.739998,79.699997,80.529999,2419700,79.75415
"991",79.260002,80.589996,78.739998,79.870003,2979500,79.10051
"992",80.32,80.760002,78.809998,79.010002,3585500,78.248795
"993",79.010002,79.010002,77.940002,78.379997,2069900,77.624863
"994",78.559998,79.949997,78.190002,78.510002,3528600,77.753616
"995",79,79.489998,78.610001,79.190002,2640600,78.427063
"996",80.099998,80.529999,79.07,80.529999,2741900,79.75415
"997",80.639999,80.639999,78.839996,79.32,2543100,78.555801
"998",81.269997,82.730003,81,81.730003,5461900,80.942596
"999",82.099998,82.099998,80.519997,81.019997,7656700,80.239426
"1000",79.849998,80.540001,78.559998,80.470001,2369000,79.694733
"1001",80.18,81.650002,80.139999,81.019997,2405700,80.239426
"1002",81.349998,81.889999,80.980003,80.989998,1674200,80.209709
"1003",81.349998,81.349998,80.599998,81.07,1037000,80.288956
"1004",81.540001,82.25,81.349998,81.370003,1192200,80.58606
"1005",82.019997,82.089996,80.209999,80.5,1035500,79.724442
"1006",80.879997,81.410004,80.629997,81.07,1090600,80.288956
"1007",81.370003,82.230003,80.769997,81.949997,1500700,81.160469
