"","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
"764",179.100006,179.830002,176.679993,178.119995,324300,175.794373
"765",179.559998,180.600006,178.529999,180.339996,388200,177.985397
"766",181.570007,182.089996,179.520004,181.610001,356100,179.238815
"767",181.119995,184.029999,181.100006,182.179993,322100,179.801376
"768",183.979996,184.919998,181.220001,181.690002,330800,179.31778
"769",181.990005,183.470001,180.350006,183.029999,393400,180.640305
"770",184,184.949997,182.449997,183.289993,413900,180.896896
"771",178,178.460007,175.850006,176.050003,302600,173.751434
"772",178.059998,181.220001,176.779999,180.279999,229800,177.926178
"773",180.279999,180.949997,177.389999,177.5,229100,175.182495
"774",176.529999,179.320007,175.309998,178.5,299700,176.169449
"775",176.949997,177.740005,170.929993,171.169998,460500,168.935135
"776",172.419998,175.649994,171.210007,175.210007,340900,172.922379
"777",179.839996,182.970001,177.910004,182.619995,284900,180.235611
"778",185.279999,186.990005,182.270004,186.990005,425000,184.548584
"779",187.149994,190.880005,179.600006,181.860001,765700,179.48555
"780",180.460007,182.490005,178.809998,180.210007,527000,177.857101
"781",176.729996,184.419998,175.830002,184.190002,247300,181.785126
"782",185,190.690002,184.050003,189.520004,258900,187.045547
"783",190.449997,191.979996,188.720001,190.729996,335700,188.239716
"784",188.429993,192.779999,188.210007,191.429993,327200,188.930603
"785",192.589996,193.100006,189.610001,191.190002,321600,188.693756
"786",187.809998,188.690002,183.470001,185.330002,331300,182.910248
"787",184.300003,188.940002,184.300003,187.460007,285300,185.012421
"788",186.940002,187.100006,181.779999,184.059998,263900,181.656845
"789",182.679993,182.679993,175.550003,176.630005,318900,174.323837
"790",168.470001,169.729996,165.720001,165.869995,543200,163.704315
"791",167.949997,168.300003,162.320007,164.539993,423300,162.391693
"792",165.070007,169.619995,162.649994,164.220001,329800,162.075867
"793",159.190002,161.880005,155.270004,157.220001,364000,155.167282
"794",150.970001,160.600006,150.369995,158.639999,448100,156.568741
"795",160.860001,164.570007,156.350006,164.119995,370600,161.977173
"796",165.190002,168.259995,159.119995,162.210007,429700,160.092117
"797",165.479996,171.789993,162.789993,171.539993,277500,169.300293
"798",169.369995,177.199997,166.75,172.330002,447500,170.079956
"799",167.100006,169.889999,161.110001,166.059998,391700,163.89183
"800",151.360001,159.059998,148.220001,148.509995,432400,146.570999
"801",154.190002,163.75,152.630005,163.619995,582200,161.483688
"802",159.860001,163.009995,152.869995,155.800003,475800,153.765808
