"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"820",117,119,114.580002,117.809998,16848400,112.815926
"821",116.709999,120.059998,112.5,112.769997,14438400,107.989578
"822",114.389999,117.300003,111.860001,115.099998,12564500,110.22081
"823",115.260002,118.660004,114.199997,114.660004,12747300,109.799461
"824",113.610001,116.75,113.160004,115.949997,7926700,111.034767
"825",118.760002,121.470001,116.25,120.959999,10474200,115.832405
"826",120.860001,123.419998,119.589996,121.220001,14192900,116.081375
"827",122.349998,122.5,119.900002,121.5,12020200,116.349503
"828",122.449997,124.989998,120.540001,124.690002,15899800,119.404274
"829",121.470001,123.230003,120.540001,120.599998,10832000,115.487656
"830",119.5,120.300003,118.43,119.68,9465400,114.606659
"831",119.989998,120.279999,118.779999,119.400002,10259400,114.338547
"832",118.650002,119.669998,118.050003,119.400002,17277000,115.101059
"833",119.099998,119.760002,118.620003,118.779999,12751100,114.50338
"834",119.190002,119.190002,116.900002,117.449997,10635700,113.22126
"835",117.099998,117.910004,116.169998,116.889999,9958000,112.681427
"836",117.519997,118.050003,115.080002,117.080002,8707900,112.864586
"837",115.919998,118.279999,115.660004,117.870003,10026400,113.626144
"838",117.599998,118.370003,116.32,116.82,7366400,112.613945
"839",117.089996,117.199997,115,115.769997,5636000,111.601746
"840",115.800003,117.260002,115.209999,116.010002,5425200,111.833115
"841",115.540001,116.139999,112.889999,113.099998,7892200,109.027878
"842",114.059998,114.139999,111.82,112.169998,8762800,108.131371
"843",113.519997,116.300003,113.389999,115.949997,9279900,111.775269
"844",115.75,116.010002,114.919998,115.309998,6947500,111.15831
"845",115.199997,115.900002,114.139999,114.550003,6734400,110.425682
"846",114.279999,115.349998,113.730003,113.919998,9312600,109.818359
"847",113.540001,114.449997,111.25,113.809998,9310000,109.712318
"848",113.93,114.790001,112.050003,114.610001,10694800,110.483505
"849",116.029999,116.989998,114.709999,116.209999,10020800,112.025909
"850",115.089996,115.639999,112.339996,112.440002,8047600,108.391647
"851",113,113.769997,112.129997,113.279999,6593800,109.201408
"852",112.800003,113.199997,111.43,111.620003,6552700,107.601166
"853",112.290001,113.599998,111.760002,112.599998,5571900,108.545883
"854",114.150002,114.150002,111.68,112.029999,10432400,107.996399
"855",112.5,113.970001,111.82,113.889999,8279700,109.789436
"856",115.529999,116.989998,114.900002,116.059998,6586700,111.88131
"857",116.129997,116.720001,114.620003,115.919998,7868000,111.746346
"858",116,117.5,115.260002,117.25,5105600,113.028465
"859",117.07,118.139999,116.82,118.059998,6327900,113.809288
"860",118.099998,119.190002,117.949997,118.529999,6171000,114.262375
"861",118,118.830002,115.57,116.050003,6895800,111.871681
"862",116.25,118.830002,116.050003,118.330002,7337800,114.06958
"863",117.440002,119.120003,116.839996,119.050003,6926700,114.763664
"864",119.400002,119.760002,118.150002,118.339996,5563200,114.079216
"865",119,119.889999,118.110001,119.230003,6678200,114.937187
"866",118.809998,119.57,116,116.260002,8937500,112.07412
"867",116.589996,118.050003,115.260002,115.620003,7998500,111.457161
"868",114.550003,117.279999,113.760002,116.690002,8786000,112.488632
"869",118.529999,118.970001,116.93,118.129997,8165200,113.876778
"870",118.389999,119.110001,117.440002,117.93,6320800,113.683983
"871",117.459999,119.959999,117.370003,119.279999,6274400,114.985382
"872",120.489998,121.82,118.830002,118.919998,17506200,114.638329
"873",118.779999,119.080002,117.339996,117.75,5695600,113.510468
"874",118.669998,119.190002,117.650002,117.730003,5340400,113.491196
"875",117.220001,117.959999,116.279999,116.419998,6547800,112.228348
