"","SNPS.Open","SNPS.High","SNPS.Low","SNPS.Close","SNPS.Volume","SNPS.Adjusted"
"766",150.309998,151.990005,149.110001,151.860001,1431800,151.860001
"767",151.100006,154.070007,151,153.580002,1015800,153.580002
"768",154.160004,155.699997,153.309998,153.429993,648900,153.429993
"769",153,155.360001,152.110001,154.960007,856500,154.960007
"770",156.289993,156.970001,153.300003,154.050003,826500,154.050003
"771",150.740005,151.449997,149.270004,150.380005,886600,150.380005
"772",151.669998,152.710007,150.850006,152.050003,829800,152.050003
"773",153,153.369995,150.339996,150.440002,765000,150.440002
"774",149.660004,150.869995,148.639999,150.820007,1337700,150.820007
"775",150.220001,150.5,147.139999,147.509995,984500,147.509995
"776",148.770004,150.850006,148.5,150.259995,969300,150.259995
"777",152.580002,155.919998,152.020004,155.809998,1160600,155.809998
"778",157.440002,158,153.570007,154.210007,982700,154.210007
"779",154.800003,156.130005,154.199997,154.770004,507900,154.770004
"780",154.5,155.179993,153.350006,154.279999,589000,154.279999
"781",153.639999,157.110001,153.559998,156.919998,676500,156.919998
"782",157.880005,159.529999,157.149994,158.220001,837300,158.220001
"783",158.199997,160.020004,156.949997,159.520004,682600,159.520004
"784",158.779999,161.929993,158.279999,161.369995,788800,161.369995
"785",162.009995,164.100006,162.009995,163.350006,784900,163.350006
"786",164.009995,164.490005,162.380005,162.919998,910200,162.919998
"787",165.240005,166.869995,164.520004,164.990005,1760900,164.990005
"788",159.059998,160.5,151.050003,155.080002,4667200,155.080002
"789",153.520004,154.240005,148.160004,149.330002,2777000,149.330002
"790",144.970001,146.929993,141.300003,145.940002,2503500,145.940002
"791",147.350006,148.029999,141.559998,142.160004,2162800,142.160004
"792",142.960007,145.830002,141.100006,142.039993,2039900,142.039993
"793",139.839996,141.759995,136.119995,136.830002,1840800,136.830002
"794",131.509995,138.070007,131.509995,137.929993,3129100,137.929993
"795",137.960007,141.729996,135.410004,141.630005,1692700,141.630005
"796",141.220001,144.330002,138.190002,140.119995,2075100,140.119995
"797",142.580002,146.960007,141.619995,146.820007,1529100,146.820007
"798",142.910004,145.320007,141.309998,142.639999,1486600,142.639999
"799",136.880005,139.759995,133.710007,137.720001,1491300,137.720001
"800",128.110001,132.669998,126,127.699997,1870800,127.699997
"801",131.389999,135.289993,128.070007,135.190002,1614300,135.190002
"802",131.550003,135.330002,128.820007,131.740005,2063100,131.740005
"803",123.120003,129.039993,119.059998,119.150002,2429200,119.150002
"804",124.910004,129.970001,116.470001,129.880005,2032200,129.880005
"805",112.589996,125.379997,109.129997,112.75,2003100,112.75
"806",115.019997,120.650002,111.099998,119.620003,1780400,119.620003
"807",112.889999,115.68,108.519997,114.230003,1858000,114.230003
"808",113.849998,117.300003,108.790001,114.959999,1424800,114.959999
"809",116.599998,119.559998,109.209999,110,1825500,110
"810",110.349998,112.480003,104.900002,108.480003,1508900,108.480003
"811",114.279999,121.470001,114.010002,120.629997,1709600,120.629997
"812",119.989998,125.629997,117.910004,121.32,1528100,121.32
"813",122.239998,128.339996,121.559998,127.970001,1373500,127.970001
"814",123.93,128.350006,120.169998,124.379997,1300800,124.379997
"815",125.699997,130.460007,124.43,129.309998,1502100,129.309998
"816",128.229996,131,126.730003,128.789993,2463800,128.789993
"817",122.879997,127.809998,122.510002,125.959999,1542100,125.959999
"818",124.68,128.789993,124,128.649994,1843300,128.649994
"819",127.809998,128.639999,123.940002,124.550003,702300,124.550003
"820",130.360001,136.559998,129.110001,135.910004,1314200,135.910004
"821",138.199997,140.770004,135.339996,135.509995,1203400,135.509995
"822",138.649994,139.630005,135.279999,138.850006,657800,138.850006
"823",139.679993,141.029999,136.100006,136.580002,1104400,136.580002
"824",133.850006,140.520004,133.270004,140.130005,920700,140.130005
"825",142.199997,147.830002,142.029999,147.429993,1081800,147.429993
"826",145.169998,147.889999,144.279999,146.169998,932000,146.169998
"827",147.089996,152.050003,147.029999,151.830002,1275400,151.830002
"828",155.529999,156.089996,153.070007,154.979996,1431400,154.979996
"829",151.910004,154.669998,150.990005,151.009995,1002600,151.009995
"830",149.429993,149.919998,142.860001,144.839996,1127100,144.839996
"831",148.520004,151.320007,147.009995,150.720001,912100,150.720001
"832",149.740005,152.779999,149.360001,151.990005,920500,151.990005
"833",152.990005,153.440002,150.149994,153.029999,910700,153.029999
"834",155.600006,155.600006,153.529999,154.139999,559100,154.139999
"835",155,155.899994,151.449997,151.830002,1052200,151.830002
"836",153.440002,158.139999,152.419998,158.009995,1307700,158.009995
"837",157.580002,158.960007,156.639999,157.119995,1581000,157.119995
"838",153.679993,155.490005,148.199997,149.639999,1188300,149.639999
"839",148.899994,151.850006,147.979996,151.080002,913600,151.080002
"840",151.880005,155.160004,151.610001,154.240005,693300,154.240005
"841",155.009995,157.970001,154.589996,156.830002,660300,156.830002
"842",158,160.070007,157.279999,158.940002,827100,158.940002
"843",160.419998,161.990005,158.690002,160.169998,723900,160.169998
"844",158.630005,163.300003,158.339996,161.580002,848800,161.580002
"845",162.679993,162.850006,158.509995,158.570007,674700,158.570007
"846",158.009995,160.889999,153.979996,156.199997,779300,156.199997
"847",155.169998,158,153.669998,157.830002,838600,157.830002
"848",151.589996,159.580002,151.520004,158.729996,1563000,158.729996
"849",159.949997,161.899994,158.600006,159.869995,830600,159.869995
"850",160.669998,164.339996,160.529999,162.020004,1075400,162.020004
"851",164.259995,167.199997,164.199997,165.470001,1221400,165.470001
"852",167,169.440002,164.860001,168.490005,1586800,168.490005
"853",169.679993,171.470001,167.059998,171.110001,1009000,171.110001
"854",172.080002,172.699997,168.330002,168.529999,1075400,168.529999
"855",169.309998,170.550003,163,170.419998,1190100,170.419998
