"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"69",132.889999,133.809998,132.360001,133.399994,318200,120.438911
"70",133.179993,133.179993,132.080002,132.559998,498700,119.680542
"71",132.490005,133.360001,131.910004,131.940002,230600,119.120781
"72",132.309998,133.149994,131.860001,133.020004,339500,120.095848
"73",132.449997,134.779999,132.100006,134.070007,331300,121.043839
"74",134.080002,135.199997,133.759995,134.529999,366200,121.459145
"75",134.830002,136.100006,134.399994,135.800003,268100,122.605759
"76",135.990005,136.570007,135.740005,136.119995,283100,122.894653
"77",137.059998,138.429993,136.820007,138.029999,398100,124.619049
"78",138.889999,139.869995,137.720001,139.089996,377400,125.57608
"79",139.039993,139.800003,138.589996,138.800003,378000,125.314278
"80",139.139999,140.199997,138.809998,139.729996,382300,126.153938
"81",139.580002,139.580002,138.360001,138.589996,301200,125.124657
"82",139.190002,139.300003,138.100006,138.979996,195400,125.476776
"83",138.869995,138.929993,136.410004,138.220001,305200,124.790611
"84",138.479996,139,137.509995,138.830002,269800,125.341354
"85",138.899994,139.75,137.679993,138.470001,550100,125.016312
"86",138.949997,139.869995,138.809998,139.270004,567800,125.738594
"87",139.270004,139.470001,136.880005,137.380005,882100,124.032196
"88",133.75,133.75,128.5,128.979996,1749000,116.448372
"89",128.419998,130.449997,128.419998,130.330002,609300,117.667183
"90",130.279999,131,129.550003,130.850006,348900,118.136688
"91",130.699997,130.919998,129.970001,130.710007,360000,118.010269
"92",130.970001,132.929993,130.529999,132.490005,449400,119.617348
"93",132.470001,133.520004,132.009995,133.160004,367700,120.222244
"94",133.160004,134.899994,132.089996,133.149994,649900,120.213203
"95",132.289993,135.089996,131.350006,134.259995,407400,121.215378
"96",134.520004,135.399994,134.169998,134.809998,336500,121.711922
"97",135.610001,136.080002,135.009995,135.850006,290500,122.650894
"98",135.910004,137.039993,135.639999,136.520004,301700,123.255798
"99",136.119995,138.509995,136.119995,137.899994,439900,124.501701
"100",137.899994,138.899994,137.570007,138.410004,1105500,124.962158
"101",138.460007,138.850006,138.029999,138.440002,243900,124.989258
"102",137.940002,138.139999,136.589996,136.990005,458500,123.680122
"103",137.190002,138.070007,136.449997,137.889999,429000,124.492661
"104",137.720001,139.770004,137.589996,138.179993,411500,124.754501
"105",138.220001,139.339996,138.020004,139.240005,279700,125.71151
"106",139.419998,140.440002,138.949997,139.449997,326900,125.901108
"107",138.869995,139.690002,138.210007,138.800003,347000,125.314278
"108",138.220001,139.679993,137.740005,137.869995,362600,124.474625
"109",137.869995,137.869995,135.119995,135.690002,521000,122.506416
"110",136.119995,137.229996,135.860001,137.199997,482900,123.86972
"111",137.369995,137.669998,136.25,136.440002,297100,123.183586
